འང-དེ	vacant
འཁྲི-ཤིང	{C}creeper; creeping plant
འཁྲིལ-བག-ཆགས	{C}well-rounded
འཁྲུག	{C}despair; misery; rage; anger
འཁྲུག-པ-བྱེད-པ	{C}get angry with
འཁྲུག-པ-མེད-ཅིང-ཡོངས-སུ-རྫོགས-པ-མེད-པ	{C}no enjoyment; derive no enjoyment
འཁྲུག-པ-མེད-པ	{C}immovability; undisturbed; imperturbility; absence of distractions; non-disturbance; non-distraction
འཁྲུག-པའི-སེམས	{C}watchfulness
འཁྲུག-པའི-སེམས-འགའ-ཙམ-ཡང-སྐྱེད-པར-མི-བྱེད-དེ	{C}does not get angry even in his mind
འཁྲུག-པར-འགྱུར-ཞིང	{C}get angry with
འཁྲུག-པར-བྱ-བ	{C}do harm; upset; disturb
འཁྲུག-པར-བྱེད	{C}contemns; be angry; do harm; upset; disturb
འཁྲུགས-པ	{C}agitated; disturbed; despair; misery
འཁྲུགས-པར-འགྱུར-བ	{C}get into a rage
འཁྲུལ-འཁོར	{C}machinery
འཁྲུལ-འཁོར-སྦྱར-བ	{C}a puppet which can be moved by pulling the strings
འཁྲུལ-པ	trip up; revolving (deluded)
འཁྲུལ-པའི-སེམས	{C}confused thought
འཁྲུལ-རྒྱུ-ཅན	{GD:486} cause of error; {GD:736} leading to error
འཁྲུང	{C}grow up
འཁྲུངས	{C}abundant; grow up
འཁྱམས	{C}revolves
འཁྱམས-ཤིང	{C}after he has erred about
འཁྱིལ-བ	{C}is twisted; curl and turning
འོ-མ	{C}cow's milk
འོད	{C}splendor; radiance; illumination; spread the light; lustre; come to hear; effulgence; brilliance
འོད-འདོམ-གང-བ	{C}a halo (extending for a fathom round his body)
འོད-འཕྲོ-བ	{C}flame; light; ray
འོད-འཕྲོ-བ-ཅན	{C}flame; light; ray
འོད-བྱེད	{C}illuminator; shedder of light
འོད-བྱེད-པ	{C}sheds light; light-bringer
འོད-བཟང-པོ	{C}splendor; light; radiance; illumination; spread the light; lustre; come to hear
འོད-དྲི-མ-མེད-པ	{C}immaculate glory
འོད-གསལ	{C}the shining gods
འོད-གསལ-བ	{C}transparently luminous; translucent; brightly shining; transparent lucidity; splendor; radiance; illumination; spread the light; lustre; come to hear; effulgence; brilliance
འོད-ཀྱི-དཁྱིལ-འཁོར	{C}glorious circle
འོད-ཀྱི-དྲ-བ-འགྱེད	{C}send forth a multitude of light
འོད-ནི-ཕུན-སུམ-ཚོགས-པ	{C}(achieve) splendor
འོད-ཟེར-རབ-ཏུ-འགྱེད-པ	{C}the shedding of rays
འོན-ཀྱང	{C}but on the contrary
འོན-པ	{C}deaf
འོང	{C}comes back; journeys; come (to); go to; be overpowered; approach; take to; undergo; [with na: remain unaware of]
འོང-འགྱུར-བ	{C}comes back; journeys; come to; go to; be overpowered; approach; take to; undergo; [with na: remain unaware of]; would return
འོང-བ	{C}come along; approach; comes to; spurts out of; would return
འོང-བ-འགྱུར-བ	{C}comes back; journeys; come to; go to; be overpowered; approach; take to; undergo; [with na: remain unaware of]
འོང-བར-བགྱིད-པ	{C}which causes to come
འོང-པ-དང-ལྐུག-པ	{C}dumb sheep
འོངས-ནས	{C}come along; thanks to; has come (in)to; (by) resorting to; when he has entered on; come; return again; because of; in the course of
འོངས-པར-གྱུར-ན	{C}would come back
འཕགས	{C}wise; holy (man); saint; sage; tall
འཕགས-པ	{C}wise; holy (man); saint; sage
འཕགས-པར	{C}surpasses; lifted up; rising from; exaltation of
འཕངས	{C}hurl; throw; shoot; reject; cast away; move into
འཕངས-པ	{C}hurl; throw; shoot; reject; cast away; move into; distracted; shot into
འཕར	{C}one who moves along by leaps; pass away from; pass on; transmigrates
འཕེལ	{C}growth; increase
འཕེལ-འགྱུར-ཏེ	{C}increasing; increase (in); grow; is increased
འཕེལ-བ	{C}growth; accumulation; heaped up; increase in; grow; is increased; grows (in)
འཕེལ-བ-མ-མཆིས-པ	{C}if they do not grow
འཕེལ-བར-འགྱུར	(over) crowded; with prominences
འཕེལ-བར-བྱ-བ	{C}increase; growth
འཕེལ-བར-བྱེད-པར-འགྱུར	{C}strengthen
འཕེལ-མེད	{C}absence of growth
འཕོ-བ	{C}pass on; transmigrates; pass away from; come along
འཕོ-བ-མེད-པ	{C}non-passing-on; which does not pass on
འཕོང	{C}archery
འཕོང-གི-སློབ-དཔོན	{C}teacher of archery
འཕྲད-པ	{C}incidence
འཕྲལ-དུ-འབྱུང-བ	{C}(something) adventitious
འཕྲལ-གྱི-བྱ-བ	{C}obligation
འཕྲིན-ལས-དང-འཚོ-བ	{C}work and life
འཕྲོ-བ	proceed; issue; go forth; from; emanate from; continue; go on
འཕྲོ-བས-མུན	{C}cataract; membrane; covering
འཕྲོད	{C}concord; (to possess the) full compliment of conditions
འཕྲོག	{C}is withdrawn; be captivated; partake of
འཕྲོགས-པ	{C}take away; cuts (through)
འཕུར-བའི-བྱ	{C}bird; a bird on its wings
འཕྱ-བར-བྱེད	{C}ironically compliment; mock; condemns
འཕྱུང-བ	{C}sheds
འཐབ	{C}fighting; strife
འཐབ-མོ	{C}fighting; strife
འཐབ-པ	{C}conflict; battle
འཐབ-པར-བྱའོ	{C}have a fight with
འཐབ-སླའི-རྒྱལ-པོ	{C}hostile king
འཐད	{C}(place of) rebirth; genesis
འཐེང-པོ	{C}with withered arm or hand; limping; lame
འཐོབ	{C}gain; receive; apprehend; come back; reach; handed down (in sūtras); comes; has arrived
འཐོབ-འགྱུར-ཏེ	{C}can be apprehended; is seized
འཐོབ-པ	{C}will reach; obtain; reach; winning; attainment
འཐོབ-པར-འགྱུར	{C}understand
འཐོབ-པར-འགྱུར-བ	acquire; receive; gain; find
འཐོབ-པར-བྱེད-དོ	acquire; receive; gain; find
འཐོབ-པར-བྱེད-པ	{C}acquire; receive; gain; find; take hold of
འཐོན	{C}originate
འཚལ-བ	{C}wish (for); look for; wished for; cognize; know; realize; plan; aspire for; search; discover; understand; acknowledge; admit; with negative: indistinguishable
འཚལ-བ-བགྱིའོ	{C}knows
འཚལ-བར-རུང-སྟེ	{C}perceive; cognize; holds to be true; feel
འཚེ-བ	{C}provokes hostility; enemy; hostile forces; foe; harming; distress; calamity; trouble
འཚེ-བ-མེད-པ	{C}avoiding harm
འཚེ-བར-བྱེད-དེ	{C}thinks how he can hurt
འཚེ-བར-སེམས	{C}intent on hurting; attempts to hurt
འཚིག-པ	{C}contentiousness
འཚིག-པ-མེད-པ	{C}immovability; undisturbed
འཚོ-བ	{C}livelihood; living; lives; serve as if they were
འཚོ-བ-ལེགས-པར-འཚོ-བ-ཡིན	{C}how good is the life which they live
འཚོ-བའི-ཕྱིར-ནི-ཡ-ངས-ལོངས-སྤྱོད	{C}to earn one's livelihood in the wrong way
འཚོ-བའི-ཡོ-བྱད	{C}life; livelihood; requirement
འཚོ-བར-འགྱུར	{C}earns his living
འཚོ-བྱེད-ཅིང	{C}lives
འཚོལ	{C}wishes for; desire; search; strive for; want; strive after; aspire for
འཚོལ-བ	{C}wishes for; searches; desire; search; strive for; want; those who grasp; recipient; one who has an interest in; one who searches for
འཚོལ-བ-མེད-པ	{C}desireless(ness)
འཚོལ-བར-འགྱུར	{C}prefers; seeks
འཚོལ-བྱེད	{C}prefers; seeks
འཚོང	{C}sell
འཚུབས-ཏེ-འཆི-བ	{C}dies [lit.: is not drowned]
འུ-ཡུག-པ-རིགས-པའི-སེང-གེ	{GD:x,xii} U-yuk-ba-rig-bay-seng-gay (?-1253), a Sa-kya author on epistemology
ཨ-ཀ-རུ-ནག-པོ	{S}black agaru tree
༅ཨན-ད-རྙིལ༏-ཨན-དྷ-རྙིལ	{S}sapphire
བ-ལང-གི-ཕུར-བ-དག-པ	{C}cow's tethering post
བ-ལང-གི-རྨིག-རྗེས-ཀྱི-ནང-དུ	{C}puddle in a cow's footprint
བ-ལང-རྫི	{C}cowherd
བ-མིན	{GD:681} cow
བ-མོ	{C}hoarfrost blossom
བ-ཉིད	{GD:271} cow
བ-སོ	{C}tooth; ivory
བའི-རྫི-མས-ལྟ-བུ	{C}his eye-lashes are like those of a magnificent heifer
བབ-མཐའ	{C}remote
བབས-པར-གྱུར	{C}possessed
བག-ཆགས	{C}residue; {GD:136} innate propensities
བག-ཁུམས-པར-འགྱུར	{C}despond; become depressed
བག-ལ-ཉལ	{C}(latent) bias; (unwholesome) tendency
བག-ལ-ཉལ-བ	{C}(latent) bias; (unwholesome) tendency
བག-ལ-ཉལ-མེད-པར	{C}he loses all the latent biases to evil
བག-མེད-གྱུར-ཏེ	{C}through carelessness
བག-ཚ	{C}despair; be(come) cast down
བག-ཚ-བ-དང-ལྡན	{C}despond; become depressed
བག-ཚ-བ-མེད-པ	{C}fearless(ness)
བག-ཚ-བར-འགྱུར	{C}despair; be(come) cast down
བག-ཡོད	{C}vigilant; careful
བག-ཡོད-པ	{C}vigilant; careful
བཻ-དུའ-རྱ-འདུག-པ-ཡིན	{C}made of lapis lazuli
བང	run; store
བང-བ	run; store
བང-མཛོད	{C}treasury of the storehouse of
བར	{C}midway; period; interval; incidence; in the intervening; the range (from)
བར-ཆད	{C}obstacle
བར-ཆད-བགྱིད-པ	{C}obstacle
བར-ཆད-བྱེད	{C}impediment; obstacle
བར-ཆད-གཅིག-པ	{C}with one single interval
བར-ཆད-མེད-བཅས	{C}the state without impediments
བར-ཆད-མེད-པ	{C}unimpeded; deadly sins; uninterruptedly; immediately; previous to
བར-ཆད-མེད-པའི-ཏིང-ངེ-འཛིན	{C}unimpeded concentration
བར-ཆོད-པའི-ཚད-མ-འབྲས-བུ	{GD:700} the interrupted results of valid cognition
བར-དུ	the range from; range beginning with; impediment; obstacle; · {C}in between; midway; middle; until the end of; and; middle; medium; middling; as long as
བར-དུ-བར-མ-དོར	{C}meanwhile; midway; prematurely; in the middle of; intermediate state
བར-དུ-གཅོད-པ	{C}impediment; obstacle
བར-དུ-གཅོད-པར-བྱེད-པ	{C}(causing) obstruction
བར-གྱི	{C}within; on his way
བར-ལ	{C}in between; midway; middle; impediment; hindrance; obstacle
བར-མ-ཆོད-པའི-ཚད-མ-འབྲས-བུ	{GD:700} the non-interrupted (immediate) results of valid cognition
བར-མེད	{C}immediately previous to; unimpeded; unhindered
བར-སྐབས	{C}inside; period; at/during that time
བར-སྣང	intermediate space; intermediate realm; air; firmament
བས-པར-འགྱུར	{C}get/become extinct; get exhausted/extinguished; wanes away
བཅད-ཅིང-གཏུབས-ཏེ	{C}having torn off
བཅད-དུ-མེད-པ	{C}not cut apart
བཅད-ནས	{C}cut
བཅད-པ	{C}take away; cuts (through) annihilation; extermination; completely cut off; poetry; verses
བཅད-པའི-ཡུལ-ཅན	{GD:649} cognitions which follow a valid cognition and cognize the same object as that valid cognition
བཅད-པར-བྱ-བ-ཡིན	{C}drives away
བཅག-འཕྲོ	{C}a fragment of
༅བཅས-པ,-བཅས	possessing; with; connected with
བཅས-པའི-སྐྱེ-བ	{C}production; sprung up
༅བཅས,-བཅས-པ	possessing; with; connected with
བཅིང	{C}imprisonment; bond(age); joined together by
བཅིངས	{C}bound
བཅིངས-པ	{C}murder; prisoner condemned to death
བཅོམ	{C}injure; oppress; afflict; those who have forsaken; failure; diminution; decrease; waning; loss
བཅོམ-ནས	{C}having disspelled; having destroyed
བཅོམ-པ	{C}conquered; shaking; shaking about; agitating; killing; slaying; is obstructed; is frustrated; beat back; be upset
བཅོམ-ཞིང	{C}vitiate; injure
བཅོམ-ཞིང-ཕྱིར-ཕྱོགས-པར-འགྱུར	{C}has his back broken
བཅོམ-ཞིང-ཕྱིར-ཕྱོགས-པར-བྱེད	{C}has his back broken
བཅོམ-ཞིང-ཕྱིར-ཕྱོགས-པར-མི-འགྱུར	{C}has his back broken
བཅོས	{C}counterfeit; similar
བཅོས-པ	{C}counterfeit; similar
བཅོས-པུ	{C}counterfeit; similar
བཅུད	taste; essence; elixir
བདག-བདེ-ཡིན	{C}remains at ease
བདག-བསྟོད	{C}exalting himself; exaltation of self
བདག-བསྟོད-པ	{C}self-exaltation
བདག-དང-བདག-གིར-ཆོས	{C}I and mine
བདག-དང-བསམ-པ-མཐུན-པ	{C}they are of like intention with me
བདག-གཅིག-འབྲེལ	{GD:269} having a relation of identical nature
བདག-གི	{C}(for) himself; for themselves; his own; oneself; I myself; my own self; what belongs to the self
བདག-གི-དངོས-པོ	{C}personality; body; frame; personal existence
བདག-གི-དངོས-པོའི-སྐུ	{C}physical personality
བདག-གི-དོན-རྗེས-སུ-ཐོབ-པ	{C}their own weal accomplished
བདག-གི-གནས	{C}standing in the self
བདག-གི-ངོ-བོ	{C}its own body
བདག-གིར	{C}sense of ownership
བདག-གིར-བྱ-བ	{C}mine-making
བདག-གིར-མི-བྱེད	{C}sense of ownership
