ཀ-ངོས	cylinder
གཞི-གྲངས-འཕྲིན-གཏོང	data communication
གཞི-གྲངས-འཚོལ-ལེན	retrieval data
གཞི-གྲངས-ཡིག-ཆ	data file
གཞི-གྲངས-ཡིག-དུམ	data field in databases
གཞི-གྲངས-རང-ཚུགས-ཅན	data independence
གཞི-གྲངས-རིགས-གྲས	data type
གཞི-གྲངས-རེའུ-མིག	data table
གཞི-གྲངས-རྒྱུ	data element
གཞི-གྲངས-རྒྱུན-འགལ	data exception
གཞི-གྲངས-རྒྱུན-རེའུ-མིག	data flow diagram
གཞི-གྲངས-རྒྱུན-རྗེས-འདེད	data-flow trace
གཞི-གྲངས-རྒྱུན	data flow
གཞི-གྲངས-རྗེས-འདེད	data trace
གཞི-གྲངས-རྣམ-གཞག	data format
གཞི-གྲངས-ལག-སྟར-སྒྲིག-སྲོལ	data manipulation rule
གཞི-གྲངས-ལུད-པ	data overruns
གཞི-གྲངས-ལྟེ-གནས	data center
གཞི-གྲངས-ལྷག-རོ	residual data
གཞི-གྲངས-ས-ཚིགས	data station
གཞི-གྲངས-སུབས	remove data
གཞི-གྲངས-སོར-ཆུད	recovery of data
གཞི-གྲངས-སྐྱེན-པོའི-ནོར-སྐྱོན	data-sensitive fault
གཞི-གྲངས-སྐྱོན-ཤོར	data corruption
གཞི-གྲངས-སྒྱུར-ཆས	data converter
གཞི-གྲངས-སྒྲིག-གཅོད-ཚིགས-ཚེག	data processing node
གཞི-གྲངས-སྒྲིག-གཅོད-རྒྱུད-ཁོངས	data processing system
གཞི-གྲངས-སྒྲིག-གཅོད-ལྟེ-གནས	data processing center
གཞི-གྲངས-སྒྲིག-གཅོད-ས-ཚིགས	data processing station
གཞི-གྲངས-སྒྲིག-གཅོད	data processing
གཞི-གྲངས-སྒྲིག-གཞི-ཅན-གྱི-སྒྲིག-སྲོལ	data structuring rule
གཞི-གྲངས-སྒྲིག-གཞི	data structure
གཞི-གྲངས-སྒྲིག-འཛུགས	organization of data
གཞི-གྲངས-སྟུག-ཚད	data density
གཞི-གྲངས-སྡུད-ཆས	data concentrator
གཞི-གྲངས-སྡུད-ཚིགས	data collection station
གཞི-གྲངས-སྡེ-ཁག	data division
གཞི-གྲངས-སྣོན-པ	add data
གཞི-གྲངས-སྤོ-གསོག	datadump
གཞི-གྲངས-སྨོ-ལྷུ	data module
གཞི-གྲངས-སྨྱན-གཟུགས	data media
གཞི-གྲངས-སྲུང-སྐྱོབ	data protection
གཞི-གྲངས-སླར-སྐྱེས	data restoration
གཞི-གྲངས	data
གཞི-ཐིག	baseline
གཞི-དཀར-ཡིག-ནག	black on white
གཞི-དཀར	white-back
གཞི-ནག-ཡིག-དཀར	white on black
གཞི-པང	base board
གཞི-འཛིན-ཐིག	reference line
གཞི-འཛིན-དུ-དྲིལ-བའི-ལུགས-ཀྱི-ཟིན-ཐོ-འགོད-ཐབས	return-to-reference recording
གཞི-འཛིན-ས-མཐའ	reference edge; guide edge
གཞི-རིས-གྲུབ-འབྲས	underpainting
གཞི-རྩའི-གནས-ཡུལ	base address
གཞི-རྩའི-ངེས-ཚད-ཐ-སྙད	basic quantitative terms
གཞི-རྩའི-རིགས-གྲས	underlying type
གཞི-རྩའི-རྣམ-གཞག	basic format
གཞུང-དཔང	notarization
གཞུང-ཕྱོགས-རྣམ-གཞག-ཅན	vertical formatting
གཞུང-ཕྱོགས-སྡུད-ཐོ	longitudinal magnetic recording
གཞུང-ཕྱོགས	portrait
གཞུང-ཚད-ཚུལ	vertical
གཞུང-ཚད-རྣམ-གཞག	portrait format; vertical format
གཞུང-ལས-རང-འགུལ-ཅན	office automation
གཞུང-སྒྲིག	upright typewriting
གཞུང-སྟར-གཡས-མ	right column
གཟུགས-བརྙན	image
གཡབ-ཁུལ-ཆག-པོ-བཟོས-པ	bad sectoring
གཡབ-ཁུལ-རྫུན-མ	fake sector
གཡབ-ཁུལ-སྙོམ-སྒྲིག	sector alignment
གཡབ-ཁུལ	sector
གཡབ-དབྱིབས-ལྟེབ-ཤོག	fanfold paper
གཡས-ཐག	right margin
གཡས-ནས-གཡོན	right to left
གཡས-ཕྱོགས	to right side; right-hand side
གཡས-མཐེབ	right button
གཡས-འོག	lower right
གཡས-ཤོག	right side page
གཡས-ཤོག-མགོ-བྱང	right side page header
གཡས-སུ-འགྲིལ	scroll right
གཡས-སུ-སྤོ	move right
གཡས-སྙོམ-མེད	ragged right
གཡས-སྙོམ	to right-justify
གཡས-སྟེང	upper right
གཡས-སྟེང-ཟུར	upper right corner
གཡས-སྤོ	move right
གཡས	right
གཡེང-ཚེག-བཅོལ-ཆས	floating-point register
གཡེང-ཚེག-མཚོན-ཐབས	floating-point representation
གཡེང-ཚེག-མཚོན-ལུགས	floating-point representation
གཡེང-ཚེག-ཞབས-གྲངས	floating-point base
གཡེང-ཚེག-རིགས-གྲས	floating-point type
གཡེང-ཚེག-རྨང-གྲངས	floating-point radix
གཡེང-འགུལ-མཐོ-ཚད	flying height
གཡོན-གྱི-ཤོག-ངོས	left page
གཡོན-ཐག	left margin
གཡོན-ནས-གཡས	left to right
གཡོན-ཕྱོགས	to left side; left-hand side
གཡོན-མཐའི-སྟར	most left column
གཡོན-མཐེབ	 left key|left button 
གཡོན-འགྲིག-མིན	ragged left
གཡོན-འོག	lower left
གཡོན-ཤོག-མགོ-བྱང	left page header
གཡོན-སྙོམ	to left-justify
གཡོན-སྟེང	upper left
གཡོན-སྤོ	move left
གཡོན	left
གཤམ-སྤོ	down
གཤིབ-ཕྲེང-སྒྱུར-ཆས	serializer; parallel-serial converter; dynamicizer
གཤིབ-བགྲོད-བརྒྱུད-གཏོང	parallel transmission
གཤིབ-བགྲོད-མཐུད-ཁ	concurrent port
གཤིབ-བགྲོད-སྣོན-རྩིས-ཆས	parallel adder
གཤིབ-བགྲོད-སྣོན-རྩིས	parallel addition
གཤིབ-བགྲོད	parallel
གཤིས-ཐང	attribute value
གཤེར-བདར-པང-ལེབ	LCD panel
གཤེར-བདར-བརྙན-ཡོལ	LCD screen
གསང-དོན-ཁྱབ-འགྱེད	compromising emanation
གསང-དོན	privacy
གསང-བ	confidential
གསང-འགྲོལ	to decode; decryption; decipherment
གསང-འདོར	sanitizing
གསང-ཡིག	cipher text
གསང-ཡིག-ཁོ-ན-རྒོལ-བ	ciphertext-only attack
གསང-ཡིག-སྒྲིག-འགོད	set password
གསང-རྒྱ	confidentiality
གསང-ལྡེ	key
གསང-ལྡེའི-རིང-ཚད	key length
གསང-ཤོར	compromise
གསང-སྡོམ	encryption; encipherment
གསང-སྤྲིངས	BCC
གསང-ཨང	password
གསང-ཨང-ངེས-པ	remember password
གསང-ཨང-ངོས-འཛིན	password confirmation
གསང-ཨང-དབྱེ-ཞིབ-ཀྱི-རྒོལ-བ	cryptanalytical attack
གསང-ཨང-དབྱེ-ཞིབ	cryptanalysis
གསང-ཨང-ནང-འཇུག	enter password
གསང-ཨང-ནུས-མེད	password is invalid
གསང-ཨང-ནོར-པ	incorrect password
གསང-ཨང-བཟོ-བཅོས-ལེགས-འགྲུབ-བྱུང-བ	password successfully changed
གསང-ཨང-བསྐྱར-འཇུག	re-enter password
གསང-ཨང-མི-མཐུན-བ	password error
གསང-ཨང-རིག-པ	cryptography
གསང-ཨང-རིང-ཚད	password length
གསང-ཨང-རྒྱུད-ཁོངས	cryptographic system
གསང-ཨང-རྙིང-པ	old password
གསང-ཨང-ལག-རྩལ	cryptographic techniques
གསང-ཨང-སྤྲོད	provide password
གསབ-བཅོས	patch
གསབ-རྩིས	complementary operation
གསབ-ཨང	complement
གསབ-ཨང-ཞབས-གྲངས	complement base
གསར-བཟོ-བྱེད-མཁན	created by
གསར-བསྒྱུར-བྱ-དགོས	needs updating
གསར-བསྒྱུར-རྗེས	after update
གསར-འགྱུར-ཚོ-ཆུང	news group
གསར-འདོན-ཕྱོད	refresh rate
གསར-འདོན	refresh
གསར-འཛུགས	create new
གསར-རྙེད-སློབ-སྦྱོང	learning by discovery
གསར-ཤོས	up-to-date
གསར-སྒྱུར-གཏན-ནས-མ-བྱེད	never update
གསར-སྒྱུར-ཐེངས-རྗེས-མ	next update
གསར-སྒྱུར-དབྱིབས-བཟོ	update dynamics
གསར-སྒྱུར-མི-བྱ	no update
གསར-སྒྱུར	update
གསར-སྣོན	added
གསར-སྤེལ-རྗེས-ཀྱི-དཔྱད-བརྗོད	post-development review
གསར-སྤེལ-རྨང-ཐིག	developmental baseline
གསར-སྤེལ	development
གསལ-ཆ	sharpness
གསལ-ཐོ-མཐོང-རིས	list views
གསལ-ཐོ-ཡིག-དུམ	list field
གསལ-ཐོ-སྒྲིག-གཅོད	list processing
གསལ-ཐོ	list
གསལ-ཐོའི-ནང-དོན	list contents
གསལ-བཤད-རང-བཞིན-ཤེས-བྱ	declarative knowledge
གསལ-བཤད	specification; declaration
གསལ-བསྒྲགས-ཀྱི-ཁྱབ-ཁོངས	scope of a declaration
གསལ-བསྒྲགས-ཁུལ	declarative region
གསལ-བསྒྲགས-ཆ-ཤས	declarative part
གསལ-བསྒྲགས	declarations
གསལ-བྱང	index
གསལ-བྱང-ཁུང	index hole
གསལ-བྱང-གནས-ཡུལ	indexed address
གསལ-བྱང-གཙོ-བོ	primary index
གསལ-བྱང-དཀར-ཆག	index content
གསལ-བྱང-ཕལ-པ	secondary index
གསལ-བྱང-ཡིག-འབྲུ	index word
གསལ-བྱང-རིགས-གྲས	index type
གསལ-བྱང-ལམ	index track
གསལ-བྱེད-གསལ-ཐོ	alphabet
གསལ-བྱེད-དང-ཨང-ཀིའི-གཞི-གྲངས	alphanumeric data
གསལ-བྱེད-དང-ཨང-ཀིའི-ཡིག-རྟགས-ཚོགས-སྤྱི	alphanumeric character set
གསལ-བྱེད-ཕྲེང	alphabetic string
གསལ-བྱེད-ཚིག	alphabetic word
གསལ-བྱེད-ཡིག-རྟགས-ཚོགས-སྤྱི	alphabetic character set
གསལ-བྱེད-ཨང-སྒྲིག-ཚོགས-སྤྱི	alphabetic coded set
གསལ-བྱེད	letter
གསལ-ཚད-ཆེ-གཏོང	increase brightness
གསལ-ཚད-སྟུང-བ	decrease brightness
གསལ-ཚད	brightness
གསལ-འགྲེལ-ཆས-བཀའ-བརྡ	interpreter directive
གསལ-འདེབས	prompt
གསལ-ཡིག	plaintext; clear text
གསལ-ཡིག-བདམས-ནས-རྒོལ-བ	chosen-plaintext attack
གསལ-ཡིག-རྟོགས-ནས-རྒོལ-བ	known-plaintext attack
གསལ-སྒྲོན	light
གསུང-བཤད-ཤལ-རིས	utterance spectrogram
གསུབ-མི-ཐུབ	cannot delete
གསེག-གཟུགས	italic
གསེག-བྲིས	italic
གསེག-འཁྱོག	skew
གསོག-ཁུལ	store area
གསོག-ཆས-ཁུལ-དགར	memory partitioning; storage partitioning
གསོག-ཆས-གཙང-སེལ-རྩོལ-ནུས	clear memory function
གསོག-ཆས-གཙོ-བོ	main storage; main memory
གསོག-ཆས-ཆེ-ཆུང	storage size
གསོག-ཆས-མཛུབ-སྟོན	memory indication; storage indication
གསོག-ཆས-ལག-རྩལ	technology of storage devices
གསོག-ཆས-ཤོང-ཚད	storage capacity
གསོག-ཆས	storage device
གསོག-བྱང	memory stick
གསོག-འཇོག-ཁཱར-རྒྱབ-སྐྱོར	support memory card
གསོག-སྦུག	storage tube
གེགས-སྡོད-དུས-ཚོད	down time
གོ-གཅིག-ཆོད-བརྒྱུད-གཏོང	simplex transmission
གོ-ཆོད-ཁོངས	scope
གོ-རིམ-བསྐྱུར-བ	abort sequence
གོ-རིམ-མེད-པའི-སྐད-བརྡ	nonprocedural language
གོ-རིམ-འབྲེལ-ཡོད-ཚད	sequential cohesion
གོ-རིམ-ལྟར-བཅོལ-ལེན	sequential access
གོ-རིམ-ལྟར-བཤེར-འཚོལ	sequential search
གོ-རིམ-ཨང-གྲངས	serial number
གོ-རིམ-ཨང-སྒྲིག	sequence numbering
གོ-རིམ	sequential
གོ-རྟགས	title
གོ-ལོག-སེལ-བ	disambiguation
གོ-ལྡོག-བརྙན-འཕྲིན	inverse video
གོ-སྐབས-ཞིབ-འཇུག	opportunity study
གོ-སྡུར-ཚད	contrast
གོང-མར-འདོར-འགྲིལ-རྩོལ-ནུས	round-up function
གོང-མར-འདོར-འགྲིལ	to round up
གོང-སྤོ	move up
གོམ-གྲངས	number of steps
གོམ-དབྱེ-ལག-བསྟར	step-by-step operation
གོམ-ནས-གོམ-བཀོལ-སྤྱོད	step-by-step operation
གོམ-མཉམ-དབང-རྩའི-དྲ-རྒྱ	synchronous neural network
གོམ-མཉམ-བརྒྱུད-གཏོང	synchronous transmission
གོམ-མཉམ-རྗེས-མའི-ཆད-ས	postamble breakpoint
གོམ-མཉམ-ལས-བྱ	task synchronization
གོམ-མཉམ	synchronization
གོམ-འགལ-དབང-རྩའི-དྲ-རྒྱ	asynchronous neural network
གོམ-འགལ-བརྒྱུད-གཏོང	asynchronous transmission
གོམ-འགལ-བརྒྱུད-རིམ	asynchronous procedure
གོམ-འགལ	asynchronous
གོམ-རིམ-འབྲེལ-ཡོད-ཚད	procedural cohesion
གོམ-རྐྱང	single step
གོམ-རྐྱང-བཀོལ-སྤྱོད	single step operation
གོམ-རྐྱང-ལག-བསྟར	single-step execution
གྱེན-རིམ	ascending
གྱེས-ཐོར-གཞི-གྲངས	discrete data
གྱེས-ཐོར-དུས-ཚོད-བརྡ-རྟགས	discretely timed signal
གྱེས-ཐོར-བརྡ-རྟགས	discrete signal
གྱེས-ཐོར-མཚོན-ཐབས	discrete representation
གྱེས-ཐོར-རིགས-གྲས	discrete type
གྱེས-ཐོར	discrete
གྱེས-རྡུལ-མཉམ-པའི-པང-ལེབ	plasma panel
གྱོང-གུན	loss
གྲ-སྒྲིག	prepare
གྲ-སྒྲིག-མ-བྱས	unprepared
གྲ-སྒྲིག-ཟིན-པ	ready
གྲང-ཚིགས	cold site
གྲང-འཇོག-གསོག-ཆས	cryogenic storage
གྲང-སློང	cold start
གྲངས-ཀ	 digital|number; digit 
གྲངས-ཀ-ནས-ལད-ཟློས-སྒྱུར-ཆས	 DAC|digital-to-analog converter 
གྲངས-ཀ-མཚོན-ཐབས	digital representation
གྲངས-ཀའི-གཞི-གྲངས	digital data
གྲངས-ཀའི-བརྡ-རྟགས	digital signal
གྲངས-ཀའི-མིང-རྟགས	digital signature
གྲངས-ཀའི-འོད-སྡེར	digital optical disk
