འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
བར-ཁྲ	internal agreement, agreement between parties [KNT]
བར-མེད	. . . (la) bar med - nothing stands between . . . ; isc. there is no gap between . . .. {བར་མཚམས་མེད་པ} uninterrupted; seamless; without gap/ interstice; isc. no separation/ discontinuity
བར-སྣང	surrounding space
བར-སྲིད	interval/ intermediate state between death and rebirth as a phase of conditioned existence
བར-མཚམས-མེད-པ	uninterrupted; seamless; without gap/ interstice; isc. no separation/ discontinuity
བར-ཆད-མེད-ལམ	path free of/ without obstacles
བར-ཆད-མེད-པའི-ལམ	path free of/ without obstacles
བར-ཆད-ཞི-བ	to pacify obstructive situations; obstacles subside
བས-ན	. . . (verb root) pas/ bas na - since . . . , this is why/ so, . . .
བཅའ-བ	(prepared) food
བཅས-པ	. . . (dang) bcas pa - together with; accompanying; together with (its) attendant . . . ; to entail; entailing . . .. {འཆའ་བ} to set up/ formulate/ base (on)
བཅས-པའི-ཁྲིམས	formal ethical codes/ ordinations
བཅས-པའི-ལྟུང-བ	deed formally violating ordination
བཅས-པའི-སྡིག-པ	deed negative/ harmful due to violating formal ordination
བཅིང-བ	{འཆིང་བ} to embrace (within)/ subsume/ encompass/ contain; to bind/ fetter/ restrict/ confine; isc. to (be) constrain(ed); isc. to (be) epitomize(d by)
བཅིང-གྲོལ	bondage versus freedom
བཅིངས	. . . r bcings (pa) - to be embraced/ embodied as. . . . ltar bcings (pa) - to be epitomized/ embodied by
བཅོལ-བ	{འཆོལ་བ} to enjoin/ entrust/ commission; isc. to require (of)
བཅོམ-ལྡན-འདས	transcendent accomplished conqueror/ "Blessed One" [usual renderning in Western translations, esp.from sutra tradition]
བཅོས-བསླད	{བཅོས་བསླད་མེད་པ} (un)contrived and (un)corrupted/ (un)distorted; (without) contrivance and/ or contamination/ tampering
བཅོས-མ	{བཅོས་པ} contrived/ artificial; concocted/ fabricated; isc. influence(d)/ affect(ed)
བཅོས-མེད	uncontrived; {བཅོས་མིན།་བཅོས་མ་ཡིན་པ} uncontrived; unfabricated; isc. not influenced/ affected
བཅོས-མིན	{བཅོས་མེད་།་བཅོས་མ་ཡིན་པ} uncontrived; unfabricated; isc. not influenced/ affected
བཅོས-པ	{འཆོས} to contrive; to fashion/ tailor/ mold/ shape; to concoct/ fabricate/ compromise; isc. to improve on. {བཅོས་མ} contrived/ artificial; concocted/ fabricated; isc. influence(d)/ affect(ed)
བཅོས-མ-ཡིན-པ	{བཅོས་མེད་།་བཅོས་མིན} uncontrived; unfabricated; isc. not influenced/ affected
བཅོས-བསླད-མེད-པ	uncontrived and uncorrupted/ undistorted; without contrivance and/ or contamination/ tampering
བཅུད	vital essence/ quintessence/ distillation/ distilled essence
བཅུད-ལེན	alchemy/ alchemical transmutation [=ra sa ya na]
བདག	{བདག་པོ} lord/ master; owner; agent. identity (with inherent existence); soul
བདག-འཛིན	{བདག་ཏུ་འཛིན་པ} pa to impute/ hold to have/ misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག-འཇུག	(ritual of) self-empowerment
བདག-བཟུང	{བདག་ཏུ་བཟུང་བ} to impute/ hold to have/ misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག-གཉིས	the two aspects of (self-)identity/ selfhood (that of the individual self and the (self-)identity of phenomena)
བདག-ལྟ	{བདག་ཏུ་ལྟ་བ} to view (in terms) of / believe in identity
བདག-མེད	nonexistence of identity (of the individual personality and/ or phenomena); lack of identity
བདག-ཉིད	identity; {བདག་ཉིད་ཅན} what truly characterizes/ is truly characteristic of . . ; true characteristic; (to be the) very identity/ epitome/ embodiment of . . . ; great being/ entity; principle; to include/ incorporate/ embody/ epitomize
བདག-པོ	lord/ master; owner; agent
བདག-རྐྱེན	{བདག་པོའི་རྐྱེན} dominant/ controlling condition
བདག-རྟོག	concept of identity; to conceive in terms of self-identity; isc. to ascribe identity to self and phenomena
བདག-སྣང	subjective/ self-induced/ self-generated appearance/ apparent phenomenon/ manifestation
བདག-ཞེན	{བདག་ཏུ་ཞེན་པ} to fixate on identity (of the individual personality) and/ or phenomena
བདག-མེད-གཉིས	nonexistence of both kinds of identity (of the individual self and phenomena)
བདག-མེད-པ	nonexistence of identity (of the individual personality and/ or phenomena); lack of identity
བདག-མེད-རྟོགས-པའི-ཤེས-རབ	sublime knowing/ wisdom/ transcendent knowledge realizing the nonexistence/ absence of identity (in self and phenomena)
བདག-ཏུ-བཟུང-བ	{བདག་ཏུ་འཛིན་པ} to impute/ hold to have/ misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག-ཏུ-ཞེན-པ	to fixate on identity (of the individual personality) and/ or phenomena
བདག-ཏུ-ལྟ-བ	to view (in terms) of / believe in identity
བདག-ཏུ-འཛིན-པ	{བདག་ཏུ་བཟུང་བ} to impute/ hold to have/ misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག-སྐལ-པ-དང-ལྡན-པ	(sense of) individuality
བདག-ཉིད-ཅན	{བདག་ཉིད} what truly characterizes/ is truly characteristic of . . ; true characteristic; (to be the) very identity/ epitome/ embodiment of . . . ; great being/ entity; principle; to include/ incorporate/ embody/ epitomize
བདག-ཉིད-གཅིག-པུའི-མ-རིག-པ	nonrecognition of awareness that seems/ is virtually the same as/ identical to (the ground of being itself)
བདག-པོའི-རྐྱེན	dominant/ controlling condition
བདག-པོའི-འབྲས-བུ	dominant/ controlling result
བདར-ཤ-གཅོད-པ	{བརྡར་ཤ་གཅོད་པ,་གདར་ཤ་གཅོད་པ} to refine one's experience (of) with great precision; to see with great precision; isc. to see through/ pare away
བདེ-བ	bliss; (complete) happiness/ well-being; easy to . . .
བདེ-གཤེགས	sugata; {བདེ་བར་གཤེགས་པ} sugata/ one arrived at a state of bliss
བདེ-སྡུག	happiness and suffering
བདེ-སྐྱོང	bliss-sustaining
བདེ-སྟོང	unity of bliss and emptiness; (simultaneously) blissful and/ yet empty
བདེ-ཕྱམ-མེ	{བདེ་ཆམ་མེ} serene/ tranquil bliss
བདེ-བར-གཤེགས-པ	sugata; sugata/ one arrived at a state of bliss
བདེ-བར-གཤེགས-པའི-སྙིང-པོ	buddha nature; sugatagarbha; "buddha nature" potential/ heart essence for attaining/ reaching the state of bliss [sutra context] potential/ heart essence that constitutes attaining/ reaching the state of bliss [Dzogchen context]
བདེ-བར-གནས-པ	blissful repose; resting in a stable experience of bliss
བདེ-གཤེགས-སྙིང-པོ	{བདེ་བར་གཤེགས་པའི་སྙིང་པོ} sugatagarbha; "buddha nature" potential/ heart essence for attaining/ reaching the state of bliss [sutra context] potential/ heart essence that constitutes attaining/ reaching the state of bliss [Dzogchen context]
བདེ-ཆམ-མེ	{བདེ་ཕྱམ་མེ} serene/ tranquil bliss
བདེ-བ-ཅན	Sukhavati/ Realm of Bliss
བདེ-གསལ-མི-རྟོག-པ	(meditative experiences of) bliss, lucidity, and nonconceptual awareness
བདེན-འཛིན	bden par 'dzin pa; {བདེན་པར་འཛིན་པ} to invest with truth/ authenticity/ true existence
བདེན-དངོས	real and true (substantial existence)
བདེན-མེད	{བདེན་པ་མེད་པ} untrue; lacking/ to lack true existence/ nature
བདེན-པ	truth; true existence/ nature; true/ valid/ authentic(ity); isc. real (one of seven vajra qualities)
བདེན-སྟོང	empty of true existence; empty of true existence/ nature
བདེན-ཞེན	{བདེན་པར་ཞེན་པ} to fixate on (something) as true/ truly existent; to invest with truth/ true existence
བདེན-པར-འཛིན-པ	to invest with truth/ authenticity/ true existence
བདེན-པར-ཞེན-པ	to fixate on (something) as true/ truly existent; to invest with truth/ true existence
བདེན-པར-མ-གྲུབ-པ	(to be) found (not) to have ever had true existence
བདེན-པའི-ནུས-པ	impact of truth
བདེན-མ-གྲུབ	(to be) found not to have ever had true existence
བདེན-པ-བཞི	('phags pa'i) bden pa bzhi - four (noble) truths
བདེན-པ-གཉིས	two levels of truth
བདེན-པ-མཐོང-བ	direct perception of truth/ true nature
བདེན-པ-མེད-པ	untrue; lacking/ to lack true existence/ nature
བདེན-པ-བཞིའི-རྣམ-པ-བཅུ-དྲུག	sixteen topics implied in the four (noble) truths
བདེར-གནས	{བདེ་བར་གནས་པ} blissful repose; resting in a stable experience of bliss
བདོ-བ	(to be) on the rise
བདུད	mara/ deadening influence/ negative influence
བདུད-རྩི	amrita; nectar/ elixir (of immortality)/ amrita
བདུད-རྩི-སྨན	healing nectar
བེམ-པོ	matter; inert/ inanimate matter; lifeless
བེམ-སྟོང	inert void/ emptiness; nihilistic void
བེར	cloak
བགེགས	(causer of) hindrance
བགེགས-བསྐྲད	{བགེགས་བསྐྲད་པ} - to banish/ banishing hindrances
བགྲང-བ	to enumerate; to quantify
བགྲོད-པ	travel; to traverse/ progress/ travel/ pass over/ reach
བྷ-ག	(cosmic) vagina
བྷ-གའི-དཀྱིལ-འཁོར	mandala of the bhaga/ "cosmic vagina"
བྷན-དྷ-འབར-བའི-གཞལ-ཡས	immeasurable mansion of the radiant skullcup
བཀའ	(spiritual) command/ pronouncement/ permission
བཀའ-བབས	(one who receives) precise/ specific transmission
བཀའ-དྲིན	grace; kindness; grace/ graciousness
བཀའ-སྡོད	attendant (deity)
བཀའ-སྩལ-པ	to be so gracious as to tell/ relate/ inform; to bestow a reply (hon.)
བཀག-པ	{འགེགས་པ,་བཀག་པ,་དགགས་པ} to hinder/ obstruct/ thwart
བཀང-བ	to fill (up)
བཀླག-ཆོག-ཏུ-བཀོད-པ	to arrange as a liturgy for recitation aloud
བཀོད-འདོམས	advice [KNT]
བཀོད-པ	(full) array/ display; to arrange/ display/ set in place; to compose (a text); isc. to be formed. {འགོད་པ} to establish/ place
བཀོད-པར-སྣང-བ	to manifest in full array
བཀོལ-སྤྱོད	{བཀོལ་སྤྱོད་ཀྱི་སྡུག་བསྔལ} - (the suffering of) servitude and exploitation [endured by animals]
བཀྲ-བ	arrayed/ variegated
བཀྲ-ཤིས	auspicious (wish)
བཀྲ-ལམ-མེ-བ	vivid(ness)
བཀྲ-ཤིས-ཤོག	May there be the auspicious presence of . . . / auspiciousness/ all that is auspicious
བཀྲ-ཤིས-རྫས-བརྒྱད	eight auspicious substances
བཀྲ-ཤིས-རྟགས-བརྒྱད	eight auspicious emblems
བཀྲ-ཤིས-བརྗོད-པ	to recite/ express auspicious wishes
བཀྲག-མདངས	luster
བཀྲག-དང-གཟི-མདངས	bskyed pa'i rlung - subtle energy that gives rise to sheen and luster
བཀུག-པ	{འགུག་པ} to summon (premptorily)
བླ	spirit (of a deceased person)
བླ-དབ༹གས	arbitrary designation; euphemism; nickname; synonym; periphrasis/ tic expression; abstract noun
བླ-མ	guru/ spiritual teacher
བླ-མེད	bla na med pa; {བླ་ན་མེད་པ} unsurpassable
བླ-ན-མེད-པ	unsurpassable
བླང-དོར	moral choice; ordinary moral choices of acceptance and/ or rejection; to accept and/ or reject; isc. reaction
བློ	ordinary (rational) consciousness/ intellect; isc. scope (of mind)
བློ-འདས	surpassing/ beyond the intellect/ ordinary consciousness
བློ-བདེ	carefree (state of mind)
བློ-བྲལ	free of/ freedom from/ beyond ordinary consciousness
བློ-ཆེ	of great aptitude
བློ-ཆུང	of lesser/ small aptitude
