ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
སྐེམ	 Present: {སྐེམས} ND. {སྐེམ} DS.\nPast: {བསྐམས} ND, DS.\nFuture: {བསྐམ} ND, DS.\nImperative: - ND, DS. \nInvoluntary:ND, DS.\nTransitive:DS.\nDenominative of: {སྐེམ} , {སྐམ} 'dry' NWH.\nCharacteristic Example: {ཁ} NDA{,་ཁ་སོགས} NDB.\nMeaning: To wilt (of plants), become dry DS.|Present: {སྐེམ} TD, LZ, CD, DK, DS, TC. {སྐེམས} ND.{སྐམ} DK.\nPast: {བསྐམས} TD, LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐམ} TD, LZ, CD, ND, DK, DS, TC.\nImperative: {སྐོམས} TD, LZ, CD, ND, DS, TC. {སྐེམས} DK. {སྐམས} DK. \nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nDenominative of: {སྐེམ} , {སྐམ} 'dry' NWH.\nCharacteristic Example: {ཆུ་སོགས} TD, ND{ཎཌB་ཨིས་ཨུནཅླེཨར,་ལུ་སོགས྄}. {གོས་གཤེར་བ་དང་མེ་ཏོག་སོགས} LZ. \nMeaning: To make dry, to dry up CD. To dry DK. To make fewer, to dehydrate DS.. To dry out, to dry TC. 
སྐོ	Present: {སྐོ} TD, LZ, CD, ND, DK, DS, TC. \nPast: {བསྐོས} TD, LZ, CD, ND, DK, DS, TC. \nFuture: {བསྐོ} TD, LZ, CD, ND, DK, DS, TC. \nImperative: {སྐོས} TD, LZ, ND, DK, DS, TC. \nVoluntary:TD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {དཔོན་གྱོག་སོགས} TD.{ལས་སྣེ་སོགས} LZ.{རྒྱལ་སར} ND.\nMeaning: To select; to appoint, nominate, commission, charge CD. To appoint DK. For leaders or people to give responsibility to a person for a task DS. To appoint. 2. To be determined by the power of past deeds TC.\nNote:(Uray 1972: 19) connects this verb with {མཁོས} /{ཁོས} /{ཁོད} 'institution, administration, settlement of the state' along with the verbs, {འཁོད} , and {འགོད}.
སྐོང	 Present: {སྐོང} TC.\nPast: {བསྐོངས} TC.\nFuture: {བསྐོང} TC.\nImperative: {སྐོངས} TC.\nVoluntary:TC, (Hoshi 2003).\nTransitive:TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To summon, convene TC.|Present: {སྐོང} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nPast: {བསྐངས} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nFuture: {བསྐང} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nImperative: {སྐོངས} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nVoluntary:KYT, KYN, TD, CD, ND, DS, TC. \nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: {སྐང་བ} 'satisfaction' (Rona-Tas 1985: 179).\nCharacteristic Example: {ཐུགས་དམ་སོགས} TD.{ཐུགས་དམ་དང་རེ་བ་སོགས} LZ.{ཐུགས་དམ} ND.\nMeaning: To fulfill CD. To complete; to add; to satisfy, fulfill a wish DK. 1. To fulfill. 2. To make up a deficiency; to supplement TC. 
སྐོན	Present: {སྐོན} KYN, LZ, CD, ND, DK, DS, TC.\nPast: {བསྐོནད} KYN, LZ, ND, DK.{བསྐོན} CD, DS, TC.\nFuture: {བསྐོན} KYN, LZ, CD, ND, DK, DS, TC.\nImperative: {སྐོནད} KYN, LZ, ND, DK.{སྐོན} CD, DS, TC\nVoluntary:KYN, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCausative of: {གོན} (Chang 1971: vii.16, see note) (Gyurme 1992: 259). {གྱོན} (Gyurme 1992: 259) (Duff) {འཁོན} (Chang vii.16, see note)\nCharacteristic Example: {ཁྲབ་རྨོག་ལྟ་བུ་སོགས} LZ.{གོས་སོགས} ND.\nMeaning: To dress; to clothe another person CD. To make someone put on a dress or an ornament DK. 1. To make someone wear (wools, a hat &c.). 2. To cause an action similar to the wearing of hats or clothes (e.g. bridle a horse, tie a rope around a calf's neck) DS. To dress, put on clothes, to cover TC.\nNote:Written Tibetan {སྐོན} , {བསྐོན} , {བསྐོན} 'to dress, to clothe another person': gon 'to put on (clothes, shoes)' appears to be an example of the devoicing caused by s similar to {སྤུབ} , {འབུབ}. Our spoken Tibetan data, however, does not confirm this meaning of {སྐོན} , suggesting rather two bases, *kon 'to get caught', and *gon 'to get dressed' (Chang 1971: viii.15).
སྐོམ	Present: {སྐོམ} DS, TC. \nPast: {སྐོམ} [DS]. {སྐོམས} TC.\nFuture: {སྐོམ} [DS], TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: {སྐོམ} 'dry' NWH.\nMeaning: For a desire to drink to arise when the liquid of the body is depleted DS. To suffer because the wetness within the mouth has dried TC.\nNote: Compare {སྐམ} and {སྐེམ}.
སྐོར	 Present: {སྐོར} DS, TC.\nPast: {བསྐོར} DS, TC.\nFuture: {བསྐོར} DS, TC.\nImperative: {སྐོར} DS, TC.\nVoluntary: DS, TC.\nIntransitive: DS. Voluntary: TC.\nMeaning: To go, wander, roam, loaf DS. To wander, to roam, to move about TC.\nNote: In Situ's great commentary only {བསྐོར} and not {སྐོར} is given DS. | see {སྐར}|Present: {སྐོར} TD, LZ, CD, ND, DK, DS, TC.\nPast: {བསྐོརད} TD, LZ, ND, DK.{བསྐོར} CD, DS, TC.\nFuture: {བསྐོར} TD, LZ, CD, ND, DK, DS, TC.\nImperative: {སྐོརད} TD, LZ, ND, DK. {སྐོར} DS, TC.\nVoluntary:TD, ND, DS, TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nTransitive:DS, TC, (Gyurme 1992: 247).\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁོར} (Gyurme 1992: 259), (Beyer 1992: 116), (Duff).\nCharacteristic Example: {ཆོས་འཁོར་སོགས} TD.{ལྷ་ཁང་དང་རྟེན་ལ} LZ.{འཁོར་བར} ND.\nMeaning: 1. To fill with; to surround, encircle, enclose, besiege; to come again and again; to revolve. 2. To traverse, ride round a thing. 3. To circumambulate CD. To turn round; to turn a wheel; to take a round; to encircle, surround DK. 1. To make something turn around the circumference of a center. 2. To lead, take control. 3. To encircle, surround. 4. To change directions, shift allegiances. 5. To trick, mislead DS. 1. To turn around, rotate. 2. To surround, encircle TC.\nNote:(Beyer 1992: 83) suggest that skyor is a palatalized version of this verb, however {སྐོར} has the root vowel o and {སྐྱོར} the root vowel a, so his analysis is unlikely. 
སྐོལ	Present: {སྐོལ} LZ, CD, ND, DK, DS, TC.\nPast: {བསྐོལད} LZ, ND, DK.{བསྐོལ} CD, DS, TC.\nFuture: {བསྐོལ} LZ, CD, ND, DK, DS, TC.\nImperative: {སྐོལད} LZ, ND, DK. {སྐོལ} DS, TC.\nVoluntary: ND, DS, TC, (Tournadre & Dorje 2003: 306), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 306), (Hackett 2003).\nCausative of: {འཁོལ} CD, (Chang 1971: v.1), (Gyurme 1992: 259), (Beyer 1992: 116).\nCharacteristic Example: {ཟ་སོགས} LZ.{ཟ་དང་ཆུ} NDB.{ཟ་དང་ཆུ་སོགས} NDA.\nMeaning: To boil CD, DK, TC.
སྐྱ	Present: {སྐྱས} LZ. {སྐྱ} CD, ND, DK, DS, TC.\nPast: {བསྐྱས} LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐྱ} LZ, CD, ND, DK, DS, TC.\nImperative: {སྐྱོས} ND, DS, TC. {སྐྱས} LZ, DK.\nVoluntary:ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གཞི་དང་རུས་པ་སོགས} LZ. '{ཕོ་བའི} ND.\nMeaning: 1. To carry; convey to a place (a quantity of stones, wood, water, &c.). 2. To change place CD. To move one's residence or dwelling; to migrate, transfer DK. 1. To move, to move from one place to another, to migrate. 2. (archaic) To deliver, convey TC.
སྐྱག	Present: {སྐྱག} CD. {རྐྱག} (CD).\nPast: {བསྐྱོགས} CD.\nFuture: {བསྐྱག} CD.\nImperative: {སྐྱོག} CD.\nMeaning: 1. To spread, lay out, expand. 2. (in West) To slaughter, murder (Ja) CD.\nNote: CD suggests comparison with {འགྱག} 
སྐྱད	Present: {སྐྱད} DK.\nPast: {བསྐྱད} DK.\nFuture: {བསྐྱད} DK.\nImperative: {སྐྱད} DK\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To kill DK. 1. To kill. 2. To compete [Lishi gur khang]
སྐྱས	{སྐྱས} LZ. gives as the present of {སྐྱ} 
སྐྱི	Present: {སྐྱི} LZ, CD, ND, DK, DS, TC.\nPast: {བསྐྱིས} LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐྱི} LZ, CD, ND, DK, DS, TC.\nImperative: {སྐྱིས} LZ, CD, ND, DK, DS, TC.\nVoluntary:CD, ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གཞན་ལས་གསེར་དངུལ་སོགས} LZ.{ནོར་སོགས} ND.\nMeaning: To borrow, especially money or goods CD. To lend; to borrow; to give or take something on loan DK. To loan, borrow TC.\nNote: Certainly the same verb as {སྐྱིན} NWH.
སྐྱིག	 Present: {སྐྱིག} (Ja).\nMeaning: To hiccup (Ja).|Present: {སྐྱིག} DK.\nPast: {བསྐྱིགས} DK.\nFuture: {བསྐྱིག} DK.\nImperative: {སྐྱིགས} DK\nMeaning: To cause to tie, to fasten DK. 
སྐྱིན	Present: {སྐྱིན} CD, DK.\nPast: {བསྐྱིན} CD.{བསྐྱིནད} DK.\nFuture: {བསྐྱིན} DK.\nImperative: {སྐྱིནད} DK.\nDenominative of: {སྐྱིན་པ} 'loan' NWH.\nMeaning: To borrow CD. To lend, to borrow CD.\nNote: Compare {སྐྱི}.
སྐྱིལ	Present: {སྐྱིལ} LZ, CD, ND, DK, DS, TC.\nPast: {བསྐྱིལད} LZ. ND, DK.{བསྐྱིལ} CD, DS, TC.\nFuture: {བསྐྱིལ} LZ, CD, ND, DK, DS, TC.\nImperative: {སྐྱིལད} LZ, ND, DK. {སྐྱིལ} DS, TC.\nVoluntary: ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁྱིལ} (Chang 1971: v.3) (Gyurme 1992: 259), (Beyer 1992: 116).\nCharacteristic Example: {མཚོ་དནག་ཆུ་སོགས} LZ.{ཆུ་སོགས} ND.\nMeaning: 1. To pen up, shut up; to dam up a river. 2. (Ja) to bend, especially the legs when sitting on the ground after the oriental fashion. To bend in another's leg by a kick from behind; to bend the bow CD. To dam; to store DK. 1. To dam up, to pen up, contain. 2. To keep TC.
སྐྱུག	 Present: {སྐྱུག} DK, DS, TC.\nPast: {བསྐྱུགས} DK, DS, TC.\nFuture: {བསྐྱུག} DK, DS, TC.\nImperative: {སྐྱུགས} DK, DS, TC.\nVoluntary:DS, TC.\nTransitive: TC Intransitive:DS\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: {སྐྱུག་པ} 'vomit, purgative'NWH.\nMeaning: To cause to vomit DK. To release the contents of the viscera from the mouth DS. To vomit, to wretch TC.|Present: {སྐྱུག} CD, ND, DK.\nPast: {སྐྱུགས} CD, ND, DK.\nFuture: {སྐྱུག} ND, DK.\nImperative: {སྐྱུགས} ND, DK.\nVoluntary:ND.\nDenominative of: {སྐྱུག་པ} 'vomit, purgative' NWH.\nCharacteristic Example: {ཀོང་ནད} ND.\nMeaning: To vomit, to eject (e.g. blood). 2. To lose color, to stain CD. To vomit; to come out forcefully DK. 
སྐྱུང	Present: {སྐྱུང} LZ, CD, ND, DK, DS, TC\nPast: {བསྐྱུངས} LZ, CD, ND, DK, DS, TC\nFuture: {བསྐྱུང} LZ, CD, ND, DK, DS, TC\nImperative: {སྐྱུངས} LZ, CD, ND, DK, DS, TC \nVoluntary:CD, ND, DS, TC\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཁེངས་པ་སོགས} LZ.{ཉུང་དུ} ND.\nMeaning: 1. To diminish, reduce. 2. (Ja) (In central Tibet) to leave behind; to lay aside (a task). CD To reduce or diminish one's prive or voice; to subdue; to give up DK.DS 1. To cast off, leave far behind, to abandon and put behind; to give up completely, to discard completely. 2. To lessen (in amount, degree), to reduce (in size, extent) TC (Duff).\nPast: {བསྐྱུད} LZ, ND, DK, DS, TC.\nFuture: {བསྐྱུད} LZ, ND, DK, DS, TC.\nImperative: {སྐྱུད} LZ, ND, DK, DS. - TC. \nVoluntary:ND, DS. Involuntary: TC.\nTransitive:DS. Intransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {སེམས་ལ} LZ.{བརྗེད་བྱ} ND.\nMeaning: 1. To forget. 2. To leave off (Ja). 3. To communicate, swallow (Sch.) CD. To forget; to fail to recall DK. (archaic) To forget DS. To forget TC.
སྐྱུར	Present: {སྐྱུར} LZ, CD, ND, DK, DS, TC.\nPast: {བསྐྱུརད} LZ, ND, DK.{བསྐྱུར} CD, DS, TC.\nFuture: {བསྐྱུར} LZ, CD, ND, DK, DS, TC.\nImperative: {སྐྱུརད} LZ, ND, DK. {སྐྱུར} DS, TC.\nVoluntary:DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁྱུར} (Chang 1971: v.4), (Beyer 1992: 116).\nCharacteristic Example: {བྱ་བ་ངན་པ་སོགས་རྒྱབ་ཏུ} LZ.{ཕར་ལ} ND.\nMeaning: To throw, to cast; to leave off CD. To throw or to cast off, to renounce or give up DK. 1. To throw away, discard (rubbish). 2. To abandon, leave behind (homeland, troubles) DS. 1. (Mental) To give up on, to abandon, to forsake, to go back on something which one has previously adhered to, to leave behind something for something else seen as better. 2. (Physical) To toss off, away, to cast off something which is now seen as rubbish or as useless TC (Duff).
སྐྱེ	Present: {སྐྱེ} LZ, CD, DK, DS, TC.\nPast: {སྐྱེས} LZ, CD, DK, DS, TC.\nFuture: {སྐྱེ} LZ, DK, DS, TC.\nImperative: {སྐྱེ} LZ. {སྐྱེས} DK. - DS, TC.\nInvoluntary:DS, TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003). [Abs. Obl.] (Hackett 2003).\nResultative of: {སྐྱེད} (Laufer 1915: 62).\nDenominative of: {སྐྱེ་བ} 'birth', {སྐྱེ་བུ} 'person' NWH.\nCharacteristic Example: {སྲིད་པ་སོགས་སུ} LZ.\nMeaning: To be born, arise CD. To be born; to come out newly DK. 1. kinds of vegetation having first sprouted a shoot, to develop fruit. 2. To issues from the mother's womb. 3. To mature, rise up like the sprouting of vegetation. 4. To become larger or longer. 5. To arise, occur DS. 1. To be born, to arise, to grow anew. 2. To grow, increase TC.
སྐྱེང	 Present: {སྐྱེང} DK.\nPast: {བསྐྱེངས} DK.\nFuture: {བསྐྱེང} DK. \nImperative: {སྐྱེངས} DK.\nMeaning: To make shameful or to cause to be ashamed; to belittle; to bring down DK.|Present: {སྐྱེང} CD, DK. {སྐྱེངས} CD. DS, TC.\nPast: {སྐྱེངས} DK, [DS], TC.\nFuture: {སྐྱེང} DK.{སྐྱེངས} [DS], TC. \nImperative: {སྐྱེངས} DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be ashamed CD. To be ashamed; to be embarrassed DK, DS. To be abashed, embarrassed, circumspect (especially regarding speech) TC (Duff).\nNote: I could see here two verbs ({སྐྱེངས} , {སྐྱེངས} , {སྐྱེངས} , - ) and ({སྐྱེང} , {སྐྱེངས} , {སྐྱེང} , {སྐྱེངས} ) the evidence is insufficient to decide.  
སྐྱེད	Present: {སྐྱེད} LZ, CD, ND, DK, DS, TC.\nPast: {བསྐྱེད} LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐྱེད} LZ, ND, DK, DS, TC.\nImperative: {སྐྱེད} LZ, ND, DK, DS, TC.\nVoluntary:ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {སྐྱེ} (Laufer 1915: 62), (Duff).\nCharacteristic Example: {ཆོ་ག་དང་བུ་སོགས} LZ.{ལྷ་སོགས་དང་སེམས} ND.\nMeaning: To procreate, generate, bring forth. give birth to CD. To make progress, to increase, widen DK.
སྐྱེམ	Present: {སྐྱེམ} CD. \nPast: {སྐྱེམས} [CD].\nMeaning: To be thirsty CD.\nNote: Root given as skyem < skyam < skam (Beyer 1992: 84 n. 15).
སྐྱེལ	 Present: {སྐྱེལ} CD. \nPast: {བསྐྱེལ} CD.\nFuture: {བསྐྱེལ} CD.\nImperative: {སྐྱོལ} CD.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning: To conduct, accompany CD.|Present: {སྐྱེལད} LZ, ND.{སྐྱེལ} CD, DK, DS, TC.\nPast: {བསྐྱལད} LZ, NDB{ཎཌB་སེཨེམས་ཏོ་ཧབེ༹་བསྐྱམད་ཝཧིཆ་མུསཏ་བེ་ཨིན་ཕ༹ཅཏ་བསྐྱལད་ཎཌཱ་ཧས་བསྐྱལ} , DK.{བསྐྱལ} CD, NDA, DS, TC.\nFuture: {བསྐྱལ} LZ, CD, ND, DK, DS, TC.\nImperative: {སྐྱོལད} LZ, ND, DK.{སྐྱོལ} CD, (DK), DS, TC. \nVoluntary:LZ, ND, CD, DK, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གཏོ་མདོས་སོགས} LZ.{གནས་སུ} ND.\nMeaning: 1. To carry, to take away. 2. To send. 3. To risk, to stake (one's life). 4. To use, to employ CD. To deliver a person or thing; to see off, to kiss; to lose; to vow; to accomplish DK. 1. To go from one place to another place accompanying another person in order to show love, to protect, or supervise. 2. To raise a thing from one place to another place. 3. To use, employ. 4. To finish, perfect DS. 1.To escort, to see off. 2. To send, transport, deliver, 3. To do, to apply. 4. To pass, spend (of time) TC.\nNote: Root given as skyal \nNote: Compare {འཁྱོལ}  
སྐྱོ	Present: {སྐྱོ} DK, DS, TC.\nPast: {སྐྱོ} DK, [DS], TC.\nFuture: {སྐྱོ} DK, [DS], TC.\nImperative: {སྐྱོ} DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: {སྐྱོ} 'grief, sorrow' NWH.\nMeaning: To be sad, to be gloomy DK. 1. To be irritated. 2. To be disaffected DS. 1. To be sad, to be miserable. 2. To be fed up with, to be weary of, to be disenchanted with, to have distaste for TC (Duff).
སྐྱོག	 see {སྐྱག}|Present: {སྐྱོག} CD, DK, DS, TC.\nPast: {བསྐྱོགས} DK, DS, TC.\nFuture: {བསྐྱོག} DK, DS, TC.\nImperative: {སྐྱོགས} DK, DS, TC.\nVoluntary:DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To turn, to turn away, aside CD. To turn aside, to drive aside DK. 1. To change direction. 2. To bend, make crooked DS. 1. To turn. 2. To move over, to give way TC. 
སྐྱོང	 Present: {སྐྱོང} E TD, LZ, CD, ND, DK, DS, TC.\nPast: {བསྐྱངས} TD, LZ, ND, DK, DS, TC. {བསྐྱོངས} CD.\nFuture: {བསྐྱང} TD, LZ, CD, ND, DK, DS, TC.\nImperative: {སྐྱོང} (Zeisler 2004: 349).{སྐྱོངས} TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {དྲིན་གྱིས} TD.{བརྩེ་བ་དང་དྲིན་གྱིས} LZ.{དྲིན་གྱིས་བོན་tshesB་བསྟན་པ་སོགས} ND.\nMeaning: To guard; to keep; to defend; to save; to preserve CD. To look after; to nurse, cherish; to take care of; to administer DK. 1. To look after, support, take care of. 2. To supervise, direct, support DS. 1. To sustain, take care of, tend, look after. 2. To protect, guard. 3. To manage, do, hold, control, carry out TC.|Present: {སྐྱོང} DS.\nPast: {སྐྱོང} [DS].\nFuture: {སྐྱོང} [DS].\nIntransitive:DS.\nMeaning: To go on a long road DS. 
སྐྱོད	 Present: {སྐྱོད} CD, ND, DK, DS, TC.\nPast: {བསྐྱོད} CD, ND, DK, DS, TC.\nFuture: {བསྐྱོད} CD, ND, DK, DS, TC.\nImperative: {སྐྱོད} ND, DK, DS, TC.\nVoluntary:ND, DS, TC, (Hoshi 2003).\nTransitive: CD. Intransitive:DS, TC.\nCharacteristic Example: {གོམ་པའི་ཞབས་ཀྱིས} ND.\nMeaning: (In West) (Respectful) To go, to walk CD. To cause to go or proceed DK. To go DS. To go TC.|Present: {སྐྱོད} LZ, CD, DK, DS, TC.\nPast: {བསྐྱོད} LZ, CD, DK, DS, TC.\nFuture: {བསྐྱོད} LZ, CD, DK, DS, TC.\nImperative: {སྐྱོད} LZ, DK, DS.- TC.\nVoluntary:ND, DS. Involuntary: TC.\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གནས་སོགས་དང་རླུང་གིས} LZ.\nMeaning: To move; to go, pass on CD. To move DK. To move, agitate DS. To move, stir, agitate TC. 
