འབའ-ཞིག	kevala. n^anyatra
འདོད-པའི-འབྲས-བུར-འགྱུར-བའི-ལས	iSTa-phalaM karma
འདོད-པའི-འབྲས-བུ-འབྱུང-བའི-ལས	iSTa-phalaM karma
འདོད-པའི-ཁྱད-པར	kAma-vizeSa
འདོད-པའི-འདོད-ཆགས	kAma-rAga
འདོད-པའི-འདོད-ཆགས-དང-བྲལ-བ	kAma-vIta-rAga
འདོད-པ-ཅན	kAmin
འདོད-པ-ཙམ	icchA-mAtra
འདོད-པ-ཆེ-བ	mah^ecchatA. mah^eccha
འདོད-པ-མ-ཡིན-པ	an-abhipreta
འདོད-པ-སྤྱོད-པ	kAma-caryA
འདོད-པ-སྤྱོད-ནུས-པ	kAm^opabhoga-samartha
འདོད-པ-སྤྱོད-པའི-ལྷའི-རིས-བཞི-པོ-དག-གི-གཞལ-མེད-ཁང	caturNAM kAm^avacarANAM deva-nikAyAnAm-vimAnAni
འདོད-པ-ཚོལ-བ	kAm^aiSaNA
འདོད-པ-དང-མི-འདོད-པ	iST^aniSTa
འདོད-པ-དང-མི-འདོད-པའི-འབྲས-བུ	iST^aniSTa-phala
འདོད-པ-དང-མི-འདོད-པའི-ལས-ཀྱི-དབང	iST^aniSTa-karm^adhipati
འདོད-པ-དང-སྡིག-པ-མི-དགེ-བའི-ཆོས	kAma-pApak^akuzala-dharma
འདོད-པ-དང-ལྡན-པ	kAma-pratisaMyukta. kAmin
འདོད-པ-དང-ལྡན-པའི-ལས	kAma-pratisaMyuktaM karma
འདོད-པ-ལ-འཆུམས-པ	kAma-niyanti
འདོད-པ-ལ-བརྟེན-པ	kAmAn pratiSevataH
འདོད-པ-ལ-ཞེན-པ	kAm^alaya
འདོད-པ-ལ-འདུན-པ	kAma-cchanda
འདོད-པ-ལ-འདུན-པའི-སྒྲིབ-པ	kAma-cchanda-nivaraNa
འདོད-པ-ལ-ལྷག-པར-ཞེན-པ	kAm^adhyavasAna
འདོད-པ-ལ-འདོད-ཆགས	kAma-rAga
འདོད-པ-ལ-ལོངས-སྤྱོད-པ	kAma-bhoga. kAmin. kAm^opabhoga. kAm^opabhogin
འདོད-པ-ལ-ལོངས-སྤྱོད-པར-བྱེད-པ	kAm^opabhogin
འདོད-པ-ལ-ལོག-པར-གཡེམ-པ	kAma-mithyA-cAra
འདོད-པ-ལ-ལོག-པར-གཡེམ-པའི-སྦྱོར-བ-བྱས-པ	kAma-mithyA-cAra-prayoga
འདོད-པ-ལ-ལོག-པར-གཡེམ-པའི-མཐར-ཐུག-པར-བྱས-པ	kAma-mithyA-cAra-niSThA
འདོད-པ-ལ-ལོག-པར-གཡེམ-པ-སྤངས-པ	kAma-mithyA-cAra-virati
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-བྱེད-པ	kAma-mithyA-cArika
འདོད-པ-སྐྱེ-བ	kAm^opapatti
འདོད-པ-འབྱོར-བ	icchA-saMpatti
འདོད-པ-ཆུང-བ	alp^ecchatA. alp^eccha
འདོད-པ-ཆུང-ངུ	alpecchatA
འདོད-པ-ཆུང-བའི-གཏམ	alp^eccha-kathA
འདོད-པ-བཞིན-དུ	nikAma. icchAm
འདོད-པ-བཞིན-དུ-ཡོངས-སུ-བསྐང-བ	icchA-paripUri
འདོད-པ-བཞིན-དུ-ཐོབ-པ	nikAma-lAbhita
འདོད-པ-བསྐྱེད-པ	pariharSaNa
འདོད-པ-བཙལ-ཏེ-མ-རྙེད-པ-གང-ཡིན-པ-དེ-ཡང-སྡུག-བསྔལ	yad api icchan paryeSamANI na labhate tad api duHkham
འདོད-པ-སྤྲུལ-པ	nirmita-kAma
འདོད-པ-ཉེ-བར-གནས-པ	pratyupasthita-kAma
འདོད-པ-ལྔའི-ཡོན-ཏན	paJca kAma-guNAH
འདོད-པ-ན-སྤྱོད-པ	kAm^avacara
འདོད-པ-ན-སྤྱོད-པའི-ལྷ-རྣམས-དྲུག	SaT kAm^avacarA devAH
འདོད-པ-ཡོངས-སུ-སྤྱོད-པ	kAma-paribhoga
འདོད-པ-ཡོངས-སུ-ཚོལ-བ	kAma-paryeSaNA
འདོད-ཆགས-ཤས-ཆེ-བ	tIvra-rAga. unmada-rAga
འདོད-ཆགས-ཀྱི-ཀུན-ནས-དཀྲིས-པ	rAga-paryavasthAna
འདོད-ཆགས-ཆུང-བ	manda-rajaska
འདོད-ཆགས-ཡུན-རིང-པོར-འགྱུར-བ	Ayata-rAga
འདོད-ཆགས-ཆེ-བའི-རང-བཞིན-ཅན	prabhUta-rajaska-jAtIya
འདོད-ཆགས-སྤྱད-པ	rAga-carita
འདོད-ཆགས-སྤྱོད-པ	rAga-carita
འདོད-ཆགས-དང-བྲལ-བ	virAga. vIta-rAga. vairAgya; vigata-rAga. virakta
འདོད-ཆགས-དང-བྲལ-ན	virajyamAna
འདོད-ཆགས-དང-བྲལ-བར-འགྱུར-བ	vi-/raJj:virajyate. vairAgya-gamana
འདོད-ཆགས-དང-བྲལ-བར-རྗེས-སུ-ལྟ-བ	virAg^anudarzin
འདོད-ཆགས-དང-བྲལ-བར-གྱུར-པ	vIta-rAga
འདོད-ཆགས-དང-བྲལ-བར-བྱེད-པ	vairAgyaM karoti
འདོད-ཆགས-དང-བྲལ-བའི-དབྱིངས	virAga-dhAtu
འདོད-ཆགས-དང-བྲལ-བའི-གཏམ	virAga-kathA
འདོད-ཆགས-དང-བྲལ-བའི-ས	vairAgya-bhUmi
འདོད-ཆགས-དང-བྲལ-བའི-སེམས	vigata-rAgaM cittam
འདོད-ཆགས-དང-བྲལ-བའི-སར-གཏོགས-པ	vairAgya-bhUmi-patita
འདོད-ཆགས-དང-བྲལ-བ-ལས-ཡོངས-སུ-ཉམས-པར-འགྱུར-བ	vairAgyAt parihIyate
འདོད-ཆགས-དང-བྲལ-བ-རྣམ-པར-དག-པ	vairAgya-vizuddhi
འདོད-ཆགས-དང-བྲལ-བ-མ-ཡིན-པ	a-vIta-rAga
འདོད-ཆགས-དང-བྲལ-བ-དང-མཐུན-པའི-དབང-པོ-ཡོངས-སུ-སྨིན-པ	vairAgy^anukUlena indriya-paripAkatA
འདོད-ཆགས-དང-ཤས-ཆེར-བྲལ-བ	yad-bhUyo vIta-rAgaH
འདོད-ཆགས-དང-བཅས-པའི-སེམས	sa-rAgaM cittam
འདོད-ཆགས-དང-མ-བྲལ-བ	a-vIta-rAga
འདོད-ཆགས-ཀྱིས-ཀུན-ནས-བསླང-བ	rAga-samutthApita
འདོད-ཆགས-དྲག-པོ	tIvra-rAga
འདོད-ཆགས-དྲག-པོའི-སྐབས-སུ-བབ-པ	tIvr^avasthA-gata
འདོད-པས-ཕོངས-པ	icchA-vighAta. icchA-vighAtika
འདོད-པས-ཕོངས-པའི-སྡུག-བསྔལ	icchA-vighAtikaM duHkham. icchA-vighAtikaM-duHkham
འདོད-པས-ཕོངས-པར-གྱུར-ན	icchA-vighAtavantaH
འདོད-པས-ལོག-པར-གཡེམ-པ	kAma-mithyA-cAra
འདོད-པས-འཕོངས-པ	icchA-vighAta
འདོད-པར-བྱ-བ	prArthanIya. abhipretatva
འདོད-པར-བྱ-བ-མ-ཡིན-པ	a-prArthanIya
འདོད-པར-བྱེད-པ	rocayatA. A-/yAc:AyAcate
འདོད-པར-འགྱུར-བ	prArthanA
འདོད-པར-མི-བྱེད-པ	na utkaNThati
འདོད-པར-གྱུར-པ	ruci
འདོད-བའི-བདེ-བ	kAma-sukha
འདོད-དགུར-གཟུགས-བསྒྱུར-ནས	kAma-rUpI bhUtvA
འདོད-ཆེན-ཆེ-བ	mah^eccha
འདོགས-པ	prajJapti; prajJapti-mAtra. pra-/jJA:prajJapyate. pra-/jJA:prajJapyante. upacAra
འདོགས-པར-བྱེད-པ	A-/ruh:Aropayati
འདོགས-པར-མཛད-པ	prajJapti
འདོགས-པ-ལ-འཇུག-པ	prajJaptim anupatati
འདོགས-པ-ལས-དགོངས-ནས-གསུངས-པ	upacAram abhiprety^oktam
འདོགས-པའི-གཞི	prajJapty-adhiSThAna
འདོགས-པའི-ཚིག	prajJapti-vAda
འདོགས-པའི-ཚིག-ཐམས-ཅད	sarva-prajJapti-vAda
འདོགས-པའི-ཚིག-གིས-ངོ-བོ-ཉིད-དུ-ཡོད-པ	prajJapti-vAda-svabhAvatA
འདོགས-པའི-ཚིག-གིས-ཉེ-བར-གཏགས-པ	prajJapti-vAd^opacAra
འདོགས-པའི-ཚིག-ཉེ-བར-འདོགས-པ	prajJapti-vAd^opacAra
འདོགས-པའི-ཚིག-གི-རྟེན	prajJapti-vAd^azraya
འདོགས-པའི-ཚིག-གི-མཚན-མའི-གཞི	prajJapti-vAda-nimitt^adhiSThAna
འདོགས-པའི-ཚིག-གི-མཚན-མའི-རྟེན	prajJapti-vAda-nimitta-saMnizraya
འདོགས-པའི-ཚིག-གི-ངོ-བོ-ཉིད	prajJapti-vAda-svabhAva
འདོགས-པའི-ཚིག-གི-བདག-ཉིད-ཀྱི-ཆོས	prajJapti-vAd^atmako dharmaH
འདོམ-པར-མཛད-པ	ava-/vad:avavadati
འདོམ-གང-ལྡན-པ	vyAma
འདོམས	upastha
འདོམས-པ	avavAda; avavaditum
འདོམས-པ-ན	codyamAna
འདོམས-པར-བྱེད-པ	avavAdaka
འདོམས-པར-འདོད-པ	avavaditu-kAma
འདོན-པ	uddeza
འདོང-བ	gamana
འདོར-བ	nikSipta. nikSepa. pratisaMharaNa. abhinirhriyate. vi-/hA:vijahAti
འདོར-བར-མི-བྱེད-པ	na pratikSipati
འདོར-བར-བྱེད-པ	pra-/kSip:prakSipasi. /muc:muJcati
འདོར-བར-འགྱུར-བ	prati-sam-/hR:pratisaMharati
འདོར-དུ-འཇུག-པ	parityAga. /tyaj:tyAjayati
འདོར-དུ-གཞུག-པ	/tyaj:tyAjayati
འདོར-དུ-བཅུག-ནས	apahAya
འདྲ-བ	sadRza. sAdRzya; sthAnIya. sabhAga. sAdharmya. sAdhAraNa. iva. upama
འདྲ-བར	sadRzena
འདྲ-བར-རྒྱུ-བ	samAna-pravAha
འདྲ-བར-བཅོས-པ	pratirUpaka
འདྲ-བར-སྣང-བ	anusadRzaM pratibhAsam
འདྲ-བར-འབྱུང-བ	sadRza-utpatti
འདྲ-བ-མེད-པ	vaidharmya
འདྲལ-བར-མི-བྱེད-པ	na chidrI-karoti. a-khaNDa-cArin
འདྲངས-པ	tRpta
འདྲེ-བར-གནས-པ	saMsRSTa-vihAritA
འདྲེད-པ	picchila
འདྲེན-མ	pUga. saMbhinna. vyatimizra
འདྲེན-པ	netRkatva. AvAhakatva. AvAhaka. AvAhana. AkarSaNa
འདྲེན-པའི-མཐུ	AkarSaNa-samartha
འདྲེན-པའི-རྒྱུ	AvAhaka-hetu
འདྲེན-མ-ལ-དམིགས-པའི-དྲེན-པ-ཉེ-བར-གཞག-པ	saMbhinn^alambanaM smRty-upasthAnam
འདྲེན-མ-སྣ-ཚོགས	vyatimizro vicitraH
འདྲེན-པར-བྱེད-པ	A-/hR:Aharati
འདྲེན-པར-བྱེད-པ-ཉིད	AhArakatva
འདྲེས-པ	mizra. saMsRSTa. vyavakIrNa; mizraka. mizrI-bhAva. saMkara. vyatikIrNa. vyatimizra. vyAmizratva. vyAmizra
འདྲེས-པས-འདྲེན-མ	vyatikIrNa-vyatimizra
འདྲེས-པར-འགྱུར-བ	saM-/mUrch:saMmUrchate
འདྲེས-པར-གྱུར-པ	mizrI-bhAva. mizrI-bhUta
འདྲེས-པར-གྱུར-པའི-ཐ-དད-པ-མེད-པ	mizrI-bhAv^avinirbhAga
འདྲེས-པར-གྱུར-ཅིང-མཉམ-པར-ཟུང-དུ-འཇུག-པ	ubhe mizrI-bhUte samayugam vartete
འདྲེས-པའི-དྲི	saMkara-gandha
འདྲེས-པའི-མཚན-ཉིད	saMsRSTa-lakSaNa
འདྲེས-པའི-ཐ-དད-མེད-པ	mizrI-bhAv^avinirbhAga
འདྲེས-པའི-རྒྱུ-ལས-བྱུང-བ	vyAmizra-hetuka
འདྲེས-པ-ཅ-ཅོའི-སྒྲ	saMkara-kalakalA-zabda
འདྲི-བ	paripRcchana. paripRSTa. pari-/prach:paripRcchet. pariprazna. /prach:pRcchanti
འདྲི-བ-ཙམ	pariprazna-mAtra
འདྲི-བའི-སྐབས-དབྱེ-བ	paripRcchA-dAna
འདྲིད-པ	parivaJcayitA. lApana. vaJcana
འདྲིད-པར-བྱེད-པ	vi-pra-/vas:vipravAsayati
འདྲིར-འོང-བར-བྱ-བའི-ཕྱིར	ih^agamanAya
འདྲིས-པ	saMstava; paricita. saMstavana. saMstuta
འདྲིས-པའི-དངོས-པོ	saMstute vastuni
འདྲིས-ཤིང-མཛའ-བ	saMstutAH sapraNayAH
འདྲོན-པོ	sArtha
འདྲུལ-བ	pUti
འདུ-འཛི	saMsarga; saMgaNikA. AmiSa
འདུ-བ	saMnipAta. Aya
འདུ-བྱེད	saMskAra
འདུ-ཤེས	saMjJA; saMjJin
འདུ-འཛིའི-གཏམ	saMgaNikA
འདུ-འཛིའི-ནང-ན-འདུག-པ	saMsargata
འདུ-འཛིའི-དགའ-བ	AmiSa-harSa
འདུ-བྱེད-དག	saMskArAH
འདུ-བྱེད-རྣམས	saMskArAH
འདུ-བྱེད-བྱེ-བྲག-ཅན-གྱི-རྒྱུད-འཇུག-པ	viziStA saMskAra-saMtatiH pravartate
འདུ-བྱེད-ཙམ-དུ-ཟད	saMskAra-mAtraka. saMskAra-mAtra
འདུ-བྱེད-ཙམ-འབའ-ཞིག	saMskAra-mAtra
འདུ-བྱེད-རྣམས-ཀྱི-རང-གི-མཚན-ཉིད	saMskArANAM svalakSaNe
འདུ-བྱེད-རྣམས-ཀྱི-ཁམས-གསུམ	saMskArAs traidhAtukAh
འདུ-བྱེད-རྣམས-རྙིངས-པར-གྱུར-པ	saMskArANAM purANI-bhAvaH
འདུ-བྱེད-གཟུགས-ཅན	rUpiNAM saMskArANAm
འདུ-བྱེད-ཐམས-ཅད	sarva-saMskAra
འདུ-བྱེད-ཐམས-ཅད-ལ-མི-རྟག-པ	anityAH sarva-saMskArAH
འདུ-བྱེད-ཐམས-ཅད-སྡུག-བསྔལ-བ	sarva-saMskArA duHkhAH
འདུ-བྱེད-ཀྱི-བློ	saMskAra-buddhi
འདུ-བྱེད-ཀྱི-རྒྱུད	saMskAra-saMtati
འདུ-བྱེད-ཀྱི-མཚན-ཉིད	saMskAra-lakSaNa
འདུ-བྱེད-ཀྱི-སྡུག-བསྔལ	saMskAra-duHkhatA
འདུ-བྱེད-ཀྱི-སྡུག-བསྔལ-ཉིད	saMskAra-duHkhatA
འདུ-བྱེད-ཀྱི-སྐྱེ-བ	saMskAra-janma
འདུ-བྱེད-ཀྱི-ཕུང-པོ	saMskAra-skandha
འདུ-བྱེད-ཀྱི-རྒྱུད-རྒྱུན-མི-འཆད-པར-འཇུག-པ	a-vyavacchinnAM saMskAra-saMtatiM pravartamAnAm
འདུ-བྱེད-ལ-སྙིང-པོ-མེད-པ-ཉིད-དུ-ལྟ-བ	saMskAr^asAratva-darzana
འདུ-འཛིས-དུས-ཡུན-རིང-དུ-འདའ-བར-བྱེད-པ	ciraM saMsargeNa atinAmayati
འདུ-འཛི-ལ-ཆགས-པ	saMsarga-rAga
འདུ-འཛི-མེད-པ	a-saMsarga
འདུ-འཛི-མེད-པའི-གཏམ	a-saMsarga-kathA
འདུ-བའི-སྒོ	Aya-dvAra
འདུ-བའི-སྒོ-ཆུང-ངུ	parItt^aya-dvAra
འདུ-ཤེས-ཅན	saMjJin
འདུ-ཤེས-ཙམ	saMjJA-mAtra
འདུ-ཤེས-བསྒོམ-པ	saMjJA-bhAvanA
འདུ-ཤེས-ལ-ཆགས-པ-མེད-པ	saMjJA-vairAgya
འདུ-ཤེས-ལ-མི-ཕྱོགས-པའི-ཡིད-ལ-བྱེད-པ	saMjJA-vimukhena manaskAreNa
འདུ-ཤེས-ཅན-ཡང-མ-ཡིན-འདུ-ཤེས-ཅན-མ-ཡིན-པ-ཡང-མ-ཡིན-པ	naiva-saMjJI-nAsaMjJin
འདུ-ཤེས-ཕྱིན-ཅི-ལོག	saMjJA-viparyAsa
འདུ-ཤེས-ཕྱིན-ཅི-ལོག-དང-སེམས-ཕྱིན-ཅི-ལོག	saMjJA-citta-viparyAsa
འདུ-ཤེས-ཕྲ-མོ	sUkSma-saMjJA
འདུ-ཤེས-དང-རྣམ-པར-རྟོག-པ	saMjJA-vikalpa
འདུ-ཤེས-དང-ཚོར-བ	saMjJA-vedayita. saMjJA-vedita
འདུ-ཤེས-དང-ཚོར-བ-འགོག-པ	saMjJA-vedayita-nirodha
འདུ-ཤེས-དང-ཚོར-བ-འགོག-པ-ལ-སྙོམས-པར-འཇུག-པ	saMjJA-vedita-nirodha-samApatti
འདུ-ཤེས-དང-ཚོར-བ-འགོག-པའི-བདེ-བ	saMjJA-vedayita-nirodha-sukha
འདུ-ཤེས-ཀྱི-བློ	saMjJA-buddhi
འདུ-ཤེས-ཀྱི-རྣམ-པ	saMjJ^akAra
འདུ-ཤེས-ཀྱི-ཕུང-པོ	saMjJA-skandha
འདུ-ཤེས-ཀྱི-ཡོངས-སུ-རྟོག-པ	saMjJA-parikalpa
འདུ-ཤེས-ཀྱི-ཡོངས-སུ-བརྟགས-པ	saMjJA-parikalpita
འདུ-ཤེས-ཀྱི-ཚོགས-དྲུག-པོ	SaT-saMjJA-kAyAH
འདུ-ཤེས-ཀྱི-དོན-དུ	saMjJ^artham
འདུ-ཤེས-རགས-པ	audArikI saMjJA
འདུ-ཤེས-ཀྱིས-རིག-པར-བྱེད-པ	saMjJayA pratipadyate
འདུ-ཤེས-ཀྱིས-བྱས-པ	saMjJA-kRta
འདུ-ཤེས-བསྒྱུར-བ	saMjJA-vinidhyAya
འདུ-ཤེས-བསྒྱུར-པ	vinidhAya saMjJAM
འདུ-ཤེས-བསྒྱུར-ཏེ-སྨྲ-བར-འདོད-པ	vinidhAya saMjJAM vakutukAmasya
འདུ-ཤེས-ཚད-མེད-པའི-ལྷ-རྣམས-ཀྱི-ནང-དུ-སྐྱེ-བ	apramANa-saMjJiSu-janma
འདུ-ཤེས-ཡིད-ལ-བྱེད-པ	saMjJA-manasikAra
འདུ-ཤེས-མེད-པ	a-saMjJA. a-saMjJin. AsaMjJika
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན-གྱི-ལྷ-རྣམས-ཀྱི-ནང-དུ-སྐྱེ-བ	naiva-saMjJA-nAsaMjJiSu-deveSu janma
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན-སྐྱེ-མཆེད	naiva-saMjJA-nAsaMjJ^ayatana
འདུ-ཤེས-མེད-པའི-སེམས-ཅན	a-saMjJi-sattva
འདུ-ཤེས-མེད-པའི-སེམས-ཅན-ལྷ-རྣམས	a-saMjJi-sattvAnAm devAnAm
འདུ-ཤེས-མེད-པའི-སྙོམས-པར-འཇུག-པ	a-saMjJA-samApatti. a-saMjJi-samApatti
འདུ-ཤེས-མེད-པར-སྐྱེ-བ	a-saMjJakaM janma
འདུ-ཤེས-ཆ-ཕྲ-མོ	sUkSme-saMjJA
འདུད-པ	praNata. saMnati. sAmIcI-karman. avanata
འདུད-པའི-ལས	sAmIcI-karman
འདུད-པའི-སེམས	praNata-citta
འདུད-པར-བྱ-བ	sAmIcI-karman
འདུད-པར-བྱེད-པ	/pat:pAtayati
འདུད-པར-བྱེད-པའི-ངང-ཚུལ-ཅན	sAmIcI-karma-zIla
འདུད-པ-དང-ལྡང-བའི-ལས-བྱ-བ	sAmIcI-karman
འདུག-པ	niSadya; nivezin. niSaNNa. niSadyA. zayyA. avasthita. adhizayita. vartamAna. Asana. /vRt:vartate. /bhU:bhavati
འདུག-པར-བྱ-བ	niSattavya
འདུག-པའི-སྤྱོད-ལམ-དུ-གནས-པ	niSady^eryA-path^avasthita
འདུག-ཅིང-སྡོད-པ	dhriyantaM tiSThantaMy Apayantam
འདུལ-བ	vinayana. vinaya. vineya; dama. damya. vi-/nI:vinayati. vi-/nI:vinetum. vinetA
འདུལ-བར-བྱེད-པ	vi-/nI:vinayati
འདུལ-བའི-ཁམས	vineya-dhAtu
འདུལ-བའི-ཐབས-དཔག-ཏུ-མེད-པ	viney^opAyaz c^aprameyaH
འདུལ-བའི-ཁམས-དཔག-ཏུ-མེད-པ	vineya-dhAtur aprameyaH
འདུལ-བའི-སེམས-ཅན	vineya-sattva
འདུལ-བའི-ཁ-ལོ-སྒྱུར-བ	damya-sArathi
འདུལ-བ-ལ-སློབ-པ	vinaya-zikSita
འདུལ-བ-དང-མི-འགལ-བ	vinay^anutkrAnta
འདུལ-བ-དང-རྗེས-སུ-མཐུན-པ	vinay^anuvartin
འདུལ-བ-འཛིན-པ	vinaya-dhara
འདུན-པ	chanda; chandika. spRhA
འདུན-པར-བྱས-ནས	Avarjana. AvarjayitvA. Avarjita. A-/vRj:Avarjayat
འདུན-པར-བྱས-ནས-ལས-བྱུང-བ	Avarjana-ja
འདུན-པར-བྱས-པའི-ཡིད	Avarjita-mAnasa
འདུན-པར-བྱ-བ	Avarjana
འདུན-པར-བྱ-བའི-རིགས-པ	Avarjan^arha
འདུན-པར-གྱུར-པ	chanda-jAta
འདུན-པར-བྱེད-པ	AvarjanatA. AvarjanA. A-/vRj:Avarjayati. A-/vRj:Avarjayitum
འདུན-པར-བྱེད-པ-འདོད-པ	Avarjayitu-kAma
འདུན-པ-འབྲིང	madhya-cchanda
འདུན-པ-བཟློག	vi-/chad:vicchandayati
འདུན-པ-སྐྱེད-དུ-འཇུག-པར-བྱེད-པ	up-/chad:upacchandayati
འདུན-པ-སྐྱེད-པར-བྱེད-པ	chandaM janayati. spRhAm utpAdayati
འདུན-པ-ཆུང-བ	mRdu-cchanda
འདུན-པ-ཆུང-ངུ	mRdu-cchanda
འདུན-པ-བཟློག-པ	vicchandanatA. vicchandana. vicchandayitvA
འདུན-པ-བཟློག-པར-བྱ-བ	vi-/chad:vicchandayet
འདུན-པ-སྐྱེ-བ	chanda-jananatA. chanda-jAta
འདུན-པ-དང-འདོད-ཆགས	chanda-rAga
འདུན-པ-དང-སྦྱོར-བ	chanda-prayoga
འདུན-པ-དང-ལྡན-པ	chandika; chanda-sahagata
འདུན-པ-སྦྱིན-པ	chanda-dAna
འདུན-པ-སྐྱེས-པ	chanda-jAta
