འབའ-འཛར	(PH) vajra [arch. spelling]
བྱེ-རིག-གཉིས	(PH) both the Vaiśeṣikas and the Naiyāyikas
བྱེ-ཐེམ	(PH) sand dune
བྱེད-ལས-ཆོས	(PH) functional phenomena
བྱི-ཕོ	(PH) young man
བྱིན-གྱི-བརླབས	(PH) influence; blessing
བྱིང-བ	(PH) sinking
བྱིངས	(PH) verbal root
བྱོལ-སོང	(PH) direction
བྱུང-དཀའ-བ	(PH) difficult to tame
བྱུས	(PH) strategy; political strategy
བྱུས-ཉེས	(PH) faulty strategy
བཟང-པོ-སྤྱོད-པའི-སྨོན-ལམ	(PH) Aspirational Prayer of the Deeds of Samantabhadra (samantabhadracaryāpranidhāna)
བཟེ-རེ-ཅན	(PH) helpless
བཟེ-རེ-ཅན-གྱུར-ཉིད	(PH) extreme helplessness
བཞག-པ	(PH) deposit
བཞེད-པ	(PH) accepted position
བཞི-མདོ	(PH) four-way crossroads
བཞིན	(PH) face
བཞིན-ལག	(PH) face and hands
བཞིན-པ	(PH) [verbal post-positional phrase indicating present participle or continuative]
བཞོན-པ	(PH) mount; coach; carriage
བཞུགས-གྲལ	(PH) seated ranks
བཟློག-པ-པོ	(PH) something that blocks; something that wards off
བཟོ-ལུགས	(PH) style
བཟོ-རྒྱུན	(PH) lineage of artistic style
བཟོད-ལྡན	(PH) patient
བཟོད-མ-བདེ-བ	(PH) intolerable
བཟོད-པ-དང-ལྡན-པ	(PH) patient
བཟུངས-འགོ	(PH) starting
ཆ	 (PH) even number; part; factor; [all] parts; all together; whole [as suffix]|(PH) even number; part; factor; [all] parts; all together; whole [as suffix] 
ཆ-བརྒྱད-སྐུ-གདུང	(PH) eight sets of relics
ཆ-ལང	(PH) cymbals
ཆ-མ-ཚང	(PH) incomplete
ཆ-ཚང	(PH) complete; entire 
ཆ-ཚང-བ	(PH) complete; entire 
ཆ-ཚང-ཁྱེར-བདེ	(PH) simple and complete
ཆབ	(PH) [honorific prefix particle]
ཆབ-ཤོག	(PH) official letter
ཆབ-སྲིད	(PH) kingdom; dominion; territory; [religious and secular] government; political affairs
ཆད-མལ	(PH) written agreement
ཆད-མོལ	(PH) written agreement
ཆད-པ	(PH) descendant
ཆག-ཉམས-སྐོང-བའི-ཚོགས-འཁོར	(PH) gaṇacakra feast for mending breaches
ཆགས-འབྲེལ	(PH) love affair
ཆགས-སྡང-རྨོངས-གསུམ	(PH) the three — attachment; aversion; and delusion
ཆགས-ཚུལ	(PH) origin
ཆལ-པ	(PH) scattering; covering
ཆར	(PH) rain; all; together
ཆས	(PH) clothes
ཆེ-ཆུང-སྐོར-གཉིས	(PH) two groups — greater and lesser
ཆེད	(PH) for the sake (of); in order that
ཆེད-དུ	(PH) for the sake (of); in order that
ཆེན-མ	(PH) senior queen; elder woman
ཆེན-མཆོག	(PH) supremely precious
ཆེན-པོ-སྐོར-བཞི	(PH) the four greater cycles
ཆེན-པོ-སྐོར-གསུམ	(PH) the three greater cycles
ཆེན-པོའི-ཆེན-པོ	(PH) the great of the great
ཆེར-བླུན-པ-ཉིད	(PH) extreme stupidity
ཆེས-དཔའ	(PH) great hero
ཆེས-སྐྱེན-པར	(PH) correctly
ཆེས-སྔ	(PH) previous
ཆེས-སྔ-བ	(PH) previous
ཆེས-སྔ-བར	(PH) previously
ཆེས-ཟབ	(PH) exceptionally profound
ཆིབས	(PH) mount [horse; etc.] (h)
ཆོ-ག	(PH) ritual
ཆོག-པ	(PH) ritual; permissible
ཆོས	(PH) Dharma; teachings; quality; profound; deep
ཆོས-འབྱུང-གི-ཕྱག-རྒྱ	(PH) seal of the origin of phenomena (dharmodaya-mudrā)
ཆོས-འཆད-པའི-ཕྱག-རྒྱ	(PH) Mudra of Explaining the Dharma
ཆོས-འཆད-ཕྱག-རྒྱ	(PH) Mudra of Explaining the Dharma
ཆོས-འཕགས	(PH) [Bodhisattva] Dharmodgata
ཆོས-བདག-མེད-པ-ཉིད	(PH) selflessness of phenomena
ཆོས-བཟོད-བཞི	(PH) four doctrinal forbearances
ཆོས-དང-ཆོས-མ-ཡིན-པའི-ལས	(PH) virtuous or non-virtuous karma
ཆོས-དྲན-པ-ཉེ-བར-གཞག-པ	(PH) application of mindfulness based on phenomena
ཆོས-གོས	(PH) religious robe; outer robe
ཆོས-ཀུན-གྱི-ཡུལ-ཅན	(PH) subject [that cognizes] all phenomena
ཆོས-ཀྱི-འབངས	(PH) Dharmadasa
ཆོས-ཀྱི-གྲྭ	(PH) religious center; religious college; doctrinal college
ཆོས-ཀྱིས-འཕགས-པ	(PH) [Bodhisattva] Dharmodgata
ཆོས-མིན-གྱི-བསམ-སྦྱོར	(PH) thoughts and actions contrary to the Dharma
ཆོས-མིན-པ	(PH) non-virtue
ཆོས-སེམས-ཅན	(PH) religiously-minded [person]
ཆོས-སྐུ-ཉག-གཅིག	(PH) unique dharmakaya
ཆོས-སྐུ-རྐྱང	(PH) Dharmakaya alone
ཆོས-ཟབ-མོ-སྟོང-པ-ཉིད	(PH) emptiness; the profound doctrine
ཆུ	(PH) water
ཆུ-བུར-ཅན	(PH) those in the Blistering Hell [the first cold hell]
ཆུ-དག	(PH) water
ཆུ-ཀླུང	(PH) river; waterfall
ཆུ-སྐྱེས	(PH) lotus (lit. 'water-born')
ཆུ-སྟོད	(PH) Purvasadha [one of twenty-eight constellations]
ཆུ-སྟོད-ཟླ-བ	(PH) sixth month
ཆུང-ངུ-སྐོར-གསུམ	(PH) the three lesser cycles
ཅི-བས-ཀྱང	(PH) very much; especially
ཅི-བསམ-ཀུན-འགྲུབ	(PH) all your wishes will be fulfilled
ཅི-ནུས-སུ	(PH) as much as possible; as many [times] as possible
ཅི-རིགས-པར	(PH) as is suitable; as either
ཅི-རིགས-སྒོ-ནས	(PH) from the point of view of whichever is suitable
ཅི-རིགས-སུ	(PH) suitably
ཅི-སྟེ	(PH) perhaps
ཅི-ཡང	(PH) at all; anything whatsoever
ཅིའུ-མཁར	(PH) prefectural capital
ཅིག	(PH) [imperative marker]
ཅིག-ཤོས	(PH) other one
ཅོ-འདྲི	(PH) injurious
ཅོད-པན	(PH) crown
ཅུང	(PH) slight
ཅུང-མི-བདེན	(PH) somewhat untrue
ཅུང-ཟད	(PH) slightest; slightly
དད-པ-ཅན	(PH) faithful
དད-རྟེན	(PH) relics
དད-སྟོབས	(PH) great faith
དག-ཆེ-བ	(PH) great purity; exceptionally pure
དག-གོས	(PH) metal garment
དག-པ-རབ-འབྱམས	(PH) all-encompassing purity
དག-པའི-གོས	(PH) metal garment
དག-སྒྲིག-པ	(PH) editor
དལ-འབྱོར-བཅོ-བརྒྱད	(PH) eighteen leisures and fortunes
དལ-འབྱོར-རྟེན	(PH) leisure and fortune
དལ-བརྒྱད-འབྱོར-བཅུ	(PH) eight leisures and ten fortunes
དལ-གྱིས-འབབ	(PH) Mandākinī [Lake]
དལ-ཡམས	(PH) plague; epidemic
དམ	(PH) excellent; holy; promise; vow
དམ-བཅའ-རྣལ-མ	(PH) genuine thesis
དམ-བཅའ-ཙམ	(PH) mere thesis
དམ-པ-མིན	(PH) inappropriate; unseemly
དམ-པ-ཡིན-པ་	(PH) being excellence
དམ-པའི-ཆོས-དྲན-པ-ཉེ-བར-གཞག-པ	(PH) Application of Mindfulness of the True Dharma [Sūtra]
དམ-པའི-ལེགས-བཤད	(PH) good explanations of excellent [beings]
དམ-ཚིག	(PH) commitment; pledge
དམ-ཚིག-ཅན	(PH) holder of commitments
དམ-ཚིག-དཔའ	(PH) samayasattva
དམ-ཚིག-པ	(PH) holder of commitments [e.g. a tantric practitioner]
དམ-ཚིག-ཕྱག-རྒྱ	(PH) commitment-seal
དམ-ཚིག-རྣམ-དག-པ	(PH) pure commitments
དམ-ཚིག-སེམས-དཔའ	(PH) samayasattva; commitment-being
དམ-ཚིག-སྒྲོལ-མ	(PH) Samaya Tara
དམ-ཚིག-སློབ-དཔོན	(PH) commitment-master
དང-པོ-བཞི	(PH) the first four
དང-པོ-གསུམ	(PH) the first three
དང-པོ-ལྔ	(PH) the first five
དང-པོ-ཉིད	(PH) the very first
དར	(PH) silk
དར-བ	(PH) whole plant
དར-གྱི-ན-བཟའ	(PH) silk clothing
དར-ཡོལ	(PH) adulthood
དབའ-རླབས	(PH) billowing waves
དབང-འབྲིང	(PH) middling faculties
དབང-ཕྱུག-ནག-པོ	(PH) Īśvarakṛṣṇa
དབང-པོ	(PH) organs; Indra
དབང-པོའི-མངོན-སུམ-ཚད-མ	(PH) valid sense perception
དབང-པོའི-ཐོག	(PH) Indraketu [p.n. of a tathāgata]
དབང-ཤེས-འཁོར-གྱི-སེམས-བྱུང	(PH) mental factors accompanying a sense consciousness
དབར	(PH) between [Amdo dialect]
དབོན	(PH) grandson
དབོན-མ	(PH) grand-daughter
དབོན-སྲས	(PH) grandson
དབོན-ཞང	(PH) son-in-law
དབུ-བ	(PH) foam
དབུ-བའི-གོང-བུ	(PH) ball of foam
དབུ-ཤོག	(PH) initial page; opening page
དབུ-སྙུང	(PH) oath on one's head
དབུག-གུ	(PH) half-hour ("extended breath") [25 minutes]
དབུགས-མི-བདེ	(PH) asthma
དབུགས-རླུང	(PH) breath-wind
དབུལ-བ-ཀུན	(PH) extreme poverty
དབུལ-བོ	(PH) starving
དབུལ-ཕོངས-ཀུན	(PH) extreme poverty
དབུས-བ	(PH) central
དབུས-རུ	(PH) district of Ü [n. of one of two districts of central Tibet (dbus)]
དབྱངས	(PH) voice; speech
དབྱངས-གསལ	(PH) vowels and consonants
དབྱངས-ཀྱི-ཡན-ལག-དྲུག-ཅུ	(PH) sixty types of melodies
དབྱངས-རྣ-སྙན-པོ	(PH) melody; melodious song
དབྱངས-རྟ-སྙན-པོ	(PH) melody; melodious song
དབྱངས-སྙན	(PH) melody; melodious song
དབྱངས-སྙན-པ	(PH) melody; melodious song
དབྱར-གྱི-རྔ	(PH) drums of thunder; dragon's voice
དབྱར-རྔ	(PH) drums of thunder; dragon's voice
དབྱིག	(PH) precious resources
དབྱིག-འཛིན	(PH) treasure-bearing [realm]; Vasundhara ("Bearer of Treasure") [epithet of the earth]
དབྱིག-གི-སྙིང-པོ	(PH) Hiraṇyagarbha (Brahmā)
དབྱུག-སྔོན-ཅན	(PH) Nīladaṇḍa
དེ	(PH) [continuative syntactic particle]
དེ-བཞིན-འཛིན-པ	(PH) retention
དེ-བཞིན-ཉིད	(PH) thusness
དེ-བཞིན-ཏུ	(PH) similarly
དེ-དུས-ཙ-ན	(PH) at that time
དེ-གཉིས-གང-རུང-མ-ཡིན-པ	(PH) being neither of those two
དེ-གཉིས-སུ-གྲངས-པ	(PH) enumeration as these two
དེ-ཁ	(PH) exactly that; that very same
དེ-ལྟ	(PH) such; just; exactly; just so
དེ-ལྟ-ན-ཡང	(PH) in that case; moreover
དེ-ལྟས	(PH) therefore
དེ-མ-ཐག-པའི-ཏིང-ངེ-འཛིན	(PH) an immediately preceding meditative stabilization
དེ-ཉིད	 (PH) reality; suchness | (PH) that very [thing]; just that itself|(PH) principle 
དེ-ཉིད-བསྡུས-པ	(PH) Compendium of the Suchness of All the Tathāgatas Tantra (sarva-tathāgata-tattva-saṁgraha tantra)
དེ-ཉིད-གསུམ-གྱི-བསམ-གཏན	(PH) concentration of the three principles
དེ-ས-དུ	(PH) what particular stage
དེ-སྙེད-ཅིག	(PH) just how many; just how much
དེ-ཙ-ན	(PH) at that time
དེ-ཙམ	(PH) subtle object
དེ-ཙམ-ན	(PH) about that time
དེའི-གནས-སྐབས-སུ	(PH) on this occasion
དེའི-མཇུག-ཐོགས-སུ	(PH) immediately after this
དེའི-ཕྱོགས-གཅིག-ཉོན-སྒྲིབ-ཀུན-བཏགས	(PH) the artificial afflictive obstructions which are one part of [the afflictive obstructions]
དེའི-རིང	(PH) now
དེའི-ས-དུ	(PH) what particular stage
དེའི-སྐད-ཅིག-གཉིས-པ-ལ	(PH) in the next period
དེབ-སྔོན-པ	(PH) Blue Annals
དེད-དཔོན	(PH) captain; chief; guide
དེང	(PH) now; presently
དེང-ནས	(PH) from just that point on; from now on
དེང-སང	(PH) these days; nowadays
དགའ-བ-ཁྱད-པར-ཅན	(PH) a special joy
དགའ-བོ	(PH) Nanda (p.n. of a monk during the time of the Buddha)
དགའ-ལྡན	(PH) Tuṣita ["Joyous," fourth of the six Desire Realm Heavens]; Ganden Monastic University [one of the three large monastic universities in Lhasa/Mundgod]; Ganden [Government]
དགའ-མགུ	(PH) immense joy
དགའ-སྟོན	(PH) festival; party
དགག-བྱ-བཀག-པའི-མེད-འགག	(PH) non-affirming negation that is the negation of the object of negation
དགེ-འདུན-རྗེས-སུ-དྲན-པ	(PH) mindfulness of the Sangha
དགེ-འདུན-ཞལ-གྲངས	(PH) census of the saṅgha; head-count of the saṅgha
དགེ-བའི-བཤེས-གཉེན	(PH) virtuous friend; spiritual guide
དགེ-བའི-གཉིད	(PH) virtuous sleep
དགེ-བའི-སེམས	(PH) virtuous state of mind
དགེ-བའི-སེམས-བྱུང	(PH) virtuous mental factors
དགེ-བའི-སེམས-བྱུང-བཅུ-གཅིག	(PH) eleven virtuous mental factors
དགེ-མཚན	(PH) virtuous signs
དགེ-རྩ-ཆད-པའི-མྱང-འདས	(PH) [nirvāṇa which is] a passing beyond the sorrow of the severance of virtuous roots
དགེ-རྩ-ཅི-རིགས	(PH) whatsoever roots of virtue
དགེ-སེམས-ཁྱད-པར-ཅན	(PH) especially virtuous state of mind
དགེ-སློང	(PH) mendicant
དགེ-སློང-མའི-བསླབ-བྱ	(PH) monastic rules for nuns
དགེ-ཚུལ-བསླབ-པའི-གཞི-མདོ	(PH) Sūtra of the Basic Points of Novice Monastic Training (śikṣapada-sūtra)
དགེ-ཚུལ-གྱི-བསླབ-པའི-གཞིའི-མདོ	(PH) Sūtra of the Basic Points of Novice Monastic Training (śikṣapada-sūtra)
དགེ-ཚུལ-གྱི-ཕྱིར-བཅོས	(PH) Buddhist monastic discipline for a novice
དགེ-ཚུལ-གྱི-སློབ-དཔོན	(PH) novice preceptor
དགོན	 (PH) wilderness|(PH) lord 
དགོན-པའི-ཐིག-ལེ	(PH) "Drop of wilderness" [n. of a tree]
དགོན-རྙིང	(PH) ancient monastery
དགོངས-པའི-སྐད	(PH) implied speech
དགོས-པ-ཆུང	(PH) minor consideration
དགུན-ཆུང	(PH) late-winter [season]
དགུན-སྒང	(PH) period of winter
དགུང-གྲངས	(PH) age (hon.)
དགུང-སྤར	(PH) trigram
དཀའ-བཅུ-པ	(PH) "Master of the Ten Difficult Texts" (dka' bcu pa)
དཀའ-ཟློག	(PH) ascetic
དཀའ-ཟློག-དད	(PH) devotee of Durgā
དཀར-དམར-མདངས-གསལ	(PH) clear white complexion with a tinge of red
དཀར-གསལ	(PH) radiant white
དཁྱིལ-འཁོར-ཡོངས-རྫོགས	(PH) the complete maṇḍala
དཀོན-མཆོག-གི-སྤྲིན	(PH) Cloud of Jewels [Sūtra]
དཀོན-མཆོག-གསུམ	(PH) Three Jewels
དཀོན-མཆོག-རིན-ཆེན-གསུམ	(PH) Three Precious Jewels
དཀོན-མཆོག-རྗེས-དྲན	(PH) Sutra on the Recollection of the Three Jewels
དཀོན-མཆོག-སྤྲིན	(PH) Cloud of Jewels [Sūtra]
དཀོན-མཆོག-སྤྲིན-གྱི-མདོ	(PH) Cloud of Jewels Sūtra
དཀུ-གཙང	(PH) confidence
དཀྱུས	(PH) section; separate section
དཀྱུས-བཏགས	(PH) kha-ta (scarf) of ordinary quality
དམའ-མོ	(PH) lowly people
དམག	(PH) war; battle
དམག-འདྲེན	(PH) leading to war
དམག-བརྒྱ-བ	(PH) Śatānīka [a Licchavi]
དམན-པའི-ས-དང-པོ-བདུན	(PH) the first seven Lesser Vehicle grounds
དམངས-སྒྲུང	(PH) folk tale; folkstory
དམར-པོ-རི	(PH) Red Hill [in Lhasa] (present site of the Potala Palace)
དམར-སེར	(PH) orange; reddish-yellow
དམར-ཤལ-གྱི-རིམས	(PH) bloody pox
དམར-སྔོན	(PH) red and blue
དམིགས-པ-ཆེ-བ-ཉིད	(PH) greatness of object of observation
དམིགས-པ-མེད-པ	(PH) without reservation
དམིགས-རྣམ	(PH) object of observation and [subjective] aspect
དམིགས-སུ-མེད-པ	(PH) unapprehendability; unobservability
དམྱལ-རྩུབ	(PH) rough hell
དངོས-བརྒྱུད	(PH) actual and of the lineage
