སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
ལས	 Also rendered in this sūtra as “action.” | Also rendered in this sūtra as “karma.” | Generally meaning “work,” or “action,” it is an important concept in Buddhist philosophy as the cumulative force of previous actions, which determines present experience and will determine future existences. | Intention or what follows an intention. Intention is mental karma; what follows an intention is verbal and bodily karma. | The impact of past actions in the present and future. Also rendered here as “karma.”| The impact of past actions in the present and future. Also rendered here as “karma.” | The impact of past actions in the present and future. Also translated here as “past action.” |Matters that govern the saṅgha community’s daily life, regular observances (such as the rains retreat and the purification) and special events (like ordination) are ratified by a formal act of the saṅgha. There are one hundred and one such types of formal acts, all of which fall into one of three categories depending on the procedure needed for ratification. An act of motion alone requires only a petition; an act whose second member is a motion require a motion and the statement of the act; while an act whose fourth member is a motion require a motion and three statements of the act. 
ནན-ཏུར-གྱི-ལས	 A formal act of the saṅgha requiring a act whose fourth member is a motion, meted out to a wayward monk or monks. There are five types: acts of censure, chastening, expulsion, reconciliation, and suspension.|A formal act of the saṅgha requiring a act whose fourth member is a motion, meted out to a wayward monk or monks. There are five types: acts of censure, chastening, expulsion, reconciliation, and suspension. 
བསྐྲད-པའི-ལས	 One of five types of disciplinary acts meted out by the saṅgha.\nacts of expulsion\nexpulsion|One of five types of disciplinary acts meted out by the saṅgha.\nacts of expulsion\nexpulsion 
བསྡིགས-པའི-ལས	 One of five types of disciplinary acts meted out by the saṅgha. This was first imposed on the Pandulohitaka monks for their quarrelsomeness.\nacts of censure\ncensure|One of five types of disciplinary acts meted out by the saṅgha. This was first imposed on the Pandulohitaka monks for their quarrelsomeness.\nacts of censure\ncensure 
གནས-ནས-དབྱུང-བའི-ལས	 One of five types of disciplinary acts meted out by the saṅgha. A monk may be suspended on one of seven grounds: failing to acknowledge a fault; refusing to amend or rehabilitate one’s behavior; deviant views; being overly belligerent and quarrelsome; creating the circumstances for a quarrel; maintaining overly close relations with nuns, unruly people, and ne’er-do-wells; and refusing to let go of a Dharma matter that has been peacefully resolved.\nacts of suspension\nsuspension|One of five types of disciplinary acts meted out by the saṅgha. A monk may be suspended on one of seven grounds: failing to acknowledge a fault; refusing to amend or rehabilitate one’s behavior; deviant views; being overly belligerent and quarrelsome; creating the circumstances for a quarrel; maintaining overly close relations with nuns, unruly people, and ne’er-do-wells; and refusing to let go of a Dharma matter that has been peacefully resolved.\nacts of suspension\nsuspension 
ཕྱིར-འགྱེད-པའི-ལས	 One of five types of disciplinary acts meted out by the saṅgha.\nacts of reconciliation\nreconciliation|One of five types of disciplinary acts meted out by the saṅgha.\nacts of reconciliation\nreconciliation 
སྨད-པའི-ལས	 One of five types of disciplinary acts meted out by the saṅgha.\nchastening|One of five types of disciplinary acts meted out by the saṅgha.\nchastening 
ལས-བརྗོད-པ	 After a petition is put to the saṅgha, a monk other than the petitioner must make a motion to act on the petition.\nmotions to act| After a petition is put to the saṅgha, a monk other than the petitioner must make a motion to act on the petition.\nmotions to act |After a petition is put to the saṅgha, a monk other than the petitioner must make a motion to act on the petition.\nmotions to act 
གསོལ-བ-འབའ-ཞིག-གི-ལས	 A formal act of the saṅgha in which the motion suffices, with no need to formally state the act. Such an act is employed before a candidate for ordination is asked about confidential matters pertaining to his fitness for ordination.\nacts of motion alone| A formal act of the saṅgha in which the motion suffices, with no need to formally state the act. Such an act is employed before a candidate for ordination is asked about confidential matters pertaining to his fitness for ordination.\nacts of motion alone |A formal act of the saṅgha in which the motion suffices, with no need to formally state the act. Such an act is employed before a candidate for ordination is asked about confidential matters pertaining to his fitness for ordination.\nacts of motion alone 
གསོལ-བ-དང-གཉིས-ཀྱི-ལས	 A formal act of the saṅgha that requires an initial motion followed by the statement of the proposed act. Such an act is needed to grant the vows of full ordination to a nun, among other occasions.\nacts whose second member is a motion| A formal act of the saṅgha that requires an initial motion followed by the statement of the proposed act. Such an act is needed to grant the vows of full ordination to a nun, among other occasions.\nacts whose second member is a motion |A formal act of the saṅgha that requires an initial motion followed by the statement of the proposed act. Such an act is needed to grant the vows of full ordination to a nun, among other occasions.\nacts whose second member is a motion 
གསོལ-བ-དང-བཞིའི-ལས	 A formal act of the saṅgha that requires an initial motion followed by the statement of the proposed act, repeated three times. Such an act is required for several proceedings—among other occasions, to fully ordain someone, or to officially threaten an intransigent monk, .\nacts whose fourth member is a motion| A formal act of the saṅgha that requires an initial motion followed by the statement of the proposed act, repeated three times. Such an act is required for several proceedings—among other occasions, to fully ordain someone, or to officially threaten an intransigent monk, .\nacts whose fourth member is a motion |A formal act of the saṅgha that requires an initial motion followed by the statement of the proposed act, repeated three times. Such an act is required for several proceedings—among other occasions, to fully ordain someone, or to officially threaten an intransigent monk, .\nacts whose fourth member is a motion 
ཡང-དག-པའི-ལས-ཀྱི-མཐའ	 Fourth of the noble eightfold path.| Fourth of the noble eightfold path. |Fourth of the noble eightfold path. 
བྱ-བ-གྲུབ-པའི-ཡེ-ཤེས	 One of the five wisdoms corresponding to the tathāgata Amoghasiddhi.| One of the five wisdoms corresponding to the tathāgata Amoghasiddhi. |One of the five wisdoms corresponding to the tathāgata Amoghasiddhi. 
འཁོར-གསུམ	 These three aspects, literally “circles” or “provinces,” are the doer, the action, and the object of the action. Their purity is variously described as being free of self-interest or free of conceptualization.|These three aspects, literally “circles” or “provinces,” are the doer, the action, and the object of the action. Their purity is variously described as being free of self-interest or free of conceptualization. 
ལས-ཁ-ན-མ-ཐོ-བ-དང-བཅས-པ	actions that are tainted with the inadmissible transgressions\nactions which are tainted with the inadmissible transgressions
མཚམས-མེད-པ-ལྔ	 Five actions that bring immediate and severe consequences at death. The person will experience a rebirth in the lower realms directly after death. The five are: (1) killing one’s father, (2) killing one’s mother, (3) killing an arhat, (4) causing schism in the saṅgha, and (4) with evil intention making a buddha bleed.| The five actions with immediate results are: killing one’s mother, killing one’s father, killing an arhat, intentionally wounding a buddha, and creating a schism in the Saṅgha. |Describing the result of committing one of five particularly heinous crimes: (1) killing one’s father, (2) killing one’s mother, (3) killing an arhat, (4) maliciously drawing blood from a buddha, and (5) causing a schism in the sangha. In this sūtra, Mañjuśrī describes a corresponding set of five acts with immediate consequences that bodhisattvas should, in fact, perform. 
