འམ	[C]vA; [C]athavA-api
འདྲེས-པ	mizra. saMsRSTa. vyavakIrNa; [LCh]mizra. saMsRSTa. vyavakIrNa; [C]mizra. saMsRSTa. vyavakIrNa; [C,L]saMkIrNa; [MV,MSA]vyavakiraNa; [MSA]mizra. saMsRSTa. vyavakIrNa; [MSA]AkrAnta; [MSA]viSAkrAnta; [MSA]parijaya; [MSA]ma 'dres pa = vibhinna
འདྲེས-མར-མ-གྱུར-པ	[L]akalmaSa
འདྲེས-པར-འགྱུར	[L]mizra-bhUta
འདྲེས-པར-གནས	[C]vyavakIrNa-vihAra
འདྲེས-པར-གནས-པ	[C]vyavakIrNa-vihAra; [C]saMkIrNa-vihAra
འདྲི	[C]paripRcchati
འདྲི-བ	[C]paripRcchati; [C]prazna
འདྲི-ཞིང	[C]likhati
འདྲི-བར-བྱ	[C]paripRcchati
འདྲི-བའི-གཞི	[C]AdhAra
འདྲིས	[C,MV]saMstava
འདྲིས-བ	[C]paripRcchati; [C]prazna
འདྲིས-བྱེད	[C]saMstava
འདྲིས-པ	saMstava; [C,MV]saMstava; [MSA]ucita; [MSA]aparijaya
འདྲིས-པར-བྱེད-ལ	[C]paricayaM karoti (=parijayam?)
འདྲིས-པ-ཡེ-ཤེས	[C]parijaya-jJAna (=parijaya-saMjJAnam)
འདྲིས-པ-ཤེས-པ	[C]parijaya-jJAna (= parijaya-saMjJAnam)
འདུ	[C]Aya
འདུ-འཛི	saMsarga; vyapakarSa; [C]saMsarga; [MSA]AkIrNa
འདུ-བ	[C]saMgrahatA; [C]yujyate
འདུ-བྱེད	saMskAra; [LCh,L,C,MSA,MV]saMskAra; [C]saMskAra-gata (=saMskAra)
འདུ-མཛད	[MSA]saMskAra
འདུ-ཤེས	saMjJA; [LCh,C,MSA,MV]saMjJA; [C]saMjJata; [L]saMjAnati; [MV]saMjJita
འདུ-བ-མེད	[C]asaMyoga; [C]na yujyate
འདུ-འཛིའི-གནས	[C]saMgaNikA-sthAnam (=jana-AkirNa-gamana-Adi)
འདུ-བྱེད-པ	[LCh]abhisaMskAra
འདུ-བྱེད-མེད-པ	[MSA]asaMskRta
འདུ-བྱེད-སྣ-ཚོགས-རྣམ-པ-དུ-མ	[C](aneka-vidhAni) saMskAra-viprakArA
འདུ-བྱེད-རྣམས-ལ-སྐྱེ-བ-དང-འཇིག-པ	[MSA]saMskArANAM udaya-vyaya(u)
འདུ-བྱེད-རྣམས-འཇུག-པ-མི-རུང-བའི-ཕྱིར	[MSA]saMskArANAM pravRtter ayogAt
འདུ-བྱེད-རྣམས-མི-རྟག-པ-ཉིད	[MSA]anityatvam ... saMskArANAM
འདུ-བྱེད-ཐམས-ཅད-ནི-མི-རྟག-པའོ	[MSA]sarva-saMskArA anityAH
འདུ-བྱེད-ཐམས-ཅད-ནི-སྡུག-བསྔལ-བའོ	[MSA]sarva-saMskArA duHkhAH
འདུ-བྱེད-ཀྱི-ལས	saMskAra-karma
འདུ-བྱེད-ཀྱི-མཚན-མ	[C]saMskAra-nimitta; [L] saMskAranimitta
འདུ-བྱེད-ཀྱི-སྡུག-བསྔལ	saMskAraduhkhatA
འདུ-བྱེད-བཏང-སྙོམས	upekSA
འདུ-མི-བྱེད	[C,MV]asaMskAra; [MSA]anabhisaMskAra; [MSA]asaMskRta
འདུ-མི-བྱེད-པ	asaMskAra; [MSA]anabhisaMskAra; [MSA]asaMskRta
འདུ-མ-བྱེད	[L]asaMskRta
འདུ-བར-འགྱུར-བ	[C]samavasarati
འདུ-འཛིར-གྱུར-པ	[C]saMgaNika-Avaha
འདུ-འཛི-ལ-དགའ-བའི-གཏམ	[C]saMgaNikA-ArAma
འདུ-འཛི-སྤངས-པ	[C]saMgaNikA-parivarjana
འདུ-འཛི-མེད-པ	[C]avyavakIrNa
འདུ-ཤེས-མེ-པ	asaMjJA
འདུ-ཤེས-མེད-པ	asaMjnA
འདུ-ཤེས-མེད-པ-ཡིན	[C]asaMjJatA
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན	naivasaMjJAnAsaMjJA
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན-སྐྱེ-མཆེད	[C]naiva-saMjJAnAsaMjJAyatana
འདུ-ཤེས-མེད-པའི-སེམས-ཅན	asaMjJisattva
འདུ-ཤེས-མེད-པའི-སྙོམས-འཇུག	[LCh]asaMjJi-samApatti
འདུ-ཤེས-ཐམས-ཅད-དང-མཐུན-པ-ཐུན-མོང-ངོ	[C]sarva-sattva-sArA
འདུད	[C]nAmas
འདུད-པ	[MSA]nata
འདུག	[C]niSanna; [MSA]niSadana; [C]adhitiSThati
འདུག-ཅིང	[C]sthitvA
འདུག-པ	niSadya; [C]niSIdatim; [C]niSadya; [C]viharati; [MSA]sthita
འདུག-པར	[C]niSadya
འདུག-བྱེད-ཅིང	[C]sthihitva (=sthitvA)
འདུལ	[MSA]naya
འདུལ-བ	vinayana. vinaya. vineya; [C,MSA]vinayana. vinaya. vineya; (vi √nI): [MSA]vinayati; [MSA]vinayana. vinaya. vineya; [MSA]vinayana. vinaya. vineya; [C]damana; [C]dharSayati
འདུལ-བྱ	vineya
འདུལ-བར-བྱེད	[MSA](√dam): damayati; [MSA](vi √nI): vinayanti
འདུལ-བའི-དབང	[MSA]vineya-vaza
འདུལ-བའི-མདོ	vinayasUtra
འདུལ-བའི-དོན-དུ	[MSA]vineyArthaM
འདུལ-བའི-ཐབས-ཀྱི-ཁམས	[MSA]vinayopAya-dhAtu
འདུལ-བའི-སྐྱེ-བོ	vineya-jana
འདུལ-བ-ལས-བྱུང-བ-དབེན-པའི-རང-བཞིན	[C]vainayika-vivikta-svabhAva
འདུལ-བ-མེད-པ	[C]avinaya
འདུལ-བ-ཉིད-པ	[C]vinayanatA
འདུན	[C]chanda; chandika (=abhilASa-sampannaH)
འདུན-བྱེད	[MSA](samA √vRj): samAvarjayate
འདུན-པ	chanda; [LCh,MSA,MV,C]chanda; [C]chandas (=kartu-kAmatA)
འདུན-པར-བྱས-པ	[MSA]Avarjita
འདུན-པར-བྱེད-པ	[MSA]Avarjaka; [MSA]Avarjana
འདུན-ལ-བརྟེན-པ	[MSA]chanda-pratiSThita
འདུན-པ-ཉམས-པ	[MSA]chanda-parihANi
འདུན-པ-ཟློག-པར-བྱེད-དེ	[C]vicchandayati (=kartu-kAmatA-apanayanAd)
འདུན-པ-དང-རྩོན-འགྲུས-དང-སེམས-དང-དཔྱོད-པའི-ཏིང-ངེ-འཛིན	[MSA]chanda-vIrya-citta-mImAMsA-samAdhi
འདུན-པ-དང-མཚུངས-པར-ལྡན-པ	[MSA]chanda-saMprayukta
འདུན-པ-དང-ལྡན-པ	chandika; [C]chandika (=abhilASa-sampannaH)
འདུན-པའི-རྩ-བ-ལས-བྱུང-བ	[C]canda-mUlaka
འདུན-དང-བཅས-པ	[MSA]chanda-sahita
འདུས	[MV]antarbhU-; antarbhUta
འདུས-བྱ	[C]saMskRta
འདུས-བྱས	[C,MV,MSA]saMskRta; [MSA]saMskAra
འདུས-པ	saMnipatita. saMnipAta; [N]saGghAta; [C]saMnipatita. saMnipAta; [C]saMnipatita. saMnipAta; [C]sAnnipAtika; [C]akSara-saMnipatita. saMnipAta; [C]ekakSaNa-saMnipatita. saMnipAta; [C]antar-gata; [MV]antar-bhAva; [C]samasta; saMghAta [GD:126]; saMhata; saMghata
འདུས-པར	[C]antar-gata; [C]saMgRhIta
འདུས-བྱས-ཙམ	[MSA]saMskAra-mAtra
འདུས-བྱས-ཀྱི-ཆོས	saMskRtadharma
འདུས-བྱས-ཀྱི-མཚན-ཉིད	saMskRta-lakSaNa; [MSA]saMskRta-lakSaNa
འདུས-བྱས-མི-རྟག-པ-ཉིད	[MSA]saMskRtasyAnityatA
འདུས-བྱས-ཐམས-ཅད-མི-རྟག-པ	sarvaM saMskRtam anityam
འདུས-བྱས-ཐམས-ཅད-སྐད-ཅིག-མ	[MSA]kSaNikaM sarvaM saMskRtaM
འདུས-བྱས-ཐམས-ཅད-ནི-རྒྱུ-ལས-སྐྱེ-ཞིང-ཡོད-དོ	[MSA]hetuto hi sarvaM saMskRtam utpadyate bhavati (ut √pad)
འདུས-བྱས-དང-འདུས-མ-བྱས-ཉིད	[MSA]saMskRtAsaMskRtatva
འདུས-མ-བྱས	[LCh,MSA,MV,C,L]asaMskRta; [C]anabhisaMskRta
འདུས-མ-བྱས-ཀྱིས	[C]prabhAvita
འདུས-མ-བྱས-པ	[C]asaMskRta; [C]anabhisaMskRta; [MSA]anabhisaMskRtatva
འདུས-མ-བྱས-ཀྱི-ཆོས	asaMskRta-dharma
འདུས-མ-བྱས-ཀྱི-ནམ-མཁའ	asaMskRtAkaza; asaMskRta-akaza
འདུས-མ-བྱས-ཀྱིས-རབ-ཏུ-ཕྱེ-བ	[C]asaMskRta-prabhAvita
འདུས-མ-བྱིས-པ	[C]asaMskRtatA
འདུས-པར-འགྱུར	[C]saMgrhIta
འདུས-ཤེས-དང-ཚོར-བ-འགོག-པ	saMjJAveditanirodha
འདུས-པ-ལས-བྱུང-བའི-ངོ-བོ-ཉིད	[C]sAmyogika-svabhAva
འདུས-པ-ལས-གྱུར-པ	[C]sannipAtikAni
འདུས-གྱུར-པ	[MSA]saMparka-gata
འཛམ-བུའི-གླིང	[C]jambu-dvIpa; [C]jAmbudvIpa
འཛམ-བུ-གླིང	[LCh]jambu-dvIpa
འཛངས-པ	[C,L]`vijJa
འཛེག-པ-ཡིན-པ	[C]adhirohin
འཛིགས	saMluDita
འཛིན	[C]grahISyati; [C]gRhNAti; [MV]grahaNa; [MV]grAha; [MV]grAhaka; [C]parigRhNAti; [C]upAdatta; [MSA]nigUDha
འཛིན-འཚལ	[C]parighetu-kAma
འཛིན-མེད	[C]anAgrahu; [C]anupAdatta
འཛིན-པ	grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; (√grah): [L,MV]gRhyate; [C,MSA,MV]grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; [C]graha; [C]grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; [MSA]grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; [MV]grAhakatva; [MSA,C]udgrahaNa; [MSA,MV,C]grahaNa; [C]grahaNatA; [C]gRhNAti; [C]udgRhNAti; [C]parigRhNAti (=mamatvena svIkuryAt); [MSA]grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; [C,MSA,MV]udgraha; [C,MV,MSA]grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; [MV]grAhaka. grAha. grAhika. dhAraNa. dhAraNA. parigraha; [C]dhArayati; [MSA]dhRta; [MSA]dhRti
འཛིན-རྣམ	grAhaka-AkAra; grAhakAkAra
འཛིན-སྟངས	[N]muSTi-bandha; muStibandha
འཛིན-དུ-འཇུག-པ	[MSA]grAhaNa (sic); [C]grAhayati
འཛིན-ཅིང-བཞག-ན	[C]dhArayati
འཛིན-སྟངས-ཀྱི-ཡུལ	muSTi-bandha-viSaya
འཛིན-པ-མེད	[MSA]niravagraha
འཛིན-པ-ཙམ	[MSA]grahaNa-mAtra
འཛིན-པ-གཉིས-དང-བྲལ-བ	[MSA]dvaya-grAha-visaMyukta
འཛིན-པ-གཞན-དུ-གྱུར-པ	[MSA]udgraha-parAvRtti
འཛིན-པ-འཁྲུལ-པ	[MSA]grAha-bhrAnti
འཛིན-པ-མེད-པ	[C]agrahaNatA; [C]anavagraha
འཛིན-པར-འགྱུར-བ	[C]upAdAnIya; [C]dhArayati; [C]grAhayati
འཛིན-པར-བྱེད-པ	[C,MSA]grAhaka; [MSA](√dhR); [MSA]pAraNa
འཛིན-པར-ནུས-པ	[MSA]dhAraNa-sAmarthya
འཛིན-པའི-དོན	[MSA]grAhakArtha
འཛིན-པའི-རྫས	[MSA]grAhaka-dravya
འཛིན-པའི-དམིགས-པ	[MV]dhAraNAlambana
འཛིན-པའི-མཚན-ཉིད	[MSA]grAhaka-lakSaNa
འཛིན-པའི-འཁྲུལ-པ	[MSA]grAha-bhrAnti
འཛིན-པའི-རྣམ-པར-གཡེང-བ	[MSA]grAhaka-vikSepa
འཛིན-པའི-རྣམ-པར-ཤེས-པ	[MV]grAhakaM vijJAnaM
འཛུད	[MV]avatAra; [MV](ava √tRR): avatArayati
འཛུད-པ	[MSA,MV]avatAraNa; [MSA]Avarjana; [C]nivezayati
འཛུད-པར-བྱེད	[MSA](A √vRj): Avarjayanti
འཛུམ	smita
འཛུམ-པར-བྱེད	[MSA]kRta-smita-mukha
འཛུམ-པ-མཛད-དོ	[C]smitaM prAduSkaroti (=smitam AviSkurvanti)
འཛུམ-དམུལ-སྣུལ	[C]prahasitavadano bhUtvA
འགའ-ཞིག	[LCh]kazcid
འགག	[L](ni√rudh): nirodha; [L]niruddha
འགག-མེད	[LCh]aniruddha
འགག-པ	nirodha; [LCh,MV](ni√rudh); [LCh,L,MSA]nirodha; [L]niruddha; [C,MV]nirudhyate
འགག-པ-མེད	[L]anirodha
འགགས	[C]niruddhiya; [L]niruddha; [L]nirodha
འགགས-པ	niruddha. nirodha; [L,MSA]niruddha. nirodha; [L]niruddha. nirodha
འགལ	[MSA]viruddha; virodha; virodhitva; vilomayati (vi-loman)
འགལ-བ	virodha. vilomayati; [LCh,C,MSA]virodha. vilomayati; [L,MSA]viruddha; [C]rodha; a[MSA]virodhitv; [MSA]virodha. vilomayati (vi-loman)
འགལ-ཟླ	[LCh]pratidvandin
འགལ-བ-མེད	[MSA]aviruddha
འགལ-བའི-གཏན-ཚིགས	viruddha-hetu;[GD:276] viruadhahetu GD looks mistaken; check his source
འགལ-བར-བྱེད	[C]prativahati; [C] virodhayati
འགལ-བར-བྱེད-པ-བྱ-བ	[C]virodhayati
འགལ-བར-བྱེད-འགལ-བར-མི-བྱེད	[C]virodhayati
འགོ	[MSA]avabodha
འགོ-བ	[MSA]avasaMbodha; [MSA]gamika
འགོ-བའི-ནད	upasarga; [C]upasarga
འགོད	[C]vyaya (= nirodho); [C]sthApana; [MSA](ni√viz): nivezayati; [MSA]nivezyate
འགོད-པ	pratiSThApana; [C]niyojana; [C]prasthApayati; [MSA]pratiSThApana; [MSA]ropaNa; [MSA]saMnivezana
འགོད-པར-བྱེད	[C]prasthApayati
འགོག	[LCh](ni√rudh); [MV]nirodha
འགོག-བདེན	nirodha-satya
འགོག-པ	nirodha; [L,MSA,MV]nirodha; [C]nirodhi; [C]nirodhika; [C]niSedha; lam 'gog pa = [MSA]paripantha
འགོག-སྙོམས	nirodhasamApatti
འགོག-པའི-སྙོམས-འཇུག	nirodha-samApatti
འགོག-པའི-བདེན-པ	[MV]nirodha-satya
འགོག-པ-དང-ལམ-གྱི-བདེན-པ	[MSA]nirodha-mArga-satya
འགོག-པ-མེད-པ	[C]aniruddha
འགོག-པར-བྱེད	[C]pratikSipati
འགོང-བར-མི-འགྱུར	[C]avalIyate
འགྲམ	[C]tira
འགྲམ-པ	[C]hanu
འགྲས-པ	[C]aparAddhaH
འགྲེལ-བཤད	TIkA
འགྲེལ-པ	[LCh]vRtti; [L]nirmocana; [MV]bhASya
འགྲེལ-ཆེན-དྲི-མེད-འོད	mahAbhASya vimalaprabhA
འགྲེལ-པ-བུདདྷ-པཱ-ལི-ཏ	buddhapAlita-mUla-madhyamaka-vRtti
འགྲེལ-པ-དོན-གསལ	abhisamayAlaMkAra-nAma-prajJA-pAramitopadeza-zAstra-vRtti / spuThArtha
འགྲེལ-ཆུང-དོན-གསལ	abhisamayAlaMkArAloka
འགྲིབ	[C]parihIyate; [C]hAni
འགྲིབ-མེད	[C]ahAni
འགྲིབ-པ	hAni. apacaya; [L]hAni. apacaya; [C]parihANi; hIyate; [MV,MSA]hAni. apacaya; [MSA]hrAsa
འགྲིབ-པ-མེད	[C]ahAna; [MV]ahIna(tA)
འགྲིབ-པ-མེད-པ	[MV]ahIna(tA)
འགྲིབ-པར-མ-བྱས-པ	[L]aparihANi
འགྲིབ-པར-བགྱིད-པ	[C]hArika
འགྲོ	[LCh]gam; yA; [L,MV]gati; [C,MV]gamana; [MV]ga; jagat; [C]gamiSyanti; calate; upayAti; saMkramaNatA; saMkrAmati; anbhikramaNa; avakrAnti; carati; caran; (√vraj): [MSA]yAtrA; vrajati; vrajate; dehin
འགྲོ-བ	gati. gamana. gAmin. jagat; [L,MV,MSA,C]gati. gamana. gAmin. jagat; gantR; [L,MV,MSA,C]gati. gamana. gAmin. jagat; [C]gacchati; [MSA]upaga; [MSA]ga (e.g.: pAra-ga); [MSA]gAmitA; [MSA]gati. gamana. gAmin. jagat; [C,MSA,MV]gati. gamana. gAmin. jagat; [C]jagatI; [C]saMkrAmati; [C]prakrAmati; [C]abhikramaNa; [C]avakrAnti; [C]vrajate; [MSA]yAti; [MSA]yAna
འགྲོ-བར	[C]gamana
འགྲོ-དོན	[C]jagad-arthya; [C]jagArtha
འགྲོ-མེད	[C]anirgamam; [C]agati
འགྲོ-ན	[C]prakrAmati
འགྲོ-ཉིད	[C]gAmitva
འགྲོ-ཕན	jagad-dhIta
འགྲོ-ཞིང	[C]anuvartate
འགྲོ-ལ-སྙིང-བརྩེར-ལྡན-པའི-ཕྱིར	[C]jagAnukampi
འགྲོ-བར-འགྱུར	[C]pariyAti; [C]vrajate; [C]samAgamati (=prAdurbhavanti); [C]gacchati; [C]kSipati; [C]prasthita; [C]prakrAmati; [C]saMkrAmati
འགྲོ-བར-འདུ-ཤེས-པས	[C]gamana-saMjJin
འགྲོ-བར-བྱ-བའི-ཕྱིར	[L,C]apakramaNA
འགྲོ-བར-བགྱིད-པ	[C]nirgamika
འགྲོ-བར-བྱེད-པ	[C]anubandhayati
འགྲོ-བ-དྲུག	SaD-gati
འགྲོ-བ-ཀུན	[MSA]sarva-jagat
འགྲོ-བ-པོ	[MSA]yAtR
འགྲོ-བ-མེད-དོ	[C]visarati
འགྲོ-བ-མ-མཆིས-པ	[L]agamana
འགྲོ-བ-ལྔར-འཁོར-བ	[C]paJca-gatika
འགྲོ-བའི-དོན	[C]jagArtha
འགྲོ-བའི-དོན-དུ	[C]janArtha
འགྲོ-བའི-དགེ-བའི-ལོ-ཏོག	[MSA]jagat-kuzala-sasya
འགྲོ-དོན-རབ-ཏུ-འདོད-པ	[C]jagad-artha-kAmo
འགྲོགས-པ-མ-ཡིན	[C]asamavahita
འགྲོང	[C]sthita (=vyavasthita)
འགྲུབ	[MV]prasidh-; [MSA](√sidh): sidhyati; yang dag par 'grub = samudAgata
འགྲུབ-བྱེད	[L]sAdhaka; [MSA]siddhi (e.g.: artha-siddhi)
འགྲུབ-པ	niSpatti. samRddhi; [L]niSpAdana; [C,MV,MSA]niSpatti. samRddhi [C](=pariniSpatti = pariniSpadyate); [MSA]pariniSpatti (e.g.: dharma-kAya-pariniSpatti); saMpatti; saMpAdana; [MSA,MV]siddhi; yang dag par 'grub pa - [MSA]samudAgama
འགྲུབ-པ-དམ-པ	[MV]niSpatti-paramatA
འགྲུབ-པས-ཐོབ-པ	[MSA]niSpatti-lAbha
འགྲུབ-པར-བྱེད	[L]sAdhaka
འགྲུབ-པར-འགྱུར-བ	[C]niSpatti (=pariniSpatti = pariniSpadyate)
འགྲུབ-པར-བྱ-བ	[MSA]samudAgama
འགུལ-བ	[C]calayati
འགྱེད-པ	vivAda; [C]vivAda
འགྱེད-པར	[L]saMcodayanti
འགྱེད-པར-བྱེད	[C]vigRhNIte
འགྱེལ-བ	[C]patana
འགྱོད-པ	kaukRtya. vipratisAra. vipratisArin; [LCh,L,MSA]kaukRtya. vipratisAra. vipratisArin; [C]kaukRtya. vipratisAra. vipratisArin; [MSA]kaukRtya. vipratisAra. vipratisArin
འགྱོད-པར-བྱེད	[MSA]kaukRtyAyate
འགྱོད-པའི-སྒྲིབ-པ	[MSA]kaukRtyAvaraNa
འགྱོད-པ-མེད-པ	[MSA]akaukRtya; [MSA]avipratisAra
འགྱོད-པ-མེད-པར-འཆི-བའི-དུས-བྱེད-པ	[MSA]avipratisArI kAlaM karoti
འགྱོད-པ-མེད-པ-ལ-སོགས-པའི-རིམ	[MSA]avipratisArAdi-krama
འགྱོགས-པ	jAva
འགྱུར	[LCh]as; [MV]syAt; [LCh]bhU; [MV V.daza-vaj]bhavati; [L]pariNAma; [MSA](ni√gam): nigacchati; [MSA]yAti vikRtiM; [MV,MSA]vikAra; [MSA]vrajati; [C,MV]prApnoti; [C]arcchati; [C]Ahu; [C]upaiti; [L]abhyupaiti; [L]Apadyate; [C]gata; [C]saMvartate; [C]bheSyanti (=bhaviSyanti); brgya 'gyur du = [MSA]zata-guNa
འགྱུར-བ	[L]pariNAma; [L]abhyupaiti; [C,MSA,MV]vikAra; [MSA]vikAritA; [C]sambhava; [MSA]caJcalA; [MSA]vrajati (e.g.: buddhatvam Azu vrajati); rgyags par mi 'gyur ba = [MSA]madAnanugamana; mir 'gyur ba = [MSA]manuSa-bhUta; vikriyA
འགྱུར-ཏེ	[C]saMvartayati
འགྱུར-ཞིང	[C]upaiti
འགྱུར-བའི-སྡུག-བསྔལ	vipariNAmaduHkatA
འགྱུར-བའི-བྱེ-བྲག	pariNAma-vizeSa
འགྱུར-བའི-ཆོས-ཅན	[C]vipariNAma-dharmin
འགྱུར-བ-འོས-པ-མ-ཡིན	[MSA]na bhavitum arhati (√bhU)
འགྱུར-བ-མི-སླུ-བ-མོད-ཀྱི	[C] visaMvAdayati
འགྱུར-བ-མེད-པ	[C]avaivartika; [L]akAraka; [C]avikAra; [L]anabhisaMskRta
འགྱུར-བ-མེད-པར-མཉམ-པ	[C]nirvikAra-sama
འགྱུར-བ-མ-མཆིས-པ	[L]avaivartika; [L]akAraka; [L]avikAra; [L]anabhisaMskRta
འགྱུར-པའི-སྡུག-བསྔལ	vipariNAma-duHkhatA
འཇའ	[C]indrAyudha
འཇའ-ཚོན	indrAyudha; indrAyudharaGga
འཇལ	[C]tulana; [C] -mAna
འཇལ-བ	tulanA; [C,MSA]tulanA; [C]tulayati
འཇལ-པ	[L]mA
འཇལ-བར-འགྱུར	[C]tulayati
འཇམ	[C]mRdu; [C]mRdutva; [C]maJju
འཇམ-དབྱངས	maJjughoSa
འཇམ-དཔལ	maJjuzrI
འཇམ-མགོན	maJjunAtha
འཇམ-པ	mRdu. zlakSNa; [C]mRdu. zlakSNa; [MSA]mRdukA; [MSA]madhura; [C]mRdu. zlakSNa(tva); zlakSNatva
འཇམ-པའི-དབྱངས	maJjughoSa; maJjuzrI
འཇམ-པོར-སྨྲ	[C]mRdu-bhASin
འཇིག	[MSA]nAza; [N]vinaza; [MSA]vinazyati; [C]mriyate; [C]bhidyate (=bhindati)
འཇིག-བསྐལ	[LCh]saMvarta-kalpa
འཇིག-ལྟ	satkAyadRSTi
འཇིག-མེད	[C]alujyana; [MSA]na vyeti
འཇིག-པ	naSTa. bhaGga. saMvarta. vinAza. vyaya; [C,L]naSTa. bhaGga. saMvarta. vinAza. vyaya; [C]nAza; [C]bhedana; [C]bhidyate (=bhindati); [MV]naSTa. bhaGga. saMvarta. vinAza. vyaya; [MSA]bhaGgura;[C] rUpaNa (=rUpa); [C]lujyate; [C,MSA,MV]naSTa. bhaGga. saMvarta. vinAza. vyaya (=[C]nirodho); [MSA]naSTa. bhaGga. saMvarta. vinAza. vyaya; [C]bhetsyati; [C]vivartanaM (=vivRtAn)
འཇིག-རྟེན	loka. laukika; [C,MSA,MV]loka. laukika; [MSA]loka. laukika; [MSA]laukya; [L]lokadhAtu; [C]jagat; [C]jagatI
འཇིག-ཚོགས	[MSA]sat-kAya
འཇིག-ཚོགས-ལ-ལྟ-བ	satkAya-dRSTi; [C,MSA,MV]satkAya-dRSTi
འཇིག-ཚོགས-ལ-ལྟ-བའི-ཉོན-མོངས-པའི-མཚན-ཉིད	[MSA]sat-kAya-dRSTi-kleza-lakSaNa
འཇིག-ཚོགས-ལ-ལྟ-བ-ཉོན-མོངས-པ-ཅན	[MSA]kliSTA sat-kAya-dRSTiH
འཇིག-ཚོགས-ལྟ-བ	[MV]satkAya-dRSTi
འཇིག-ཚོགས-འགོག-པ	satkAya-nirodha; [L]satkAya-nirodha
འཇིག-པ-མེད-པ	[C]avivarta; [C]asraMsanatA
འཇིག-པར-བྱེད	[C]pratisaMharati
འཇིག-པར-འགྱུར-བ	[C]bhidyati (=bhindati)
འཇིག-པར-འགྱུར-ཏེ	[C]vilayam; [C]upaiti; [C]nayati; [C]prAyati; [C]prApuNati; [C]vrajati
འཇིག-པར-བགྱིད-པ	[C]apaharaka; [C]vikAriSya(?)
འཇིག-མེད-གནས	[LCh]abhayagirika; [LCh]abhayagirivAsin
འཇིག-རྟེན-འདས	[MSA]loka-samatIta
འཇིག-རྟེན-བདེ	[MSA]loka-saukhya
འཇིག-རྟེན-གྱི	[C]loke
འཇིག-རྟེན-ཁམས	[MSA]loka-dhAtu
འཇིག-རྟེན-པ	laukika; [C,MSA,MV]laukika
འཇིག-རྟེན-མིན-པ	[MSA]atilaukikI
འཇིག-རྟེན-ཆོས-བརྒྱད	aSTalokadharma
འཇིག-རྟེན-ཀུན-རྫོབ	lokasaMvRtisatya
འཇིག-རྟེན-པ-དང-འཇིག-རྟེན-ལས-འདས-པ	[MSA]laukikI lokottarA
འཇིག-རྟེན-པ-དང-ཉན-ཐོས-དང-རང-སངས-རྒྱས-རྣམས	[MSA]laukika ... zrAvaka-pratyekabuddha
འཇིག-རྟེན-སྡུག-བསྔལ-བདག-ཉིད	[MSA]duHkhAtmaka ... loka
འཇིག-རྟེན-མཁྱེན-པ	[C]loka-vidu
འཇིག-རྟེན-རྒྱང-ཕན-པ	lokAyata
འཇིག-རྟེན-པའི-ཆོས	[MSA]loka-dharma
འཇིག-རྟེན-པའི-ལམ	laukikamArga
འཇིག-རྟེན-པའི-ཆོས-མཆོག	laukikAgradharma
འཇིག-རྟེན-པའི-ཆོས-ཀྱི-མཆོག	[LCh]laukikAgradharma; laukikAgryadharma
འཇིག-རྟེན-པའི-ཡེ-ཤེས	[MSA]laukika ... jJAna; laukikajJAna
