འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
བདག	Comment: it is said that in general "self," "person," (gang zag, pudgala) and "I" (nga, ahaM) are equivalent, in the particular context of the selflessness of persons "self" and "person" are not at all equivalent and do not at all have the same meaning. In the term "selflessness of persons," "self" refers to a falsely imagined status that needs to be refuted, whereas "persons" refers to existent beings who are the bases with respect to which that refutation is made. All four Buddhist schools, therefore, hold that persons exist; they do not claim that persons are mere fictions of ignorance.
བདག-པོ	get ex from rDor 'grel
བདག-རྐྱེན	one of the four types of conditions (rkyen); for others see: {རྐྱེན}
བདག-སྒྲ	Comment: a grammatical term. (PH) I added this comment; you might want to clarify the usage of the term better.
བདག-ཏུ-འཛིན-པ	See: {བདག་འཛིན}
བདག-ལ-དགོངས-སུ-གསོལ	fix tab space in Tib ex 1
བདག-གཅིག-འབྲེལ	Check definition (2nd half) is it 'grel or 'brel?? (T)
བདག-གཅིག-ཏུ-འབྲེལ	See next entry
བདག-པའི-རྐྱེན	See: {བདག་རྐྱེན}
བདག-པའི-འབྲས-བུ	one of the five types of effect ('bras bu); for others see: {འབྲས་བུ}
བདག-ལྟའི-བག-ཆགས	predispositions of the view of self; Comment: There are four types of predispositions in Ge-luk-b#a explanations of Mind-Only (sems tsam): predispositions of [perceptions of] similar type (rigs mthun gyi bag chags); predispositions of verbalization (mngon brjod kyi bag chags, abhilApavAsanA); predispositions of the view of self (bdag lta'i bag chags, AtmadRStivAsanA); predispositions of the branches of cyclic existence (srid pa'i yan lag gi bag chags, bhavAGgavAsanA.
བདག-ཉིད-ཆེ	get pg # for ex from A's Rite
བདག-ཉིད-ཆེན-པོ	get pg # for ex from A's Rite
བདག-ཉིད-ང-རྒྱལ	pride of selfhood; Comment: This is one of seven prides which NAgArjuna mentions in his Precious Garland, stanzas 407-412: pride of selfhood (bdag nyid nga rgyal), exceeding pride (lhag pa'i nga rgyal), pride beyond pride (nga rgyal las kyang nga rgyal), pride of thinking I (nga'o snyam pa'i nga rgyal), pride of conceit (mngon pa'i nga rgyal), erroneous pride (log pa'i nga rgyal), pride of inferiority (dman pa'i nga rgyal).
བདག-པོའི-འབྲས-བུ	one of the five types of effect ('bras bu, phala); for others see: {འབྲས་བུ}
བདག-པོ-རྐྱེན	See: {བདག་རྐྱེན}
བདེ-འབྱུང	Bliss-Arising; Comment: also known as mahezvara or ziva. Gung-tang reports that Maheshvara (Great Lord) is called "Bliss-Arising" not because he himself becomes blissful in dependence upon the goddess Uma but because his body is so supremely satisfying that when others see it, all virtues, including liberation, as well as temporary happiness arise. This is why Maheshvara is called a source of joy.
བདེན-པར-གྲུབ-པ	one of the eight types of object of negation (dgag bya) in the PrAsaGgika system (and one of five in SvAtantrika); for others see: {དགག་བྱ}
བདེན-བཞིའི-ཆོས-འཁོར	an example of valid speech (ngag tshad ma)
བདེན-པ-མངོན-རྟོགས	definition of path of seeing (mthong lam)
བདུད-སྡིག-ཅན	Comment: an epithet of the God of Desire ('dod lha, kAmadeva).
བདུད-ཡི-དམ	Comment: a pejorative expression, dismissive of a "tutelary deity" (yi dam). (PH) added comment
བདུན	SW changed ex 1 Eng to "Valid Cognition" from "Prime Cognition"; (PH) make sure #s 1-10 in dictionary?; add "sde bdun" as separate entry?
བེམ-ཤེས-ལྡན-མིན-འདུ-བྱེད-གསུམ	Comment: These are the the three divisions of thing (dngos po).
བེམ-ཤེས-གང-རུང-མ-ཡིན-པའི-དངོས-པོ	Comment: This is one of three definitions of non-associated compositional factor (ldan min 'du byed, viprayukta-saMskAra): (1) a thing that is neither matter nor consciousness (bem shes gang rung ma yin pa'i dngos po); (2) a thing that is neither form nor consciousness (gzugs shes gang rung ma yin pa'i dngos po); (3) a compounded phenomenon that is neither matter nor consciousness (gzugs shes gang rung ma yin pa'i 'dus byas).
བེམ-ཤེས-གང-རུང-མ-ཡིན-པའི-འདུས-བྱས	Comment: This is one of three definitions of non-associated compositional factor (ldan min 'du byed, viprayukta-saMskAra): (1) a thing that is neither matter nor consciousness (bem shes gang rung ma yin pa'i dngos po); (2) a thing that is neither form nor consciousness (gzugs shes gang rung ma yin pa'i dngos po); (3) a compounded phenomenon that is neither matter nor consciousness (gzugs shes gang rung ma yin pa'i 'dus byas).
བགོ-གཞི	See bsgo ba'i gzhi
བི-ཤོ-དྷ-ན	vizodhana; ck sp of Sanskrit Comment: transliteration of Sanskrit word—vizodhana
བི-ཤི-ཁཱ	transliteration of Sanskrit word—vizikhA
བཀའ-གདམས-གདམས-ངག-པ	Preceptual G#a-dam; Comment: This is one of the two branches of the G#a-dam School: Textual G#a-dam (bka' gdams gzhung pa ba) and Preceptual G#a-dam (bka' gdams gdams ngag pa). The Ge-luk-b#a school is sometimes traced to the Textual G#a-dam.
བཀའ-གདམས-གཞུང-པ-བ	Textual G#a-dam; Comment: This is one of the two branches of the G#a-dam School: Textual G#a-dam (bka' gdams gzhung pa ba) and Preceptual G#a-dam (bka' gdams gdams ngag pa). The Ge-luk-b#a school is sometimes traced to the Textual G#a-dam.
བླ-མ-པ	The eighteenth VaibhAShika School in BhAvaviveka's first rendition set forth in his Blaze of Reasoning, equivalent to the SaMkrAntivAdins in other renderings; see Meditation on Emptiness, p.714 (T)
བླང	Thumi, p.180, has "lend" for the imperative (T)
བླང-བ	See comment of "blang" (T)
བླངས	See comment of "blang" (T)
བློ-གཏེར	epithet of MaJjughoSa (=MaJjuzrI), the Buddha of wisdom
བློ-བཟང-དོན-སྒྲུབ	or is it don grub?
བློ-རིག-གི-མཐའ-དཔྱོད	In English: blo bsang rta dbyangs = blo bsang rta mgrin ?? (T)
བློ-རིག-བདུན-དུ-དབྱེ-བ	see: {བློ་རིག}
བློའི-གཞན-སེལ	one of the two types of other-eliminators that are affirming negatives (ma yin dgag gi gzhan sel); the other is don rang mtshan gyi gzhan sel
བློའི-ཡུལ-དུ-བྱ-རུང-བ	definition of object of knowledge (shes bya)
བློས-རིག-པར-བྱ-བ	definition of object (yul, viSaya)
བོ	SW added this record
བོ-དོང-ཕོཡགས-ལས-རྣམ-རྒྱལ	ck spelling; get dates
བོབས	No listing of this in Thumi (T)
བོད-སྐད	I turned John's note into divisions. Is that OK? (T)
བོར	Tenses and English are from Thumi, p.174-5 (T)
བྲལ-བའི-འབྲས-བུ	one of the five types of effects; for others see: {འབྲས་བུ}
བྲམ-ཟེ	a member of the highest of the four traditional castes (varNas) in Hinduism
བརྡ	compare: {ཐ་སྙད}, designation, convention; and: sgra, sound, term
བརྡ-ལ-བྱང-བའི-སྐྱེས-བུ	Comment: This refers to someone who knows language, as opposed to the very young, and so forth.
བརྡར	Thumi (p.134) gives the meaning: to sharpen or to rub (T)
བརྡེག-འཆའ	Check tenses (T)
བརྫང	SW added this record
བརྫངས	SW added this record
བརྫི-བ	see the entry for rdzi (T)
བྲེ-པ	Thumi, p.180, has: bre / 'bre / bres / 'bres (T)
བྲེས-པ	See comment of "bre pa" (T)
བརྒྱུད-འབྲས	indirect effect; Comment: There are two types of effects: direct effect (dngos 'bras) and indirect effect (brgyud 'bras).
བརྒྱུད-རྒྱུ	indirect cause; Comment: There are two types of causes, direct cause (dngos rgyu) and indirect cause (brgyud rgyu).
བརྒྱུད-ནས-སྐྱེད-བྱེད	Comment: This is the definition of indirect cause (brgyud rgyu).
བརྗེ	SW added "coarse " to Engl. definition
བརྗེད-ངེས-པ	forgetfulness; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
བརྗོད-བྱེད-ཀྱི-སྒྲ	??? compare with: rjod byed kyi sgra ??? (PH)
བརྗོད-པའི-ཀུན-རྫོབ	Comment: This is one of three divisions of conventionalities: (1) imputational conventionalities (btags pa'i kun rdzob); (2) mental conventionalities (shes pa'i kun rdzob); (3) verbal conventionalities (brjod pa'i kun rdzob). Jik-may-dam-chö-gya-tso also identifies "imputational conventionalities" as imputational natures that are imputed by conceptuality to be truly existent whereas they are not truly existent; "mental conventionalities" as other-powered natures, which are illustrated by "unreal ideation" (yang dag pa ma yin pa'i kun rtog) since it is the principal other-powered nature, and thus come to be called "mental"; "verbal conventionalities" as thoroughly established natures which, although they ultimately cannot be taken as objects by way of terms and conceptual consciousnesses, are suitable to be expressed through many verbal forms such as thusness and so forth.
བརླག	I entered this record from Thumi, p.242 (T)
བརླགས	I entered this record from Thumi, p.242 (T)
བརྙན	See: {གཟུགས་བརྙན}
བརྟག-པ	Comment: see: {རྟོག}
བརྟན	SW added verb & ex
བརྟན-པ	SW added Eng. "verb: have faith in; believe in; trust" and ex 2
བརྩམས	see: rtsom Comment: Gung-tang explains that brtsams here means "taking such and such as substrata" (khyad gzhir bzung ba), although in other places it means that "the thought comes down to such and such" (dgongs pa der 'bab pa tsam).
བརྩོན-འགྲུས	vIrya; effort; Comment: This is one of the eleven virtuous mental factors (sems byung dge ba, kuzalacaitta): (1) faith (dad pa, zraddhA); (2) shame (ngo tsha shes pa, hrI); (3) embarrassment (khrel yod pa, apatrApya); (4) non-attachment (ma chags pa, alobha); (5) non-hatred (zhe sdang med pa, adveSa); (6) non-ignorance (gti mug med pa, amoha); (7) vIrya (brtson 'grus, vIrya); (8) pliancy (shin tu sbyangs pa, prasrabdhi); (9) conscientiousness (bag yod pa, apramAda); (10) equanimity (btang snyoms, upekSA); (11) non-harmfulness (rnam par mi 'tshe ba, avihiMsA).
བརྩོན-འགྲུས-ཕ-རོལ-ཕྱིན	one of the ten perfections; for others see: {ཕ་རོལ་ཏུ་ཕྱིན་པ}
བསབ	SW added this record
བསབས	SW added this record
བསམ-གཏན-བཞི	see: {བསམ་གཏན}
བསམ-གཏན-ས	(PH) div. too long
བསམ-གཏན-བཞི-པ	see: {བསམ་གཏན}
བསམ-གཏན-ཕྱི-མ	one of the four central Action Tantras
བསྡད	See under sdod in 'tenses' (T)
བསྡུ	Check tense (T)
བསྡུ-བ	See previous re: Tense (T)
བསེ-རུ-ལྟ-བུའི-རང-རྒྱལ	see previous entry
བསེ-རུ-ལྟ-བུའི-རྟོགས-པ-སྔོན-དུ-སོང-བའི-རང-རྒྱལ-གྱི-མི-སློབ-ལམ	one of the two types of Solitary Realizer paths of no more learning the other being Solitary Realizer path of no more learning of those who previously had the realizations of congregating [Solitary Realizers] (tshogs spyod kyi rtogs pa sngon du song ba'i rang rgyal gyi mi slob lam)
བསྒོམ-པའི-ལམ	Comment: See sgom lam
བསྒྲུབ	See: {སྒྲུབ}
བཤད	(PH) too many sanskrit entries
བཤད-པ	see: {འཆད་པ}
བཤད-སྦྱར	this is a style of commentary
བཤད-པའི-རྒྱུད	Comment: The second of the Four [Medical] Tantras (rgyud bzhi) deals with formation of the human body (embryology), anatomy, signs of death, how conditions cause the manifestation of disorders, the characteristics of particular disorders, the functions of wind, bile, and phlegm when these operate properly and how they bring about diseases when imbalanced, and the corresponding medicines required to correct particular disorders. This second tantra also prescribes the diet and behavior patterns for maintaining health and for combatting disorders--for instance, the types of food one should refrain from, the quality and quantity of food that one should take, and different types of behavior--seasonal behavior, daily behavior, and temporary behavior.
བཤགས-པ	see: {འཆགས་པ}
བཤམ	Thumi p.248 has gshoms for the imperative (T)
བཤམ-པ	See comment of previous record (T)
བཤམས	see: {གཤོམ་པ}
བཤིག	see: {འཇིག་པ}
བསྐྲད	get tenses
བསྐྱེད-བྱ	Comment: That which is produced is the definition of effect ('bras bu).
