ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
ཡོན-ཏན-རིན-ཆེན-མཐའ-ཡས-བཀོད-པ	 Ananta­guṇa­ratna­vyūha|Ananta­guṇa­ratna­vyūha 
ཡེ-ཤེས-བླ-མ-མཐའ-ཡས-པ	 Ananta­jñānanottara|Ananta­jñānanottara 
དམིགས-པ-མེད-པའི-བསམ-གཏན	 Anārambaṇa­dhyāyin|Anārambaṇa­dhyāyin 
བཟོད-ལྡན-མ	 Anasūyā|Anasūyā 
མགོན-མེད-ཟས-སྦྱིན	 Anāthapiṇḍada| Anāthapiṇḍada |Anāthapiṇḍada 
མགོན-མེད-པ-ལ-ཟས-སྦྱིན-པ	 Anāthapiṇḍada|Anāthapiṇḍada 
མགོན-མེད-ཟས-སྦྱིན-གྱི-ཀུན-དགའ-ར-བ	 Anāthapiṇḍada’s grove|Anāthapiṇḍada’s grove 
མ-དྲོས-པ	 Anavapta | Anavatapta| Anavatapta |Anavapta 
མཚོ-ཆེན-པོ-མ-དྲོས-པ	 Anavatapta|Anavatapta 
མ-དྲོས	 Anavatapta|Anavatapta 
འོད-ཟེར-འབར-བ-དུ-མས-འཁོར-བ	 Aneka­ratnāṃśu­mālā| Aneka­ratnāṃśu­mālā |Aneka­ratnāṃśu­mālā 
ཨང-ག	 Aṅga|Aṅga 
ཨང-གའི-རྒྱལ-པོ	 King of Aṅga|King of Aṅga 
ཙཎྜེ-མཧཱ-ཀྲོ-དྷ	 Fierce Great Anger|Fierce Great Anger 
ཞལ-ལ-ཁྲོ-གཉེར-གྱི-རིམ-པ-མེད-པ	 Face is without frowns of anger|Face is without frowns of anger 
ཤེས-ལྡན	 Aṅgiras|Aṅgiras 
ཨང-གི-ར	 Aṅgiras|Aṅgiras 
བརྩོན-པ-མི-འདོར-བ	 Anikṣiptadhura|Anikṣiptadhura 
བརྩོན-པ-མི-གཏོང-བ	 Anikṣiptadhura| Anikṣiptadhura |Anikṣiptadhura 
བརྩོན-པའི-མི-འདོར	 Anikṣiptadhura|Anikṣiptadhura 
དུད-འགྲོ	Animal realm
སྲིན-བུ	Animalcule
མ-འགགས-པ	 Aniruddha| Aniruddha |Aniruddha 
མ-འགག-པ	 Aniruddha|Aniruddha 
འགགས-པ-མེད-པ	 Aniruddha|Aniruddha 
ཕྱིར-མི-ལྡོག-པ	 Anivartin | Irreversible | Not regress|Anivartin 
ལོང-བུ-རྣམས-མི-མངོན-པ	Ankles are inconspicuous
ཟས-དང-གོས-སྦྱིན-མ	 Annapānadā|Annapānadā 
འཚིག-པ	Annoyance
བདུད	 Antaka | Demon | Demonic force | Māra | Māras | Namuci| Namuci |Antaka 
ས-བླའི-ལྷ	 Antarīkṣa­deva|Antarīkṣa­deva 
ལྷ-མ-ཡིན	 Antigod | Asura| Asura | Demigod |Antigod 
རྗེས-སུ-དཔག-པ	 Anumaineya|Anumaineya 
དཔེ-མེད-བློ-གྲོས	 Anupamamati| Anupamamati |Anupamamati 
ཉེ-བར-ཞི-བ	 Anupaśānta | Non-disturbance| Non-disturbance |Anupaśānta 
ལྷ-མཚམས	 Anurādhā|Anurādhā 
རྗེས-སུ-ཆགས-མ	 Anurāginī|Anurāginī 
སྤྲིན-མེད	 An­abhraka | Cloudless Heaven|An­abhraka 
མི-ཆེ-བ	 An­abhraka | Avṛha | Unlofty Heaven| Unlofty Heaven |An­abhraka 
མ-བསྙལ-བའི-རྒྱལ-མཚན	 An­avanāmita­vaijayantī|An­avanāmita­vaijayantī 
མ-བསྙལ-རྒྱལ-མཚན-རྒྱལ-བའི-བ-དན	 An­avana­tā Dhvaja­vaijayantī|An­avana­tā Dhvaja­vaijayantī 
དམིགས-པ-མེད-པ-ཡིད-ལ-བྱེད-པ	 An­upalambha­manasi­kāra|An­upalambha­manasi­kāra 
བློ-གྲོས-དཔེ-མེད	 An­upama­cintin|An­upama­cintin 
སོག-མེད	 Apalāla|Apalāla 
ཨ-པ-མརྒ	 Apāmārga | Chaff tree|Chaff tree 
ཐུར-སེལ	 Apāna|Apāna 
བ-ལང-སྤྱོད	 Aparagodānīya | Godānīya| Godānīya |Aparagodānīya 
ཨ-པ-ར-ཛི	 Butterfly pea|Butterfly pea 
གཞན-གྱིས-མི-ཐུབ-པ	 Aparājita|Aparājita 
ཉི-འོག-གི-གོས	Aparāntin cloth
བ-གླང-སྤྱོད	 Apara­godānīya|Apara­godānīya 
བརྗེད-བྱེད	 Apasmāra | Apasmāraka | Fits| Fits |Fits 
མངོན-པར-མི-བརྩོན-པ	Apathy
ཆེད-དུ-བརྗོད-པའི-སྡེ	 Aphorisms| Special accounts |Aphorisms 
ཆོས-ཀྱི-མདོ-བཞི	 Four aphorisms of the Dharma| Four aphorisms of the Dharma |Four aphorisms of the Dharma 
འགལ-བ-དང-འགོག-པ-མེད-པ	Appeasing of All Deviations and Obstacles
རྣམ-པར-རིག-པ	Apperception
སྦྱོར-བ	Application
ཆོས-ཀྱི-རྗེས-སུ-ལྟ-བའི-དྲན-པ-ཉེ-བར-གཞག-པ	 Application of mindfulness which, with regard to phenomena, observes phenomena| Application of mindfulness which, with regard to phenomena, observes phenomena |Application of mindfulness which, with regard to phenomena, observes phenomena 
ཚོར-བའི-རྗེས-སུ-ལྟ-བའི-དྲན-པ-ཉེ-བར-གཞག-པ	 Application of mindfulness which, with regard to feelings, observes feelings| Application of mindfulness which, with regard to feelings, observes feelings |Application of mindfulness which, with regard to feelings, observes feelings 
ལུས-ཀྱི-རྗེས-སུ-ལྟ-བའི-དྲན-པ-ཉེ-བར-གཞག-པ	 Application of mindfulness which, with regard to the physical body, observes the physical body| Application of mindfulness which, with regard to the physical body, observes the physical body |Application of mindfulness which, with regard to the physical body, observes the physical body 
སེམས-ཀྱི-རྗེས-སུ-ལྟ-བའི-དྲན-པ-ཉེ-བར-གཞག-པ	 Application of mindfulness which, with regard to the mind, observes the mind| Application of mindfulness which, with regard to the mind, observes the mind |Application of mindfulness which, with regard to the mind, observes the mind 
དྲན-པ-ཉེ-བར-བཞག-པ	 Applications of mindfulness| Applications of mindfulness |Applications of mindfulness 
དྲན-པ-ཉེ-བར-གཞག-པ-བཞི	 Four applications of mindfulness | Four close applications of mindfulness| Four close applications of mindfulness | Four foundations of mindfulness |Four applications of mindfulness 
དྲན-པ-ཉེ-བར-གཞག-པ	 Applications of mindfulness| Applications of mindfulness | Four foci of mindfulness |Applications of mindfulness 
འཇུག-པའི-བྱང-ཆུབ-ཀྱི-སེམས	 Applied bodhicitta|Applied bodhicitta 
དམིགས	 Focus on| Focus on |Apprehend 
དམིགས-སུ-ཡོད-པ	 Apprehensible|Apprehended 
དམིགས-སུ-མེད-པ-ཉིད	 Non-apprehension| Non-apprehension |Non-apprehension 
དམིགས-སུ-མ-མཆིས-པ	 Non-apprehension| Non-apprehension |Non-apprehension 
མི-དམིགས-པ-ཉིད	 Non-apprehension| Non-apprehension |Non-apprehension 
འཛིན-པ	 Comprehensibility|Apprehending 
མི-དམིགས-པའི-ཚུལ-དུ	 Without apprehending anything|Without apprehending anything 
དམིགས-པའི-ཚུལ-དུ	 In an apprehending manner|In an apprehending manner 
དམིགས-པའི-ཚུལ-གྱིས	 In an apprehending manner|In an apprehending manner 
དམིགས-སུ-མ-མཆི	 Non-apprehensible| Non-apprehensible |Non-apprehensible 
དམིགས-སུ-མེད	 Non-apprehensible| Non-apprehensible |Non-apprehensible 
དམིགས-སུ-མེད-པ	 Non-apprehensible| Non-apprehensible | Unapprehended |Non-apprehensible 
མི-དམིགས-སུ-མེད	 Non-apprehensible| Non-apprehensible |Non-apprehensible 
དམིགས-པ-མེད	 Non-apprehensible| Non-apprehensible |Non-apprehensible 
དམིགས-པ	 Focus | Objective referent | Perception | Reference point|Apprehension 
མི-དམིགས-པ	 Incomprehensibility | Non-apprehension | Non-observations | Nonperception | Unperceived|Non-apprehension 
དམིགས-པ-མེད-པ	 Non-apprehension | Non-referential|Non-apprehension 
མི-དམིགས-པ-སྟོང-པ-ཉིད	 Emptiness of non-apprehension| Emptiness of non-apprehension |Emptiness of non-apprehension 
ཉེ-གནས	 Rohitavastu| Rohitavastu |Apprentice 
ཉེ-བར-གནས	 Approach | Approximate | Established in (become)| Established in (become) |Approach 
ཡོངས-སུ-འཛིན	Appropriate
ལེན-པ	 Appropriation | Grasping|Appropriation 
ཉེ-བར-ལེན-པ	 Appropriation| Appropriation |Appropriation 
ཀུན-ཏུ-སྤྱོད-པའི-ཆོས	 Appropriate conduct| Appropriate conduct |Appropriate conduct 
ཚུལ-བཞིན-ཡིད-ལ-བྱེད-པ	 Appropriate mindfulness| Appropriate mindfulness |Appropriate mindfulness 
ལེན-པའི-རྒྱུ	 Appropriating cause|Appropriating cause 
གཟུང-བ-མ-མཆིས-པ	 Non-appropriation|Non-appropriation 
ཡོངས-སུ-བཟུང-བ-མ-མཆིས-པའི-ཏིང-ངེ-འཛིན-གྱི-དཀྱིལ-འཁོར	 Maṇḍala of the meditative stability of non-appropriation| Maṇḍala of the meditative stability of non-appropriation |Maṇḍala of the meditative stability of non-appropriation 
ཚད-མེད-འོད	 A­pramāṇābha | Limitless Light| Limitless Light |Limitless Light 
འཚད-མེད-འོད	 Apramāṇābha|Apramāṇābha 
ཚད-མེད-དགེ	 A­pramāṇa­śubha | Heaven of Limitless Virtue| Heaven of Limitless Virtue |Heaven of Limitless Virtue 
དགེ-ཆུང	 Apramāṇaśubha | Heaven of Limited Virtue | Parītta­śubha| Parītta­śubha |Apramāṇaśubha 
དཔག-ཏུ-མེད-པའི-གསེར-མདོག-སྣང-བའི-དཔལ	 Aprameya­suvarṇotta­prabhāsa­śrī|Aprameya­suvarṇotta­prabhāsa­śrī 
མིག-ཐོགས-པ-མེད-པ	 Apratihata­netra|Apratihata­netra 
ལྷ-མོ	 Apsara | Apsaras | Devī| Devī |Apsara 
ཙ-ཤ	 Apsaras|Apsaras 
ལྷའི-བུ-མོ	 Apsaras | Celestial maiden | Goddess|Celestial maiden 
རྩིབས-ཀྱིས-འཕུར-ཚངས-བྱིན	 Arāḍa Brahmadatta| Arāḍa Brahmadatta |Arāḍa Brahmadatta 
སྒྱུ-རྩལ-ཤེས-ཀྱི-བུ-རིང-འཕུར	 Ārāḍa Kālāma|Ārāḍa Kālāma 
རམ-བྷཱ	 Ārambhā|Ārambhā 
ཨ-ར-པ-ཙ-ན	 Arapacana alphabet| Arapacana alphabet |Arapacana alphabet 
དགའ-ཅན	 Arati|Arati 
འོད-འཕྲོ	 Arci | Brilliance|Arci 
སྤོས-མཆོག	 Arciketu | Gandhottama| Gandhottama |Arciketu 
འོད-འཕྲོ-ཅན	 Arcimat|Arcimat 
སྐྱིལ-ཀྲུང-ཕྱེ-པ	 Ardhaparyaṅka|Ardhaparyaṅka 
ལག	 Ardra|Ardra 
དགྲ-བཅོམ-པ	 Arhat | Worthy one|Worthy one 
རྟེན-ཅིང-འབྲེལ-བར-འབྱུང-བ	 Dependent arising | Dependent origination | Relativity| Relativity |Dependent arising 
དྲི-མེད-པར-འབྱུང-བ	 Stainless Arising| Stainless Arising |Stainless Arising 
སྒྲོལ-མ-འབྱུང-བ	 The Arising of Tārā| The Arising of Tārā |The Arising of Tārā 
སྨོན-ལམ-ཐམས-ཅད-ལས-འབྱུང-བའི-རིན-པོ-ཆེའི-གཟི-བརྗིད-ཤིན-ཏུ-འཕགས-པའི-རྒྱལ-པོ	 King who is Extremely Exalted by the Precious Majesty Arising from All Aspirations| King who is Extremely Exalted by the Precious Majesty Arising from All Aspirations |King who is Extremely Exalted by the Precious Majesty Arising from All Aspirations 
སྲིད-སྒྲུབ	 Arjuna|Arjuna 
ཨརྫུ-ན	 Arjuna tree| Arjuna tree |Arjuna tree 
གོ-ཆའི-སྒྲུབ-པ	 Armor-like attainment|Armor-like attainment 
ཕྱག-དང-ཞབས-ཡོངས-སུ-རྒྱས-པ	Arms and legs are compact
ཕྱག-དང-ཞབས-ཇི-ལྟར-དགོངས-པ-བཞིན-དང-ལྡན-པ	Arms and legs, as intended
བཞེངས-བཞིན-དུ-མ-བཏུད-པར-ཕྱག-པུས-མོར-སླེབ-པ	Arms that reach down to his knees when standing, without bending down
དཔུང-གི-ཚོགས	Army
དམག-རྣམ-པ-གཞི-དང-ལྡན-པ	 Four-division army|Four-division army 
ཕོག-ཕོར	Aromatic jar
རྩིབ-ལོགས-ཚ-བ	Arthritis
སྐྱ-རེངས	 Aruṇa| Aruṇa | Āruṇā |Āruṇā 
ཨ-རུ-ཎ	 Arundhatī|Arundhatī 
འཕགས-མ	 Āryā|Āryā 
འཕགས-པ	 Noble | Noble one | Sublime| Sublime | Ārya |Noble 
འཕགས-པ-ལྷ	 Āryadeva|Āryadeva 
འཕགས-པ-ཐོགས-མེད	 Āryāsaṅga| Āryāsaṅga |Āryāsaṅga 
ཐོགས-མེད	 Asaṅga | A­saṅga| A­saṅga | Āryāsaṅga |Āryāsaṅga 
ཉེར-གནས	 Āśā|Āśā 
དབྱར-ཟླ-འབྲིང-པོ	 Āṣāḍha|Āṣāḍha 
ཆུ-སྨད	 Āṣādhas|Āṣādhas 
ཤིང-ཀུན	 Asafetida|Asafetida 
གྲངས-མེད-པ	 Asaṃkhyeya| Asaṃkhyeya |Asaṃkhyeya 
བརྩོན-འགྲུས-གྲངས-མེད-པ-ལ-རབ-ཏུ-ཞུགས-པའི-དཔལ	 Asaṃkhyeya­vīrya­susaṃprasthita­śrī|Asaṃkhyeya­vīrya­susaṃprasthita­śrī 
མིང-ངེས-པར-འཇུག-པ	Ascertainment of Names
དགེ-སྦྱོང	 Virtuous ascetic| Virtuous ascetic |Ascetic 
ཕྱི-བཞིན-འབྲང-བའི-དགེ-སྦྱོང	 Ascetic attendant|Ascetic attendant 
སྦྱངས-པའི-ཡོན-ཏན	 Ascetic practices | Disciplines of mendicancy|Ascetic practices 
བརྟུལ-ཞུགས-མཆོག-འཛིན	 Ascetic supremacy| Ascetic supremacy |Ascetic supremacy 
ལྔ-སྡེ-བཟང-པོ	 Five ascetic companions|Five ascetic companions 
སྦྱངས-པའི-ཡོན-ཏན-བཅུ-གཉིས	 Twelve ascetic practices | Twelve ascetic virtues| Twelve ascetic virtues |Twelve ascetic practices 
ཚུལ-ཁྲིམས-དང-བརྟུལ-ཞུགས-མཆོག-ཏུ-འཛིན-པ	 Sense of moral and ascetic supremacy| Sense of moral and ascetic supremacy |Sense of moral and ascetic supremacy 
རལ-གྲི-བུ	 Asiputra|Asiputra 
ནག-པོ	 Asita | Kāla | Kālika | Kṛṣṇa | Kṛṣṇabandhu | Mount Kāla| Mount Kāla |Asita 
ནབ-སོ	 Aśleṣā | Punarvasu| Punarvasu |Aśleṣā 
སྐག	 Āśleṣa|Āśleṣa 
མྱ-ངན-མེད-པ	 Aśoka | Aśokaśrī| Aśokaśrī |Aśoka 
མྱ-ངན-འཚང	 Aśoka| Aśoka |Aśoka 
མྱ-ངན	 Aśoka| Aśoka |Aśoka 
མྱ-ངན-མེད-ཤིང	 Aśoka tree| Aśoka tree |Aśoka tree 
མྱ-ངན-མེད-པའི-མེ-ཏོག	 Flower of the aśoka tree| Flower of the aśoka tree |Flower of the aśoka tree 
མྱ-ངན-མེད-པས-བྱིན	 Aśokadatta|Aśokadatta 
རྣམ-པར-ཐར-པ	 Aspect of liberation | Liberation| Liberation |Aspect of liberation 
བྱང-ཆུབ-ཀྱི-ཕྱོགས	 Aspects of enlightenment | Factors for enlightenment| Factors for enlightenment |Aspects of enlightenment 
བྱང-ཆུབ-ཀྱི-ཡན-ལག	 Aspects of enlightenment | Branches of awakening | Branches of enlightenment | Factors of enlightenment | Limbs of awakening | Limbs of enlightenment| Limbs of enlightenment |Aspects of enlightenment 
བྱང-ཆུབ-ཀྱི-ཕྱོགས-ཀྱི-ཆོས-སུམ-ཅུ-རྩ-བདུན	 Thirty-seven aspects of enlightenment| Thirty-seven aspects of enlightenment |Thirty-seven aspects of enlightenment 
སྨོན-ལམ	Aspiration
སྨོན-པ-ཡོད-པ	 Having aspiration| Having aspiration |Having aspiration 
ཚད-མེད	 Immeasurable aspiration|Immeasurable aspiration 
ལྷག-པའི-བསམ-པ	 High resolve| High resolve | Higher aspiration |Higher aspiration 
བྱང-ཆུབ-ཀྱི-སེམས	 Aspiration to enlightenment | Bodhicitta | Mind of enlightenment | Semen | Spirit of enlightenment| Spirit of enlightenment |Aspiration to enlightenment 
སྨོན-པའི-བྱང-ཆུབ-ཀྱི-སེམས	 Bodhicitta of aspiration| Bodhicitta of aspiration |Bodhicitta of aspiration 
རྣམ-པར-ཐར-པའི-སྒོ-སྨོན-པ-མེད-པ	 Aspirationlessness as a gateway to liberation| Aspirationlessness as a gateway to liberation |Aspirationlessness as a gateway to liberation 
གཡོག-འཁོར	 Retinue|Assembly 
འཁོར-བཞི	 Four assemblies | Fourfold assembly|Fourfold assembly 
འཁོར-བཞི-པོ	 Fourfold assembly|Fourfold assembly 
གསུང-ནི-འཁོར-དང-འཐུན-པར-ཁྱབ-པར-མཛད-ཀྱི-འཁོར-གྱི-ཕྱི-རོལ-དུ-གསུང-མི-འགྲོ	 Speech is pervasive, in conformity with their assembly, but it does not extend outside their assembly| Speech is pervasive, in conformity with their assembly, but it does not extend outside their assembly |Speech is pervasive, in conformity with their assembly, but it does not extend outside their assembly 
