འམ	[C]vā; [C]athavā-api
འདུ-འཛི-ལ-དགའ-བའི-གཏམ	[C]saṃgaṇikā-ārāma
འདུ-འཛི-མེད-པ	[C]avyavakīrṇa
འདུ-འཛི-སྤངས-པ	[C]saṃgaṇikā-parivarjana
འདུ-འཛིའི-གནས	[C]saṃgaṇikā-sthānam (=jana-ākirṇa-gamana-ādi)
འདུ-འཛིར-གྱུར-པ	[C]saṃgaṇika-āvaha
འདུ-བ	[C]saṃgrahatā; [C]yujyate
འདུ-བ-མེད	[C]asaṃyoga; [C]na yujyate
འདུ-བར-འགྱུར-བ	[C]samavasarati
འདུ-བྱེད	 saṃskāra|[LCh,L,C,MSA,MV]saṃskāra; [C]saṃskāra-gata (=saṃskāra) 
འདུ-བྱེད-བཏང-སྙོམས	upekṣā
འདུ-བྱེད-ཀྱི-ལས	saṃskārakarma
འདུ-བྱེད-ཀྱི-མཚན-མ	[C]saṃskāra-nimitta; [L] saṃskāranimitta
འདུ-བྱེད-ཀྱི-སྡུག-བསྔལ	saṃskāraduhkhatā
འདུ-བྱེད-མེད-པ	[MSA]asaṃskṛta
འདུ-བྱེད-པ	[LCh]abhisaṃskāra
འདུ-བྱེད-རྣམས-འཇུག-པ-མི-རུང-བའི-ཕྱིར	[MSA]saṃskārāṇāṃ pravṛtter ayogāt
འདུ-བྱེད-རྣམས-ལ-སྐྱེ-བ-དང-འཇིག-པ	[MSA]saṃskārāṇāṃ udaya-vyaya(u)
འདུ-བྱེད-རྣམས-མི-རྟག-པ-ཉིད	[MSA]anityatvam ... saṃskārāṇāṃ
འདུ-བྱེད-སྣ-ཚོགས-རྣམ-པ-དུ-མ	[C](aneka-vidhāni) saṃskāra-viprakārā
འདུ-བྱེད-ཐམས-ཅད-ནི-མི-རྟག-པའོ	[MSA]sarva-saṃskārā anityāḥ
འདུ-བྱེད-ཐམས-ཅད-ནི-སྡུག-བསྔལ-བའོ	[MSA]sarva-saṃskārā duḥkhāḥ
འདུ-མ-བྱེད	[L]asaṃskṛta
འདུ-མཛད	[MSA]saṃskāra
འདུ-མི-བྱེད	[C,MV]asaṃskāra; [MSA]anabhisaṃskāra; [MSA]asaṃskṛta
འདུ-མི-བྱེད-པ	asaṃskāra; [MSA]anabhisaṃskāra; [MSA]asaṃskṛta
འདུ-ཤེས	[LCh,C,MSA,MV]saṃjñā; [C]saṃjñata; [L]saṃjānati; [MV]saṃjñita
འདུ-ཤེས-མེ-པ	asaṃjñā
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན	naivasaṃjñānāsaṃjñā
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན-སྐྱེ-མཆེད	[C]naiva-saṃjñānāsaṃjñāyatana
འདུ-ཤེས-མེད-པ	asaṃjnā
འདུ-ཤེས-མེད-པ-ཡིན	[C]asaṃjñatā
འདུ-ཤེས-མེད-པའི-སེམས-ཅན	asaṃjñisattva
འདུ-ཤེས-མེད-པའི-སྙོམས-འཇུག	[LCh]asaṃjñi-samāpatti
འདུ-ཤེས-ཕུང-པོ	[A4C] samjñāskandha
འདུ-ཤེས-ཐམས-ཅད-དང-མཐུན-པ-ཐུན-མོང-ངོ	[C]sarva-sattva-sārā
འདུད	[C]nāmas
འདུད-པ	[MSA]nata
འདུག	[C]niṣanna; [MSA]niṣadana; [C]adhitiṣṭhati
འདུག-བྱེད-ཅིང	[C]sthihitva (=sthitvā)
འདུག-ཅིང	[C]sthitvā
འདུག-པ	[C]niṣīdatim; [C]niṣadya; [C]viharati; [MSA]sthita
འདུག-པར	[C]niṣadya
འདུལ	[MSA]naya
འདུལ-བ	[C,MSA]vinaya; (vi √nī): [MSA]vinayati; [MSA]vinayana; [MSA]vineya; [C]damana; [C]dharṣayati
འདུལ-བ-ལས-བྱུང-བ-དབེན-པའི-རང-བཞིན	[C]vainayika-vivikta-svabhāva
འདུལ-བ-མེད-པ	[C]avinaya
འདུལ-བ-ཉིད-པ	[C]vinayanatā
འདུལ-བའི-དབང	[MSA]vineya-vaśa
འདུལ-བའི-དོན-དུ	[MSA]vineyārthaṃ
འདུལ-བའི-མདོ	vinayasūtra
འདུལ-བའི-སྐྱེ-བོ	vineya-jana
འདུལ-བའི-ཐབས-ཀྱི-ཁམས	[MSA]vinayopāya-dhātu
འདུལ-བར-བྱེད	[MSA](√dam): damayati; [MSA](vi √nī): vinayanti
འདུལ-བྱ	vineya
འདུན	[C]chanda; chandika (=abhilāṣa-sampannaḥ)
འདུན-བྱེད	[MSA](samā √vṛj): samāvarjayate
འདུན-དང-བཅས-པ	[MSA]chanda-sahita
འདུན-ལ-བརྟེན-པ	[MSA]chanda-pratiṣṭhita
འདུན-པ	[LCh,MSA,MV,C]chanda; [C]chandas (=kartu-kāmatā)
འདུན-པ-དང-ལྡན-པ	[C]chandika (=abhilāṣa-sampannaḥ)
འདུན-པ-དང-མཚུངས-པར-ལྡན-པ	[MSA]chanda-saṃprayukta
འདུན-པ-དང-རྩོན-འགྲུས-དང-སེམས-དང-དཔྱོད-པའི-ཏིང-ངེ-འཛིན	[MSA]chanda-vīrya-citta-mīmāṃsā-samādhi
འདུན-པ-ཉམས-པ	[MSA]chanda-parihāṇi
འདུན-པ-ཟློག-པར-བྱེད-དེ	[C]vicchandayati (=kartu-kāmatā-apanayanād)
འདུན-པའི-རྩ-བ-ལས-བྱུང-བ	[C]canda-mūlaka
འདུན-པར-བྱས-པ	[MSA]āvarjita
འདུན-པར-བྱེད-པ	[MSA]āvarjaka; [MSA]āvarjana
འདུས	[MV]antarbhū-; antarbhūta
འདུས-བྱ	[C]saṃskṛta
འདུས-བྱས	[C,MV,MSA]saṃskṛta; [MSA]saṃskāra
འདུས-བྱས-དང-འདུས-མ-བྱས-ཉིད	[MSA]saṃskṛtāsaṃskṛtatva
འདུས-བྱས-ཀྱི-ཆོས	saṃskṛtadharma
འདུས-བྱས-ཀྱི-མཚན-ཉིད	[MSA]saṃskṛta-lakṣaṇa
འདུས-བྱས-མི-རྟག-པ-ཉིད	[MSA]saṃskṛtasyānityatā
འདུས-བྱས-ཐམས-ཅད-མི-རྟག-པ	sarvaṃ saṃskṛtam anityam
འདུས-བྱས-ཐམས-ཅད-ནི-རྒྱུ-ལས-སྐྱེ-ཞིང-ཡོད-དོ	[MSA]hetuto hi sarvaṃ saṃskṛtam utpadyate bhavati (ut √pad)
འདུས-བྱས-ཐམས-ཅད-སྐད-ཅིག-མ	[MSA]kṣaṇikaṃ sarvaṃ saṃskṛtaṃ
འདུས-བྱས-ཙམ	[MSA]saṃskāra-mātra
འདུས-གྱུར-པ	[MSA]saṃparka-gata
འདུས-མ-བྱས	[LCh,MSA,MV,C,L]asaṃskṛta; [C]anabhisaṃskṛta
འདུས-མ-བྱས-ཀྱི-ཆོས	asaṃskṛta-dharma
འདུས-མ-བྱས-ཀྱི-ནམ-མཁའ	asaṃskṛtākaśa; asaṃskṛta-akaśa
འདུས-མ-བྱས-ཀྱིས	[C]prabhāvita
འདུས-མ-བྱས-ཀྱིས-རབ-ཏུ-ཕྱེ-བ	[C]asaṃskṛta-prabhāvita
འདུས-མ-བྱས-པ	[C]asaṃskṛta; [C]anabhisaṃskṛta; [MSA]anabhisaṃskṛtatva
འདུས-མ-བྱིས-པ	[C]asaṃskṛtatā
འདུས-པ	[N]saṅghāta; [C]saṃnipatita; [C]saṃnipāta; [C]sānnipātika; [C]akṣara-saṃnipāta; [C]ekakṣaṇa-saṃnipāta; [C]antar-gata; [MV]antar-bhāva; [C]samasta; saṃghāta [GD:126]; saṃhata; saṃghata
འདུས-པ-ལས-བྱུང-བའི-ངོ-བོ-ཉིད	[C]sāmyogika-svabhāva
འདུས-པ-ལས-གྱུར-པ	[C]sannipātikāni
འདུས-པར	[C]antar-gata; [C]saṃgṛhīta
འདུས-པར-འགྱུར	[C]saṃgrhīta
འདུས-ཤེས-དང-ཚོར-བ-འགོག-པ	saṃjñāveditanirodha
འཛམ-བུ-གླིང	 jambu-dvīpa|[LCh]jambu-dvīpa 
འཛམ-བུའི-གླིང	[C]jambu-dvīpa; [C]jāmbudvīpa
འཛམ-གླིང	 jambu-dvīpa| jambu-dvīpa |jambudvīpa 
༅འཛམ-གླིང།-འཛམ-བུ-གླིང	jambu-dvīpa
འཛངས-པ	[C,L]`vijña
འཛེག-པ-ཡིན-པ	[C]adhirohin
འཛིགས	saṃluḍita
འཛིན	[C]grahīṣyati; [C]gṛhṇāti; [MV]grahaṇa; [MV]grāha; [MV]grāhaka; [C]parigṛhṇāti; [C]upādatta; [MSA]nigūḍha
འཛིན-འཚལ	[C]parighetu-kāma
འཛིན-ཅིང-བཞག-ན	[C]dhārayati
འཛིན-དུ-འཇུག-པ	[MSA]grāhaṇa (sic); [C]grāhayati
འཛིན-མེད	[C]anāgrahu; [C]anupādatta
འཛིན-པ	(√grah): [L,MV]gṛhyate; [C,MSA,MV]grāha; [C]graha; [C]grāhaka; [MSA]grāhika; [MV]grāhakatva; [MSA,C]udgrahaṇa; [MSA,MV,C]grahaṇa; [C]grahaṇatā; [C]gṛhṇāti; [C]udgṛhṇāti; [C]parigṛhṇāti (=mamatvena svīkuryāt); [MSA]parigraha; [C,MSA,MV]udgraha; [C,MV,MSA]d
འཛིན-པ-འཁྲུལ-པ	[MSA]grāha-bhrānti
འཛིན-པ-གཉིས-དང-བྲལ-བ	[MSA]dvaya-grāha-visaṃyukta
འཛིན-པ-གཞན-དུ-གྱུར-པ	[MSA]udgraha-parāvṛtti
འཛིན-པ-མེད	[MSA]niravagraha
འཛིན-པ-མེད-པ	[C]agrahaṇatā; [C]anavagraha
འཛིན-པ-ཙམ	[MSA]grahaṇa-mātra
འཛིན-པའི-འཁྲུལ-པ	[MSA]grāha-bhrānti
འཛིན-པའི-དམིགས-པ	[MV]dhāraṇālambana
འཛིན-པའི-དོན	[MSA]grāhakārtha
འཛིན-པའི-མཚན-ཉིད	[MSA]grāhaka-lakṣaṇa
འཛིན-པའི-རྫས	[MSA]grāhaka-dravya
འཛིན-པའི-རྣམ-པར-གཡེང-བ	[MSA]grāhaka-vikṣepa
འཛིན-པའི-རྣམ-པར-ཤེས-པ	[MV]grāhakaṃ vijñānaṃ
འཛིན-པར-འགྱུར-བ	[C]upādānīya; [C]dhārayati; [C]grāhayati
འཛིན-པར-བྱེད-པ	[C,MSA]grāhaka; [MSA](√dhṛ); [MSA]pāraṇa
འཛིན-པར-ནུས-པ	[MSA]dhāraṇa-sāmarthya
འཛིན-རྣམ	grāhaka-ākāra; grāhakākāra
འཛིན-སྟངས	[N]muṣṭi-bandha; muṣtibandha
འཛིན-སྟངས-ཀྱི-ཡུལ	muṣṭi-bandha-viṣaya
འཛུད	[MV]avatāra; [MV](ava √tṝ): avatārayati
འཛུད-པ	[MSA,MV]avatāraṇa; [MSA]āvarjana; [C]niveśayati
འཛུད-པར-བྱེད	[MSA](ā √vṛj): āvarjayanti
འཛུམ	smita
འཛུམ-དམུལ-སྣུལ	[C]prahasitavadano bhūtvā
འཛུམ-པ-མཛད-དོ	[C]smitaṃ prāduṣkaroti (=smitam āviṣkurvanti)
འཛུམ-པར-བྱེད	[MSA]kṛta-smita-mukha
འགའ-ཞིག	[LCh]kaścid
འགག	[L](ni√rudh): nirodha; [L]niruddha
འགག-མེད	[LCh]aniruddha
འགག-པ	[LCh,MV](ni√rudh); [LCh,L,MSA]nirodha; [L]niruddha; [C,MV]nirudhyate
འགག-པ-མེད	[L]anirodha
འགག-པ-མེད་	[L]anirodha
འགགས	[C]niruddhiya; [L]niruddha; [L]nirodha
འགགས-པ	[L,MSA]niruddha; [L]nirodha
འགལ	[MSA]viruddha; virodha; virodhitva; vilomayati (vi-loman)
འགལ-བ	[LCh,C,MSA]virodha; [L,MSA]viruddha; [C]rodha; a[MSA]virodhitv; [MSA]vilomayati (vi-loman)
འགལ-བ-མེད	[MSA]aviruddha
འགལ-བའི-གཏན-ཚིགས	viruddha-hetu;[GD:276] viruadhahetu GD looks mistaken; check his source
འགལ-བའི-ཚིག	[Toh.1785] viruddhālāpa
འགལ-བར-བྱེད	 [C]virodhayati|[C]prativahati; [C] virodhayati 
འགལ-བར-བྱེད-པ-བྱ-བ	[C]virodhayati
༅འགལ-བར-བྱེད།-འགལ-བར-མི-བྱེད	[C]virodhayati
འགལ-ཟླ	[LCh]pratidvandin
འགོ	[MSA]avabodha
འགོ-བ	[MSA]avasaṃbodha; [MSA]gamika
འགོ-བའི-ནད	[C]upasarga
འགོད	[C]vyaya (= nirodho); [C]sthāpana; [MSA](ni√viś): niveśayati; [MSA]niveśyate
འགོད-པ	[C]niyojana; [C]prasthāpayati; [MSA]pratiṣṭhāpana; [MSA]ropaṇa; [MSA]saṃniveśana
འགོད-པར-བྱེད	[C]prasthāpayati
འགོག	[LCh](ni√rudh); [MV]nirodha
འགོག-བདེན	nirodha-satya
འགོག-པ	[L,MSA,MV]nirodha; [C]nirodhi; [C]nirodhika; [C]niṣedha; lam 'gog pa = [MSA]paripantha
འགོག-པ-དང-ལམ-གྱི-བདེན-པ	[MSA]nirodha-mārga-satya
འགོག-པ-མེད-པ	[C]aniruddha
འགོག-པའི-བདེན-པ	[MV]nirodha-satya
འགོག-པའི-སྙོམས-འཇུག	nirodha-samāpatti
འགོག-པར-བྱེད	[C]pratikṣipati
འགོག-སྙོམས	nirodhasamāpatti
འགྲམ	[C]tira
འགྲམ-པ	[C]hanu
འགྲས-པ	[C]aparāddhaḥ
འགྲེལ-བཤད	ṭīkā
འགྲེལ-ཆེན-དྲི-མེད-འོད	mahābhāṣya vimalaprabhā
འགྲེལ-པ	[LCh]vṛtti; [L]nirmocana; [MV]bhāṣya
འགྲིབ	[C]parihīyate; [C]hāni
འགྲིབ-མེད	[C]ahāni
འགྲིབ-པ	[L]apacaya; [C]parihāṇi; hīyate; [MV,MSA]hāni; [MSA]hrāsa
འགྲིབ-པ-མེད	[C]ahāna; [MV]ahīna(tā)
འགྲིབ-པ-མེད-པ	[MV]ahīna(tā)
འགྲིབ-པར-བགྱིད-པ	[C]hārika
འགྲིབ-པར-མ-བྱས-པ	[L]aparihāṇi
འགྲོ	[LCh]gam;  yā; [L,MV]gati; [C,MV]gamana; [MV]ga; jagat; [C]gamiṣyanti; calate; upayāti; saṃkramaṇatā; saṃkrāmati; anbhikramaṇa; avakrānti; carati; caran; (√vraj): [MSA]yātrā; vrajati; vrajate; dehin
འགྲོ-བ	[L,MV,MSA,C]gati; gantṛ; [L,MV,MSA,C]gamana; [C]gacchati; [MSA]upaga; [MSA]ga (e.g.: pāra-ga); [MSA]gāmitā; [MSA]gāmin; [C,MSA,MV]jagat; [C]jagatī; [C]saṃkrāmati; [C]prakrāmati; [C]abhikramaṇa; [C]avakrānti; [C]vrajate; [MSA]yāti; [MSA]yāna
འགྲོ-བ-དྲུག	ṣaḍ-gati
འགྲོ-བ-ཀུན	[MSA]sarva-jagat
འགྲོ-བ-ལྔར-འཁོར-བ	[C]pañca-gatika
འགྲོ-བ-མ-མཆིས-པ	[L]agamana
འགྲོ-བ-མེད-དོ	[C]visarati
འགྲོ-བ-པོ	[MSA]yātṛ
འགྲོ-བའི-དགེ-བའི-ལོ-ཏོག	[MSA]jagat-kuśala-sasya
འགྲོ-བའི-དོན	 [C]jagārtha|[C]jagārtha 
འགྲོ-བའི-དོན-དུ	[C]janārtha
འགྲོ-བར	[C]gamana
འགྲོ-བར-འདུ-ཤེས-པས	[C]gamana-saṃjñin
འགྲོ-བར-འགྱུར	[C]pariyāti; [C]vrajate; [C]samāgamati (=prādurbhavanti); [C]gacchati; [C]kṣipati; [C]prasthita; [C]prakrāmati; [C]saṃkrāmati
འགྲོ-བར-བགྱིད-པ	[C]nirgamika
འགྲོ-བར-བྱ-བའི-ཕྱིར	[L,C]apakramaṇā
འགྲོ-བར-བྱེད-པ	[C]anubandhayati
འགྲོ-དོན	 [C]jagārtha|[C]jagad-arthya; [C]jagārtha 
འགྲོ-དོན-རབ-ཏུ-འདོད-པ	[C]jagad-artha-kāmo
འགྲོ-ལ-སྙིང-བརྩེར-ལྡན-པའི-ཕྱིར	[C]jagānukampi
འགྲོ-ལྡིང-པ	[Pagel; "Dharani" 2007; p.163] dramidha
འགྲོ-མེད	[C]anirgamam; [C]agati
འགྲོ-ན	[C]prakrāmati
འགྲོ-ཉིད	[C]gāmitva
འགྲོ-ཕན	jagad-dhīta
འགྲོ-ཞིང	[C]anuvartate
འགྲོགས-པ-མ-ཡིན	[C]asamavahita
འགྲོང	[C]sthita (=vyavasthita)
འགྲུབ	[MV]prasidh-; [MSA](√sidh): sidhyati; yang dag par 'grub = samudāgata
འགྲུབ-བྱེད	[L]sādhaka; [MSA]siddhi (e.g.: artha-siddhi)
འགྲུབ-པ	[L]niṣpādana; [C,MV,MSA]niṣpatti [C](=pariniṣpatti = pariniṣpadyate); [MSA]pariniṣpatti (e.g.: dharma-kāya-pariniṣpatti); samṛddhi; saṃpatti; saṃpādana; [MSA,MV]siddhi; yang dag par 'grub pa - [MSA]samudāgama
འགྲུབ-པ-དམ-པ	[MV]niṣpatti-paramatā
འགྲུབ-པར-འགྱུར-བ	[C]niṣpatti (=pariniṣpatti = pariniṣpadyate)
འགྲུབ-པར-བྱ-བ	[MSA]samudāgama
འགྲུབ-པར-བྱེད	[L]sādhaka
འགྲུབ-པས-ཐོབ-པ	[MSA]niṣpatti-lābha
འགུལ-བ	[C]calayati
འགྱེད-པ	[C]vivāda
འགྱེད-པར	[L]saṃcodayanti
འགྱེད-པར-བྱེད	[C]vigṛhṇīte
འགྱེལ-བ	[C]patana
འགྱོད	[LCh;L;MSA]kaukṛtya; [C]vipratisārin; [MSA]vipratisāra
འགྱོད-པ	[LCh,L,MSA]kaukṛtya; [C]vipratisārin; [MSA]vipratisāra
འགྱོད-པ-མེད-པ	[MSA]akaukṛtya; [MSA]avipratisāra
འགྱོད-པ-མེད-པ-ལ-སོགས-པའི-རིམ	[MSA]avipratisārādi-krama
འགྱོད-པ-མེད-པར-འཆི-བའི-དུས-བྱེད-པ	[MSA]avipratisārī kālaṃ karoti
འགྱོད-པའི-སྒྲིབ-པ	[MSA]kaukṛtyāvaraṇa
འགྱོད-པར-བྱེད	[MSA]kaukṛtyāyate
འགྱོགས-པ	jāva
འགྱུར	[LCh]as; [MV]syāt; [LCh]bhū; [MV V.daśa-vaj]bhavati; [L]pariṇāma; [MSA](ni√gam): nigacchati; [MSA]yāti vikṛtiṃ;  [MV,MSA]vikāra; [MSA]vrajati; [C,MV]prāpnoti; [C]arcchati; [C]āhu; [C]upaiti; [L]abhyupaiti; [L]āpadyate; [C]gata; [C]saṃvartate; [C]bheṣyanti
འགྱུར-བ	[L]pariṇāma; [L]abhyupaiti; [C,MSA,MV]vikāra; [MSA]vikāritā; [C]sambhava; [MSA]cañcalā; [MSA]vrajati (e.g.: buddhatvam āśu vrajati); rgyags par mi 'gyur ba = [MSA]madānanugamana; mir 'gyur ba = [MSA]manuṣa-bhūta; vikriyā
འགྱུར-བ-འོས-པ-མ-ཡིན	[MSA]na bhavitum arhati (√bhū)
འགྱུར-བ-མ-མཆིས-པ	[L]avaivartika; [L]akāraka; [L]avikāra; [L]anabhisaṃskṛta
འགྱུར-བ-མེད-པ	[C]avaivartika; [L]akāraka; [C]avikāra; [L]anabhisaṃskṛta
འགྱུར-བ-མེད-པར-མཉམ-པ	[C]nirvikāra-sama
འགྱུར-བ-མི-སླུ-བ-མོད-ཀྱི	[C] visaṃvādayati
འགྱུར-བའི-བྱེ-བྲག	pariṇāma-viśeṣa
འགྱུར-བའི-ཆོས-ཅན	[C]vipariṇāma-dharmin
འགྱུར-བའི-སྡུག-བསྔལ	vipariṇāmaduḥkatā
འགྱུར-པའི-སྡུག-བསྔལ	vipariṇāma-duḥkhatā
འགྱུར-ཏེ	[C]saṃvartayati
འགྱུར-ཞིང	[C]upaiti
འཇའ	[C]indrāyudha
འཇའ-ཚོན	indrāyudha; indrāyudharaṅga
འཇལ	[C]tulana; [C] -māna
འཇལ-བ	[C,MSA]tulanā; [C]tulayati
འཇལ-བར-འགྱུར	[C]tulayati
འཇལ-པ	[L]mā
འཇམ	[C]mṛdu; [C]mṛdutva; [C]mañju
འཇམ-དབྱངས	mañjughoṣa
འཇམ-དཔལ	mañjuśrī
འཇམ-མགོན	mañjunātha
འཇམ-པ	[C]mṛdu; [MSA]mṛdukā; [MSA]madhura; [C]ślakṣṇa(tva); ślakṣṇatva
འཇམ-པའི-དབྱངས	mañjughoṣa; mañjuśrī
འཇམ-པོར-སྨྲ	[C]mṛdu-bhāṣin
འཇིག	[MSA]nāśa; [N]vinaśa; [MSA]vinaśyati; [C]mriyate; [C]bhidyate (=bhindati)
འཇིག-བསྐལ	[LCh]saṃvarta-kalpa
༅འཇིག-ལྟ༏-འཇིག-ཚོགས-ལ-ལྟ-བ	satkāyadṛṣṭi
འཇིག-མེད	[C]alujyana; [MSA]na vyeti
འཇིག-མེད-གནས	[LCh]abhayagirika; [LCh]abhayagirivāsin
འཇིག-པ	[C,L]vināśa; [C]nāśa; [C]bhedana; [C]bhidyate (=bhindati); [MV]bhaṅga; [MSA]bhaṅgura;[C] rūpaṇa (=rūpa); [C]lujyate; [C,MSA,MV]vyaya (=[C]nirodho); [MSA]saṃvarta; [C]bhetsyati; [C]vivartanaṃ (=vivṛtān); naṣṭa
འཇིག-པ-མེད-པ	[C]avivarta; [C]asraṃsanatā
འཇིག-པའི-བདག-ཉིད-ཅན-ཡིན-པའི-ཕྱིར	[C]sattva-dṛṣṭi (=sādana-ātmakatvāt sattvaḥ)
འཇིག-པའི-བསྐལ-པ	saṃvarta-kalpa
འཇིག-པའི-ཆོས-ཅན	[C]vyaya-dharmin; [C]pralopa-dharma
འཇིག-པར-འགྱུར-བ	[C]bhidyati (=bhindati)
འཇིག-པར-འགྱུར-ཏེ	[C]vilayam; [C]upaiti; [C]nayati; [C]prāyati; [C]prāpuṇati; [C]vrajati
འཇིག-པར-བགྱིད-པ	[C]apaharaka; [C]vikāriṣya(?)
འཇིག-པར-བྱེད	[C]pratisaṃharati
འཇིག-རྟེན	[C,MSA,MV]loka; [MSA]laukika; [MSA]laukya; [L]lokadhātu; [C]jagat; [C]jagatī
འཇིག-རྟེན-འདས	[MSA]loka-samatīta
འཇིག-རྟེན-འདས-པ	[MSA]lokottara
འཇིག-རྟེན-བདེ	[MSA]loka-saukhya
འཇིག-རྟེན-ཆོས-བརྒྱད	aṣṭalokadharma
འཇིག-རྟེན-གནས-པ	[C]loka-sanniveśa; [C]loke sanniveśa
འཇིག-རྟེན-གསུམ-གྱི-བདེ-བ	[MSA]trai-dhātuka ... sukha
འཇིག-རྟེན-གྱི	[C]loke
འཇིག-རྟེན-གྱི-བདེ-བ	[MSA]laukika ... saukhya; [MSA]saukhya ... laukhya
འཇིག-རྟེན-གྱི-བྱ-བ	[MSA]lokataḥ kriyāḥ
འཇིག-རྟེན-གྱི-དོན-བྱེད-པ	[C]loka-artha-kāra
འཇིག-རྟེན-གྱི-ཁམས	[L,MSA]loka-dhātu
འཇིག-རྟེན-གྱི-ཐ-སྣད	[C]loka-vyavahāra
འཇིག-རྟེན-གྱི-ཐ-སྙད	lokavyavahāra
འཇིག-རྟེན-གྱི-ཐ-སྙད-དང-བརྡའ-ཙམ-གྱི-ཕྱིར	[C]loka-vyavahāra-saṃketam upādāya
འཇིག-རྟེན-གྱི-ཐ-སྙད-ལ-བརྟེན-ནས	[C]loka-vyavahāram upādāya
འཇིག-རྟེན-ཁམས	[MSA]loka-dhātu
འཇིག-རྟེན-ཀུན-རྫོབ	lokasaṃvṛtisatya
འཇིག-རྟེན-ལ-གྲགས-པ	[MV]loka-prasiddha
འཇིག-རྟེན-ལ-སྙིང-བརྩེ-བ	[L]lokānukaṃpa
འཇིག-རྟེན-ལས-འདས-པ	[LCh,C,MV,MSA]lokottara; [MSA]lokātikrānta
འཇིག-རྟེན-ལས-འདས-པའི-ལམ	lokottaramārga
འཇིག-རྟེན-ལས-འདས-པའི-ཡེ-ཤེས	[MSA]lokottara-jñāna; [MSA]lokottara ... jñāna
འཇིག-རྟེན-ལས-འདས-པའི-ཡེ-ཤེས-བླ-ན-མེད-པ	[MSA]lokottara ... anuttara ... jñāna
འཇིག-རྟེན-ལས-འདས-པའི-ཡེ-ཤེས-ཤིན-ཏུ-རྣམ-པར-དག-པའི-ལམ	[MSA]viśuddha-lokottara-jñāna-mārga (su-)
འཇིག-རྟེན-མགོན-པོ	[C]loka-nātha
