སངས-རྒྱས	buddhaḥ
ཆུའི-རྒྱུན-དེ-དག-གིས-སྟོང-གསུམ-གྱི-སྟོང-ཆེན-པོའི-འཇིག-རྟེན-གྱི-ཁམས-འདི-བསྲེགས-ཤིན-ཚིག-སྟེ-མེས-རབ-ཏུ-འབར-ཞིན-འབར-བ-གཅིག-ཏུ-གྱུར-བ-ཞི-བར-བྱེད-དོ	yābhir vāridhārābhir ayaṃ trisāhasramahāsāhṛsro lokadhāturādīptah pradiptah saṃprajvalito 'gninā ekajvalībhuto nirvāpyate
ཟླ-བ-དང-ཉི-མ-འདི-གཉིས-འདི-ལྟར-རྫུ-འཕྲུལ-ཆེ-བ-འདི-ལྟར-མཐུ-ཆེ-བ-འདི-ལྟར-གཟི-བརྗིད-ཆེ-བ-ཡང-ལག-པས-འཛིན-ཅིང-ཀུན-ཏུ-ཉུག-པར-བྱེད-དོ	imāvapi candrasūryau evammaharddhikau evaṃ mahānubhāvau evaṃ mahaujaskau pāṇinā parāmṛṣati parimārjayati
ཚངས-པའི-འཇིག-རྟེན-གྱི-བར-དུ-སེམས-ཅན-རྣམས-ལ-ལུས-ཀྱིས-དབང-བསྒྱུར-རོ	yāvad brahmalokād api sattvān kāyena vaśe vartayati
རྣམ-པ-དང-བཅས-ཡུལ-ཕྱོགས-དང-བཅས-གཞི-ཅི-ལས-འགྱུར-བ-དང-བཅས-པ-སྔོན-གྱི-གནས-རྗེས-སུ-དྲན-པ	sākāram soddeśaṃ sanidānaṃ pūrvanivāsam anusmarati sma
ཚེ-རབས-དྲན-པ-ཆེ-གེ-མོ-ཞིག-ན-བདག-གི-མིང-འདི-ཞེས-བྱ-བར-གྱུར-རིགས-འདི-ཞེས-བྱ-བ-རུས-ནི-འདི-ཞེས-བྱ-བ-ཟས-ནི-འདི-ལྟ-བུ-ཞིག-ཟ-བདེ-བ-དང-སྡུག-བསྔལ-ནི-འདི-ལྟ-བུ-ཞིག-མྱོང-ཡུན-ནི-འདི-སྲིད-ཅིག-གནས-ཚེ-ནི-འདི-ཙམ-ཞིག-ཐུབ-དེ-ནས-ཚེ-འཕོས-ནས-ཆེ-གེ-མོ-ཞིག-ཏུ-སྐྱེས-དེ-ནས-ཚེ-འཕོས-ནས-ཡང-འདིར-སྐྱེས	jātismaraḥ amutrāham āsam evaṃ nāmā evaṃ jātīḥ evaṃ gotraḥ evam āhāraḥ evaṃ sukhaduḥkhapratisaṃvedī evaṃ cirasthitikaḥ evaṃ āyuṣparyantaḥ tataś cyuto 'mutropapannaḥ tataś cyuta ihāpy upapannaḥ
ཆོ-འཕྲུལ-གསུམ-གྱི-མིང-ལ	trīṇi prātihāryāṇi
རྫུ-འཕྲུལ-གྱི-ཆོ-འཕྲུལ	ṛddhiprātihāryam
ཀུན-བརྗོད-པའི-ཆོ-འཕྲུལ	ādeśanāprātihāryam
རྗེས-སུ-བསྟན-པའི-ཆོ-འཕྲུལ	anuśāsanīprātihāryam
སྐྱེས-བུ-ཆེན-པོའི-མཚན-སུམ-ཅུ-རྩ-གཉིས-ཀྱི-མིང-ལ	dvātriṃśanmahāpuruṣalakṣaṇāni
དབུ-གཙུག-ཏོར-དང-ལྡན-པ	uṣṇīṣaśiraskatā
དབུ-སྐྲ-གྱས-སུ-འཁྱིལ-བ	pradakṣiṇāvartakeśaḥ
དཔྲལ-བའི-དབྱེས-མཉམ-པ	samalalāṭaḥ
མཛོད-སྤུ	urṇākeśaḥ
སྤྱན-མཐོན-མཐིང-ལ-བའི-རྫི-མ-ལྟ-བུ	abhinīlanetragopakṣmā
ཚེམས-བཞི-བཅུ-མངའ-བ	catvāriṃśaddantaḥ
ཚེམས-མཉམ-པ	samadantaḥ
ཚེམས-ཐགས-བཟང-བ	aviraladantaḥ
ཚེམས-ཤིན-ཏུ-དཀར-བ	suśukladantaḥ
རོ-བྲོ-བའི-མཆོག-དང-ལྡན-པ	rasarasāgratā
འགྲམ-པ-སེང-གེ-འདྲ-བ	siṃhahanuḥ
ལྗགས-ཤིན-ཏུ-རིང-ཞིང-སྲབ-པ	prabhūtatanujihvaḥ
ཚངས-པའི-དབྱངས	brahmasvaraḥ
དཔུང-མགོ-ཤིན-ཏུ-ཟླུམ-པ	susaṃvṛtaskandhaḥ
བདུན-མཐོ-བ	saptosadaḥ
ཐལ-གོང-རྒྱས-པ	citāntarāṃsaḥ (cirāntarāṃsaḥ)
པགས-པ-སྲབ-ཅིང-མདོག-གསེར-འདྲ-བ	sūkṣmasuvarṇacchaviḥ
བཞེངས-བཞིན-དུ-མ-བཏུད-པར-ཕྱག-པུས-མོ-སླེབས-པ	sthitānavanatapralambabāhutā
རོ-སྟོད-སེང-གེའི-འདྲ-བ	simhapūrvārdhakāyaḥ
ཤིང-ཉ-གྲོ-དྷ-ལྟར-ཆུ-ཞེང-གབ-པ	nyogrodhaparimaṇḍalaḥ
སྤུ-རེ-རེ-ནས-སྐྱེས-ཤིང-གྱས-སུ-འཁྱིལ-བ	ekaikaromapradakṣiṇāvartaḥ
སྐུའི-སྤུ-གྱེན-དུ-ཕྱོགས-པ	ūrdhvagaromaḥ
འདོམས-ཀྱི-སྦ-བ-སྦུབས-སུ-ནུབ-པ	kośopagatavastiguhyaḥ
བརླ-ལེགས-པར-ཟླུམ-པ	suvartitoruḥ
མཛེས-ཤིང-ཟླུམ-པ	suvartitoruḥ
ཞབས-ཀྱི-ལོང-མོའི-ཚིགས-མི-མངོན-པ	utsaṅgapādaḥ
ཕྱག-དང-ཞབས-ཀྱི-མཐིལ-འཇམ-ཤིང-གཞོན-ཤ-ཆགས-པ	mṛdutaruṇahastapādatalaḥ
ཕྱག-དང-ཞབས-དྲ-བས-འབྲེལ-བ	jālāvanaddhahastapādaḥ
སོར-མོ-རིང-བ	dīrghāṅguliḥ
ཕྱག-དང-ཞབས-ཀྱི-མཐིལ-འཁོར-ལོའི-མཚན-དང-ལྡན-པ	cakrāṅkitahastapādaḥ
ཞབས-ཤིན-ཏུ-གནས-པ	supratiṣṭhitapādaḥ
ཞབས-ཀྱི-མཐིལ-རྟིང-པ-ཡངས-པ	āyatapādapārṣṇiḥ
བྱིན-པ-རི-དགས-ཨེ-ནེ-ཡའི-ལྟ-བུ	aineyajaṅghaḥ
དཔེ-བྱད-བཟན-པོ-བརྒྱད-ཅུའི-མིང-ལ	aśītyanuvyañjanāni
སེན-མོ-ཟངས-ཀྱི-མདོག-ལྟ-བུ	ātāmranakhaḥ
སེན-མོ-མདོག-སྣུམ-པ	snigdhanakhaḥ
སེན-མོ-མཐོ-བ	tuṅganakhaḥ
སོར-མོ-རྣམས-ཟླུམ-པ	vṛttāṅguliḥ
སོར-མོ-བྱིན-གྱིས-ཕྲ-བ	anupūrvāṅguliḥ
སོར-མོ-རྣམས-རྒྱས	citāṅguliḥ
རྩ-མི-མངོན-པ	nigūḍhaśiraḥ
རྩ-མདུད-མེད-པ	nirgranthiśiraḥ
ལོང-བུ-མི-མངོན-པ	gūḍhagulphaḥ
ཞབས-མི-མཉམ-པ-མེད-པ	aviṣamapādaḥ
སེང-གེའི-སྟབས-སུ-གཤེགས-པ	siṃhavikrāntagāmī
གླང-པོ-ཆེའི-སྟབས-སུ-གཤེགས-པ	nāgavikrāntagāmī
ངང-པའི-སྟབས-སུ-གཤེགས-པ	haṃsavikrāntagāmī
ཁྱུ-མཆོག-གི-སྟབས-སུ-གཤེགས-པ	vṛṣabhavikrāntagāmī
གྱས-ཕྱོགས-སུ-ལྡོག-ཅིང-གཤེགས-པ	pradakṣiṇāvartagāmī
མཛེས-པར-གཤེགས-པ	cārugāmī
མི-གྱོ-བར-གཤེགས-པ	avakragāmī
སྐུ-འཁྲིལ-བག-ཆགས-པ	vṛttagātraḥ
སྐུ-བྱི-དོར-བྱས-པ-ལྟ-བུ	mṛṣṭagātraḥ
སྐུ-རིམ-པར-འཚམ-པ	anupūrvagātraḥ
སྐུ-གཙང-བ	śucigātraḥ
སྐུ-འཇམ-པ	mṛdugātraḥ
སྐུ-རྣམ-པར-དག-པ	viśuddhagātraḥ
མཚན-ཡོངས-སུ-རྫོགས-པ	paripūrṇavyañjanaḥ
སྐུ-ཁོ-ལག-ཡངས-ཤིང-བཟང-བ	pṛthucārumaṇḍalagātraḥ
གོམ-པ-སྙོམས-པ	samakramaḥ
སྐུ-ཤིན-ཏུ-གཞོན-མདོག-ཅན	sukumāragātraḥ
སྐུ-ཞུམ-པ-མེད-པ	adīnagātraḥ
སྐུ-རྒྱས-པ	unnatagātraḥ
སྐུ-ཤིན-ཏུ-གྲིམས-པ	susaṃhitagātraḥ
སྐུ-ཡན-ལག-དང-ཉིང-ལག-ཤིན-ཏུ-རྣམ-པར-འབྱེད-པ	suvibhaktāṅgapratyaṅgah
གཟིགས-པ-རབ-རིབ-མེད-ཅིང-རྣམ-པར-དག-པ	vitimiraviśuddhālokaḥ
དཀུ-ཟླུམ-པ	vṛttakukṣiḥ
དཀུ-སྐབས-ཕྱིན-པ	mṛṣṭakukṣiḥ
དཀུ-མ-རྙོངས-པ	abhugnakukṣiḥ
ཕྱལ-ཕྱང-ངེ-བ	kṣāmodaraḥ
ལྟེ-བ-ཟབ-པ	gaṃbhīranābhiḥ
ལྟེ-བ-གྱས-ཕྱོགས-སུ-འཁྱིལ-བ	pradakṣināvartanābhiḥ
ཀུན-ནས-མཛེས-པ	 samantaprāsādikaḥ|samantaprāsādikaḥ 
ཀུན-ཏུ-སྤྱོད-པ-གཙང-བ	śucisamācāraḥ (samudācāraḥ)
སྐུ-ལ-སྨེ-བ-དང-གནག-བག-མེད-པ	vyapagatatilakakālagātraḥ
ཕྱག-ཤིང-བལ-ལྟར-ཤིང-ཏུ-འཇམ-པ	tūlasadriśasukumārapāṇiḥ
ཕྱག-གི-རི-མོ-མདངས-ཡོད-པ	snigdhapāṇilekhaḥ
ཕྱག-གི-རི-མོ-ཟབ-པ	gaṃbhīrapāṇilekhaḥ
ཕྱག-གི-རི-མོ-རིང-བ	āyatapāṇilekhaḥ
ཞལ-ཧ-ཅང-ཡང-མི-རིང-བ	nātyāyatavadanaḥ
ཞལ-ལ-གཟུགས-ཀྱི-གཟུགས-བརྙན-སྣང-བ	bimbapratibimbadarśanavadanaḥ
ལྗགས-མཉེན-པ	mṛdujihvaḥ
ལྗགས-སྲབ-པ	tanujihvaḥ
ལྗགས-དམར-བ	raktajihvaḥ
གླང-པོ-ཆེའི-ང-རོ-དང-འབྲུག-གི-སྒྲ-དང-ལྡན-པ	gajagarjitajīmūtaghoṣaḥ
གསུང-སྙན-ཅིང-མཉེན-ལ-འཇམ-པ	madhuracārumañjusvaraḥ
མཆེ-བ-ཟླུམ-བ	vṛttadaṃṣṭraḥ
མཆེ-བ-རྣོ-བ	tīkṣṇadaṃṣṭraḥ
མཆེ-བ-དཀར-བ	śukladaṃṣṭraḥ
མཆེ-བ-མཉམ-པ	samadaṃṣṭraḥ
མཆེ-བ-བྱིན-གྱིས-ཕྲ-བ	anupūrvadaṃṣṭraḥ
ཤངས-མཐོ-བ	tuṅganāsaḥ
ཤངས-གཙང-བ	śucināsaḥ
སྤྱན-རྣམ-པར-དག-པ	viśuddhanetraḥ
སྤྱན-ཡངས-པ	viśālanetraḥ
རྫི-མ-སྟུག-པ	citrapakṣmāḥ
སྤྱན-དཀར-ནག-འབྱེས-ཤིང-པད-མའི-འདབ-མའི-མདངས-པ-ལྟ-བུ	sitāsitakamalaśakalanayanaḥ (sitāsitakamaladalaśakalanayanaḥ)
སྨིན-ཚུགས-རིང-བ	āyatabhrūḥ
སྨིན-མ-འཇམ-པ	ślakṣṇabhrūḥ
སྨིན-མ-སྤུ-མཉམ-བ	samaromabhrūḥ
སྨིན-མ-སྣུམ-པ	snigdhabhrūḥ
སྙན-ཤལ-སྟུག-ཅིང-རིང-བ	pīnāyatakarṇaḥ
སྙན-མཉམ-པ	samakarṇaḥ
སྙན-གྱི-དབང-པོ-མ-ཉམས-པ	anupahatakarṇendriyaḥ
དཔྲལ-བ-ལེགས-པར-དབྱེས-པ	supariṇatalalāṭaḥ
དཔྲལ-བ-དབྱེས-ཆེ-བ	pṛthulalāṭaḥ
དབུ-ཤིན-ཏུ-རྒྱས-པ	suparipūrṇauttamāṅgaḥ
དབུ-སྐྲ-བུང-བ-ལྟར-ནག-པ	bhramarasadṛśakeśaḥ
དབུ-སྐྲ-སྡུག-པ	citakeśaḥ
དབུ-སྐྲ-འཇམ-པ	ślakṣṇakeśaḥ
དབུ-སྐྲ-མ-འཛིངས-པ	asaṃlulitakeśaḥ (asaṃluḍitakeśaḥ)
དབུ-སྐྲ-མི-གཤོར-བ	aparuṣakeśaḥ
དབུ-སྐྲ-དྲི-ཞིམ-བ	surabhikeśaḥ
ཕྱག-དང-ཞབས-དཔལ-གྱི-བེའུ-དང-བཀྲ-ཤིས-དང-གྱུང-དྲུང-འཁྱིལ-བས-བརྒྱན-པ	śrīvatsasvastikanandyāvartalalitapāṇipādaḥ (śrīvatsasvastikanandyāvartalakṣitopāṇipādaḥ)
སྡོང-རིས	vardhamānaḥ
དེ-བཞིན-གཤེགས-པའི-ཆེ-བ-མདོ-སྡེ-ལས-བྱུང-བའི-མིང-ལ	sūtrāntauddhṛtāni tathāgatamāhātmyanāmāni
བློ-ཤིན-ཏུ-རྣམ-པར-དག-པ	suviśuddhabuddhiḥ
གཉིས-སུ-སྤྱོད-པ-མེད-པ	advayasamudācāraḥ
མཚན-ཉིད-མེད-པའི-ཆོས-ལ-གཞོལ-བ	alakṣaṇadharmaparāyaṇaḥ
སངས-རྒྱས-ཀྱི-གནས-པས-གནས-པ	buddhavihāreṇa viharan (buddhavihāreṇa vihāraḥ)
སངས-རྒྱས-ཐམས-ཅད-དང-མཉམ-པ-ཉིད-བརྙེས-པ	sarvabuddhasamatāprāptiḥ
སྒྲིབ-པ-མི-མངའ-བའི-རྟོགས-པར-ཁོང-དུ-ཆུད-པ	anāvaraṇagatiṃ gataḥ
ཕྱིར-མི-ལྡོག-པའི-ཆོས-དང-ལྡན-པ	apratyudāvartyadharmaḥ
སྤྱོད-ཡུལ-གྱིས-མི-འཕྲོགས-པ	asaṃhāryagocaraḥ
རྣམ-པར-གཞག-པ-བསམ-གྱིས-མི-ཁྱབ-པ	acintyavyavasthānaḥ
དུས-གསུམ-མཉམ-པ-ཉིད-ཚར-ཕྱིན-པ	tryadhvasamatāniryātaḥ
སྐུ-འཇིག-རྟེན-གྱི-ཁམས-ཐམས-ཅད-དུ-རབ-ཏུ-ཁྱབ-པ	sarvalokadhātuprasṛtakāyaḥ
ཆོས-ཐམས-ཅད-ལ-ཐེ-ཚོམ-མེད-པའི-ཡེ-ཤེས-མངའ-བ	sarvadharmaniḥsaṃśayajñānaḥ
བློ-སྤྱོད-པ-ཐམས-ཅད-དང-ལྡན-པ	sarvacaryāsamanvāgatabuddhiḥ
ཆོས-མཁྱེན-པ-ལ-ནེམ-ནུར-མེད-པ	niḥkāṃkṣadharmajñānaḥ
རྣམ-པར-མ-བརྟགས-པའི-སྐུ-མི-མངའ-བ	avikalpitaśarīraḥ
ཡེ-ཤེས-བྱང-ཆུབ-སེམས-དཔའ-ཐམས-ཅད-ཀྱིས-ཡང-དག-པར-མནོས-པ	sarvabodhisattvasampratīcchītajñanaḥ
སངས-རྒྱས-ཀྱི-གནས-པ-གཉིས-སུ-མེད-པ-དམ-པའི-ཕ-རོལ-ཏུ-སོན-པ-བརྙེས-པ	advayabuddhavihāraparamapāramiprāptaḥ
དེ-བཞིན-གཤེགས-པ-མ-འདྲེས-པའི-རྣམ-པར-ཐར-པར-མཛད-པའི-ཡེ-ཤེས-ཀྱི-མཐར-ཕྱིན-པ	asaṃbhinnatathāgatavimokṣajñānaniṣṭhāgataḥ
མཐའ-དང-དབུས-མེད-པའི-སངས-རྒྱས-ཀྱི-ས-མཉམ-པ-ཉིད-དུ-ཐུགས-སུ-ཆུད-པ	anantamadhyabuddhabhūmisamatādhigataḥ
ཆོས-ཀྱི-དབྱིངས-ཀྱིས-གཏུགས-པ	dharmadhātuparyantaḥ
ནམ-མཁའི-ཁམས-ཀྱི-མཐའ-ཀླས-པ	ākāśadhātvparyavasānaḥ
ཕྱི-མའི-མཐའི-མུར-ཐུག-པ	aparāntakoṭiniṣṭhaḥ
དེ-བཞིན-གཤེགས-པ-དེ-བསོད-ནམས-དག-གི-རྒྱུ-མཐུན-པ	niṣyandaḥ sa tathāgataḥ puṇyānām
དགེ-བའི-རྩ-བ-རྣམས-ཆུད-མི-ཟ-བ	avipraṇāśaḥ kuśalamūlānām
བཟོད-པས-བརྒྱན-པ	alaṃkṛtaḥ kṣāntyā
བསོད-ནམས-ཀྱི-གཏེར-རྣམས-ཀྱི-གཞི	āgamaḥ puṇyanidhānānām
དཔེ-བྱང-བཟང-པོ-རྣམས-ཀྱིས-སྤྲས-པ	citrito 'nuvyañjanaiḥ
མཚན-གྱི-མེ-ཏོག-རྒྱས-པ	kusumito lakṣaṇaiḥ
སྤྱོད-ཡུལ-རན-པར-མཐུན-པ	pratirūpo gocareṇa
མཐོང-ན-མི-མཐུན-པ-མེད-པ	apratikūlo darśanena
དད-པས-མོས-པ-རྣམས-མངོན-པར-དགའ-བ	abhiratiḥ śraddhādhimuktānām
ཤེས-རབ-ཟིལ-གྱིས-མི-ནོན-པ	anabhibhūtaḥ prajñayā
སྟོབས-རྣམས-ལ-བརྫི-བ-མེད-པ	anavamardanīyo balaiḥ
སེམས-ཅན-ཐམས-ཅད-ཀྱི-སྟོན-པ	śāstā sarvasattvānām
བྱང-ཆུབ-སེམས-དཔའ-རྣམས-ཀྱི-ཡབ	pitā bodhisattvānām
འཕགས-པའི-གང-ཟག-རྣམས-ཀྱི-རྒྱལ-པོ	rājāryapudgalānām
ལས-དང-པོ-རྣམས-ཀྱི-དེད-དཔོན	sārthavāha ādikarmikāṇām
ཡེ-ཤེས-དཔག-ཏུ-མེད-པ	aprameyo jñānena
སྤོབས-པ-མཐའ-ཡས-པ	anantaḥ pratibhānena
གསུང-རྣམ-པར-དག-པ	viśuddhā svareṇa
དབྱངས-སྙན-པ	āsvādanīyo ghoṣeṇa
སྐུ-བྱད-བལྟ-བས-ཆོག-མི-ཤེས-པ	asecanako rūpeṇa
སྐུ-མཚུངས-པ-མེད-པ	apratisamaḥ kāyena
འདོད-པ-དག-གིས-མ-གོས-པ	aliptaḥ kāmaiḥ
གཟུགས-དག-གིས-ཉེ-བར-མ-གོས-བ	anupalipto rūpaiḥ
གཟུགས-མེད-པ-དག-དང-མ-འདྲེས-པ	asaṃsṛṣṭo 'rūpaiḥ (asaṃsṛṣṭa ārūpyaiḥ)
ཕུང-པོ-དག-ལས-རབ-ཏུ-རྣམ-པར-གྲོལ-བ	vipramuktaḥ skandhebhyaḥ
ཁམས-རྣམས-དང-མི-ལྡན-པ	visaṃyukto dhātubhiḥ
སྐྱེ-མཆེད-རྣམས-བསྡམས-པ	saṃvṛta āyatanaiḥ
མདུད-པ-རྣམས-ཤིན-ཏུ-བཅད-པ	pracchinno granthaiḥ
ཡོངས-སུ-གདུང-བ-དག-ལས-རྣམ-པར-གྲོལ-བ	vimuktaḥ paridāghaiḥ
སྲེད-པ-ལས-ཡོངས-སུ-གྲོལ-བ	parimuktas tṛṣṇayā
ཆུ-བོ-ལས-བརྒལ-བ	oghād uttīrṇaḥ
ཡེ-ཤེས-ཡོངས-སུ-རྫོགས-པ	paripūrṇo jñānena
འདས-པ-དང-མ-བྱོན-པ-དང-ད-ལྟར-གྱི-སངས-རྒྱས-བཅོམ-ལྡན-འདས-རྣམས-ཀྱི-ཡེ-ཤེས-ལ-གནས-པ	pratiṣṭhito 'tīnānāgatapratyutpannānāṃ buddhānāṃ bhagavatāṃ jñāne
མྱ-ངན-ལས-འདས-པ-ལ-མི-གནས-པ	apratiṣṭhito nirvāṇe
ཡང-དག-པ-ཉིད-ཀྱི-མཐའ-ལ-གནས-པ	sthito bhūtakoṭyāṃ
སེམས-ཅན-ཐམས-ཅད-ལ-གཟིགས-པའི-ས-ལ-བཞུག-པ	sthitaḥ sarvasattvālokaniyāyāṃ bhūmau
སློབ-མ-ཤིན-ཏུ-དུལ-བ-མཐའ-ཡས-པའི-ཚོགས-མངའ-བ	anantaśisyagaṇasuvinītaḥ
སེམས-ཅན-ཐམས-ཅད-ཀྱི-བསམ-པ-ལེགས-པར-སྒྲུབ-པར-ཤེས-པ	sarvasattvāśayasuvidhijñāḥ
སངས-རྒྱས-ཀྱི-མཛད-པ-ལྷུན-གྱིས-གྲུབ-པ-རྒྱུན-མི-འཆད-པ	anābhogabuddhakāryāpratiprasrabdhaḥ
གྲོལ-བ-གྲོལ-བའི-འཁོར-དང-ལྡན-པ	mukto muktaparivāraḥ
ཕ-རོལ-ཏུ-ཕྱིན-པ	pāragataḥ
སྐམ-ལ-ཕྱིན-པ	sthalagataḥ
རྒལ-བ	 taraṇam|tīrṇaḥ 
བརྒལ-བ	 codyam|tīrṇaḥ 
སྒྲོལ-བ-པོ	tārakaḥ
དབུགས-འབྱིན-པ	āśvastaḥ
དབུགས-ཕྱིན-པ	āśvastaḥ
བྲམ-ཟེ-གཙང-སྦྲ-ཅན	śrotriyaḥ
ཉོན-མོངས-པ-བཅོམ-པ	bhinnakleśaḥ
སྡིག-པ-བསལ-བའི-ཆོས-ཅན	vāhitapāpadharmaḥ
རིག-པ-པོ	vedakaḥ
སྒྲིབ-པ-དང-རྣམ-པར-བྲལ-བ	vinīvaraṇaḥ
ཡིད-རྣམ-པར-དག-པ	viprasannamanāḥ
ཡིད-རྣམ-པར-དང-བ	viprasannamanāḥ
ཡན-ལག-དྲུག-དང-ལྡན-པ	ṣaḍaṅgasamanvāgataḥ
བསྙེན-བསྲིང-དང-བྲལ-བ	anurodhavirodhavipramuktaḥ (ananurodhavirodhavipramuktaḥ)
སོ-སོའི-བདེན-པ-བསྩལ-བ	praṇatapratyekasatyaḥ
བཙལ-བ-སྤངས-པ	samutsṛṣṭaiṣaṇaḥ
བསྲུང-བ-གཅིག-པ	ekārakṣaḥ
དྲན-པའི-སྒོ-བསྲུངས-ཕུན-སུམ-ཚོགས-པ	smṛtidauvārikasaṃpannaḥ
རྟེན-པ-བཞི-དང-ལྡན-པ	caturapāśrayaṇaḥ
དོན-གྱི-མཐར-ཐུག-པ	paryavasitārthaḥ
བསྒོམས-པའི-བདག-ཉིད-ཅན-ནམ-བདག-ཉིད-བསྒོམས-པ	bhāvitātmā
ཡལ-ག-དང-ལོ-མ-དང-འདབ-མ-དང-ཁྲི-ཤིང-དང-ཤུན-ལྤགས-ཀྱི-སྐྱོན-དང-བྲལ-བ	apagataśākhāpattrapalāśalaṭikātvagphalguḥ
ཀུན-ཏུ-རྟོག-པའི-རྙོག-མེད-པ	anāvilasaṃkalpaḥ
ལུས-ཀྱི-འདུ-བྱེད-ཤིན-ཏུ-སྦྱངས-པ	pariśuddhakāyasaṃskāraḥ (pariśuddhaprasrabdhakāyasaṃskāraḥ)
སངས-རྒྱས-ཀྱི-ཆེ-བ-ཉིད-ཚད-མེད-པ-བརྙེས-པ	apramāṇagatabuddhamāhātmyaḥ
བསམ-གཏན-གྱི-འཇུག-པ-ལ-གནས-པ-མི-མངའ-བ	apratiṣṭhādhyānavartanī
དུས-ལ-བབས-པར-སངས-རྒྱས-འབྱུང-བ	kālaprāpto buddhotpādaḥ
ལམ-ཡོངས-སུ-འདྲེན-པ	mārgapariṇāyakaḥ
